time [UTC],Myer,The DOM,The Iconic,Westfield
2021-08-01,0.0,0.0,21.0,8.0
2021-09-01,0.0,0.0,25.5,9.5
2021-10-01,1.6,0.2,23.6,19.2
2021-11-01,2.5,0.5,29.5,26.0
2021-12-01,2.25,0.0,20.5,49.75
2022-01-01,0.0,0.2,20.0,19.6
2022-02-01,0.0,0.0,32.75,18.0
2022-03-01,0.0,0.75,41.75,18.5
2022-04-01,0.0,0.25,40.75,30.0
2022-05-01,0.8,0.0,46.4,21.8
2022-06-01,1.25,0.0,43.0,27.25
2022-07-01,2.0,0.0,42.2,27.0
2022-08-01,0.25,0.0,41.5,25.0
2022-09-01,0.25,0.0,42.25,32.5
2022-10-01,1.8,0.2,42.2,30.8
2022-11-01,2.0,0.0,56.0,32.75
2022-12-01,2.25,0.25,43.75,66.75
2023-01-01,1.8,0.4,32.4,31.2
2023-02-01,1.0,0.75,33.25,22.5
2023-03-01,0.0,0.0,34.0,24.0
2023-04-01,0.8,0.2,35.0,34.2
2023-05-01,2.0,0.75,38.25,23.25
2023-06-01,2.0,0.75,37.5,26.0
2023-07-01,1.6,0.8,31.8,26.4
2023-08-01,2.0,0.5,32.25,23.25
2023-09-01,2.0,0.75,33.0,26.75
2023-10-01,0.6,1.0,32.4,24.8
2023-11-01,0.0,1.0,42.75,33.0
2023-12-01,0.0,1.0,31.8,60.0
2024-01-01,0.0,1.0,26.0,28.0
2024-02-01,0.0,1.0,24.0,22.75
2024-03-01,0.0,0.6,24.6,25.4
2024-04-01,0.0,1.0,27.0,47.75
2024-05-01,0.0,1.0,27.75,21.25
2024-06-01,0.0,0.8,25.8,22.4
2024-07-01,0.0,1.0,25.5,20.5
2024-08-01,0.0,1.0,27.0,22.25
2024-09-01,0.0,1.0,27.8,21.4
2024-10-01,0.0,1.0,26.0,21.25
2024-11-01,0.0,1.25,40.25,28.25
2024-12-01,0.0,1.2,29.8,55.4
2025-01-01,0.0,1.0,22.25,22.5
2025-02-01,0.0,1.0,22.0,19.75
2025-03-01,0.0,0.6,23.6,20.2
