time [UTC],Starbucks,Gloria Jeans,Krispy Kreme,Zarraffa's
2021-08-01,6.0,12.0,49.0,9.0
2021-09-01,6.5,15.75,60.25,8.25
2021-10-01,9.0,17.4,44.6,7.8
2021-11-01,10.0,18.5,41.0,8.25
2021-12-01,9.75,22.5,57.0,13.25
2022-01-01,9.4,16.6,35.8,9.2
2022-02-01,8.0,15.75,36.5,8.75
2022-03-01,7.5,16.0,36.25,12.5
2022-04-01,7.25,18.25,53.5,21.0
2022-05-01,7.8,16.6,50.0,16.4
2022-06-01,7.5,16.25,46.75,15.75
2022-07-01,8.4,16.6,48.8,16.2
2022-08-01,8.25,15.75,42.0,16.75
2022-09-01,8.0,15.75,41.5,17.5
2022-10-01,10.0,15.8,39.4,16.0
2022-11-01,13.75,16.5,34.5,15.75
2022-12-01,12.25,18.75,52.0,24.25
2023-01-01,10.4,17.0,32.4,17.8
2023-02-01,10.75,16.25,34.5,16.0
2023-03-01,5.25,15.5,34.5,15.25
2023-04-01,5.4,16.8,46.2,19.6
2023-05-01,4.5,13.5,53.75,14.25
2023-06-01,4.25,14.5,41.25,14.0
2023-07-01,4.4,16.8,44.4,15.2
2023-08-01,4.5,15.0,46.5,14.5
2023-09-01,5.0,16.0,61.0,15.25
2023-10-01,2.0,16.0,43.6,14.2
2023-11-01,0.0,15.5,44.5,14.25
2023-12-01,0.0,19.6,45.0,21.4
2024-01-01,0.0,15.75,30.75,15.25
2024-02-01,0.0,16.0,41.0,13.75
2024-03-01,0.0,18.8,35.8,16.0
2024-04-01,0.25,18.0,37.25,16.75
2024-05-01,0.0,16.25,38.75,13.5
2024-06-01,0.0,17.4,48.2,13.2
2024-07-01,38.75,17.75,41.0,14.0
2024-08-01,20.25,15.75,35.75,14.25
2024-09-01,0.4,17.2,46.8,13.0
2024-10-01,0.25,14.25,35.25,13.25
2024-11-01,0.25,15.25,40.25,12.75
2024-12-01,0.2,17.2,39.4,20.0
2025-01-01,0.5,15.25,28.75,13.5
2025-02-01,0.0,14.75,41.25,12.75
2025-03-01,0.0,14.6,35.4,15.8
