time [UTC],Dan Murphy's,BWS,Bottlemart,Cellarbrations,First Choice
2021-08-01,20.0,3.0,3.0,4.0,8.0
2021-09-01,17.5,2.5,2.75,4.0,8.25
2021-10-01,17.0,2.2,2.8,3.8,8.2
2021-11-01,20.25,2.75,2.25,4.0,9.0
2021-12-01,40.5,5.0,4.75,7.75,17.25
2022-01-01,15.6,2.2,2.6,4.4,7.0
2022-02-01,18.0,2.0,2.25,3.75,6.75
2022-03-01,27.25,2.0,2.25,4.0,6.0
2022-04-01,53.0,2.5,3.0,5.0,6.75
2022-05-01,38.2,2.0,2.0,3.0,5.8
2022-06-01,40.0,2.0,2.25,3.25,5.75
2022-07-01,21.6,2.0,2.2,3.0,5.4
2022-08-01,24.5,2.0,2.0,3.0,6.0
2022-09-01,28.75,2.25,2.5,4.0,6.25
2022-10-01,25.0,2.0,2.0,3.2,5.8
2022-11-01,28.5,2.0,2.25,4.0,6.5
2022-12-01,59.25,4.0,4.25,7.0,11.0
2023-01-01,27.0,2.0,2.4,3.6,5.4
2023-02-01,23.25,2.0,2.0,3.5,5.25
2023-03-01,21.75,2.0,2.0,3.25,5.0
2023-04-01,27.2,2.4,2.8,4.4,5.4
2023-05-01,18.5,2.0,2.0,3.0,4.5
2023-06-01,19.5,2.0,2.0,3.0,4.5
2023-07-01,19.6,2.0,2.0,3.0,5.0
2023-08-01,21.5,2.0,2.0,3.5,6.0
2023-09-01,24.0,2.25,2.25,4.0,6.5
2023-10-01,24.2,2.0,2.2,3.8,5.6
2023-11-01,27.5,2.25,2.25,3.75,6.25
2023-12-01,46.2,3.6,3.6,6.0,11.0
2024-01-01,21.75,1.5,2.0,4.0,5.25
2024-02-01,18.5,1.5,2.0,4.0,4.5
2024-03-01,21.6,2.2,2.4,4.0,5.8
2024-04-01,19.5,1.75,2.0,3.0,4.75
2024-05-01,16.75,1.75,2.0,3.0,4.25
2024-06-01,15.4,1.4,2.0,3.0,4.4
2024-07-01,15.5,1.75,2.0,2.75,4.25
2024-08-01,15.25,1.25,1.75,3.25,4.25
2024-09-01,16.0,2.0,2.0,3.0,5.2
2024-10-01,15.75,1.75,2.0,3.0,4.5
2024-11-01,17.0,1.75,2.0,3.25,4.5
2024-12-01,34.2,3.0,3.4,5.8,7.0
2025-01-01,14.75,1.25,2.0,3.25,3.75
2025-02-01,13.75,1.25,2.0,3.0,3.0
2025-03-01,13.8,1.2,2.0,3.2,3.0
