time [UTC],Myer,Birkenhead Point,Chadstone,DFO,Harbour Town
2021-08-01,0.0,1.0,15.0,0.0,3.0
2021-09-01,0.0,1.0,15.75,0.75,3.75
2021-10-01,3.6,4.2,34.4,2.0,4.6
2021-11-01,5.75,4.75,59.25,4.25,5.5
2021-12-01,5.0,5.75,81.25,6.0,9.25
2022-01-01,0.2,3.8,43.2,2.6,4.8
2022-02-01,0.0,3.0,42.5,2.0,4.0
2022-03-01,0.0,4.0,41.25,3.0,4.0
2022-04-01,0.0,5.5,47.25,4.0,6.75
2022-05-01,2.0,4.8,43.2,2.6,5.2
2022-06-01,3.25,5.0,46.0,3.25,6.5
2022-07-01,4.8,4.0,42.4,3.0,6.0
2022-08-01,1.25,4.0,42.0,2.5,5.75
2022-09-01,1.0,4.5,46.0,3.5,6.75
2022-10-01,3.8,4.2,42.4,3.2,6.4
2022-11-01,4.5,4.75,47.25,3.5,6.5
2022-12-01,5.0,7.25,76.5,5.0,10.0
2023-01-01,3.4,5.4,44.8,3.0,4.2
2023-02-01,2.5,4.0,40.75,2.5,1.5
2023-03-01,0.25,3.75,48.0,2.5,1.5
2023-04-01,1.6,5.0,52.6,3.4,6.2
2023-05-01,4.0,4.0,45.25,2.75,6.75
2023-06-01,4.25,5.0,48.5,3.25,7.5
2023-07-01,3.4,3.8,47.0,2.4,7.8
2023-08-01,4.0,3.5,43.5,2.75,6.75
2023-09-01,4.75,4.25,43.75,2.75,8.0
2023-10-01,1.6,4.0,41.2,2.8,8.0
2023-11-01,0.0,5.0,55.5,3.25,9.5
2023-12-01,0.0,6.2,69.2,5.0,9.6
2024-01-01,0.0,3.25,42.25,2.75,4.75
2024-02-01,0.0,3.0,38.75,2.0,3.25
2024-03-01,0.0,3.8,41.8,2.8,4.2
2024-04-01,0.0,4.5,41.5,3.0,3.75
2024-05-01,0.0,4.0,36.5,2.25,3.25
2024-06-01,0.0,4.4,42.0,3.0,1.8
2024-07-01,0.0,3.75,40.75,2.5,2.75
2024-08-01,0.0,3.75,36.5,2.75,2.75
2024-09-01,0.0,4.0,41.8,3.2,4.0
2024-10-01,0.0,4.25,39.75,2.75,3.75
2024-11-01,0.0,5.0,45.75,3.25,3.5
2024-12-01,0.0,6.2,61.8,4.4,6.4
2025-01-01,0.0,3.5,37.0,2.0,4.25
2025-02-01,0.0,3.0,34.5,2.0,2.0
2025-03-01,0.0,3.4,37.4,2.0,3.2
