time [UTC],Palmolive,OC Naturals,OGX,Sukin,Sunsilk
2021-08-01,22.0,0.0,18.0,62.0,5.0
2021-09-01,23.5,0.0,17.5,59.25,7.75
2021-10-01,19.0,0.0,16.0,53.8,1.2
2021-11-01,20.25,0.0,15.25,58.25,0.0
2021-12-01,19.75,0.0,14.0,59.5,3.5
2022-01-01,29.0,0.0,17.0,56.0,5.8
2022-02-01,29.5,0.0,18.25,51.25,2.5
2022-03-01,27.0,0.0,16.0,53.75,3.25
2022-04-01,28.75,0.0,18.5,69.5,3.5
2022-05-01,28.4,0.0,16.4,66.2,4.4
2022-06-01,22.75,0.0,15.5,59.5,3.0
2022-07-01,24.2,0.0,17.0,56.8,4.6
2022-08-01,27.0,0.0,16.75,60.25,5.0
2022-09-01,26.75,0.0,15.25,59.25,4.0
2022-10-01,25.8,0.0,17.4,53.8,2.2
2022-11-01,27.25,1.25,17.25,63.0,4.5
2022-12-01,27.25,0.0,14.25,64.5,4.25
2023-01-01,26.8,1.2,16.8,62.8,9.0
2023-02-01,29.5,0.0,16.25,60.5,4.5
2023-03-01,31.75,1.25,16.25,58.75,7.0
2023-04-01,31.4,0.0,20.8,73.4,5.8
2023-05-01,32.0,0.0,19.75,60.25,6.25
2023-06-01,34.0,1.25,18.5,67.0,5.75
2023-07-01,36.6,1.2,20.2,66.2,9.4
2023-08-01,32.0,0.0,19.75,66.5,8.0
2023-09-01,33.75,3.0,19.75,59.5,8.75
2023-10-01,35.8,1.4,17.8,63.8,10.4
2023-11-01,33.25,0.0,20.5,70.75,7.0
2023-12-01,36.6,1.0,20.2,69.6,8.2
2024-01-01,39.5,1.25,19.5,63.75,7.5
2024-02-01,37.25,0.0,18.75,56.25,6.75
2024-03-01,35.8,1.0,18.2,53.4,6.2
2024-04-01,37.25,0.0,20.0,57.0,6.25
2024-05-01,37.75,1.25,17.25,52.75,5.75
2024-06-01,31.8,0.8,19.8,51.8,5.4
2024-07-01,34.25,1.5,23.5,56.25,4.75
2024-08-01,36.5,2.75,21.5,51.5,5.0
2024-09-01,36.2,2.8,19.4,51.4,7.0
2024-10-01,39.5,2.25,18.0,57.0,6.0
2024-11-01,35.75,4.0,20.5,55.75,5.25
2024-12-01,37.2,0.0,19.0,64.2,7.4
2025-01-01,41.5,2.5,22.75,57.25,8.5
2025-02-01,40.75,2.5,21.5,56.25,7.5
2025-03-01,39.4,1.0,24.6,52.0,7.2
