time [UTC],MasterFoods,Old El Paso
2021-08-01,85.0,43.0
2021-09-01,71.5,42.25
2021-10-01,64.0,40.6
2021-11-01,57.5,31.75
2021-12-01,58.75,16.5
2022-01-01,68.6,35.6
2022-02-01,56.25,36.25
2022-03-01,57.5,33.5
2022-04-01,63.25,37.5
2022-05-01,61.6,35.4
2022-06-01,71.5,34.75
2022-07-01,67.0,33.8
2022-08-01,66.25,34.25
2022-09-01,60.25,32.25
2022-10-01,63.4,36.6
2022-11-01,60.0,26.75
2022-12-01,63.5,25.25
2023-01-01,70.6,31.4
2023-02-01,63.5,32.0
2023-03-01,70.75,31.0
2023-04-01,66.4,30.2
2023-05-01,83.5,33.0
2023-06-01,73.75,32.75
2023-07-01,73.0,36.2
2023-08-01,66.5,32.25
2023-09-01,65.75,35.75
2023-10-01,63.8,36.8
2023-11-01,59.75,37.25
2023-12-01,69.0,31.2
2024-01-01,65.0,38.0
2024-02-01,65.75,38.75
2024-03-01,62.2,32.4
2024-04-01,71.5,38.5
2024-05-01,72.0,33.5
2024-06-01,80.2,32.8
2024-07-01,82.5,35.0
2024-08-01,78.75,38.25
2024-09-01,68.8,37.0
2024-10-01,69.25,40.5
2024-11-01,66.5,37.75
2024-12-01,65.2,28.2
2025-01-01,70.25,37.0
2025-02-01,73.25,36.5
2025-03-01,74.2,34.8
