time [UTC],MasterFoods,Hart & Soul,Maggi,McCormick,Mingle
2021-08-01,72.0,0.0,0.0,20.0,0.0
2021-09-01,61.0,0.0,0.0,15.25,0.0
2021-10-01,54.2,0.0,0.0,11.4,0.0
2021-11-01,49.0,0.0,0.0,16.0,0.0
2021-12-01,50.0,0.0,0.0,2.25,0.0
2022-01-01,58.6,0.0,0.0,8.2,3.8
2022-02-01,48.0,0.0,0.0,13.5,6.0
2022-03-01,48.75,0.0,0.0,9.5,6.25
2022-04-01,53.75,0.0,0.0,11.75,8.25
2022-05-01,52.6,0.0,0.0,10.4,14.4
2022-06-01,61.0,0.0,0.0,15.5,18.25
2022-07-01,57.0,0.0,0.0,16.6,13.4
2022-08-01,56.5,0.0,0.0,16.25,19.25
2022-09-01,51.0,0.0,0.0,12.75,17.25
2022-10-01,54.2,0.0,0.0,14.0,22.8
2022-11-01,51.25,0.0,0.0,8.5,15.25
2022-12-01,54.25,0.0,0.0,7.0,11.25
2023-01-01,60.0,0.0,0.0,9.6,17.6
2023-02-01,54.0,0.0,0.0,11.75,14.5
2023-03-01,60.25,0.0,0.0,14.75,14.0
2023-04-01,56.8,0.0,0.0,14.8,15.6
2023-05-01,71.0,0.0,0.0,20.0,20.75
2023-06-01,63.25,0.0,0.0,21.0,21.75
2023-07-01,62.6,0.0,0.0,17.0,18.4
2023-08-01,56.5,0.0,0.0,15.25,15.0
2023-09-01,56.0,0.0,0.0,17.5,14.25
2023-10-01,54.6,0.0,0.0,16.4,14.8
2023-11-01,51.25,0.0,0.0,13.0,14.5
2023-12-01,58.6,0.0,0.0,14.0,14.6
2024-01-01,55.5,0.0,0.0,14.75,27.75
2024-02-01,56.0,0.0,0.0,10.25,22.75
2024-03-01,53.0,0.0,0.0,14.0,20.4
2024-04-01,60.5,0.0,0.0,18.0,26.0
2024-05-01,61.25,0.0,0.0,16.0,32.75
2024-06-01,68.2,0.0,0.0,19.2,37.2
2024-07-01,70.5,0.0,0.0,19.0,51.0
2024-08-01,67.25,0.0,0.0,14.0,50.25
2024-09-01,58.8,0.0,0.0,14.6,51.4
2024-10-01,59.25,0.0,0.0,13.5,51.25
2024-11-01,56.5,0.0,0.0,12.5,58.75
2024-12-01,55.4,0.0,0.0,13.6,51.6
2025-01-01,59.75,0.0,0.0,15.0,76.25
2025-02-01,62.5,0.0,0.0,14.75,75.0
2025-03-01,63.2,0.0,0.0,16.0,91.4
