time [UTC],Kora Organics,Grown Alchemist,Rationale,Ren Skincare
2021-08-01,14.0,0.0,68.0,8.0
2021-09-01,24.25,9.75,64.25,2.0
2021-10-01,18.6,4.6,64.4,0.0
2021-11-01,16.25,9.75,60.75,0.0
2021-12-01,13.0,8.0,37.75,1.75
2022-01-01,13.4,7.2,41.4,0.0
2022-02-01,11.75,9.25,57.0,1.25
2022-03-01,11.5,9.75,89.5,1.5
2022-04-01,28.25,11.0,82.5,1.25
2022-05-01,23.2,8.2,89.0,1.2
2022-06-01,25.75,11.0,67.25,0.0
2022-07-01,19.6,12.6,61.6,0.0
2022-08-01,12.75,11.0,94.5,0.0
2022-09-01,12.25,10.75,76.5,0.0
2022-10-01,11.8,10.0,78.2,0.0
2022-11-01,25.0,17.5,59.75,1.75
2022-12-01,12.25,21.5,44.0,0.0
2023-01-01,10.8,11.0,44.0,1.6
2023-02-01,11.75,9.75,65.25,1.5
2023-03-01,16.0,9.5,86.5,0.0
2023-04-01,17.4,8.6,82.8,3.0
2023-05-01,13.0,8.0,90.5,0.0
2023-06-01,12.25,8.75,62.5,1.5
2023-07-01,17.4,9.8,57.6,0.0
2023-08-01,14.5,8.25,84.0,0.0
2023-09-01,26.75,7.5,73.5,0.0
2023-10-01,15.6,9.4,68.8,0.0
2023-11-01,20.75,21.0,54.0,0.0
2023-12-01,14.8,18.8,35.8,0.0
2024-01-01,11.5,12.5,41.5,0.0
2024-02-01,12.5,15.0,59.75,0.0
2024-03-01,14.2,12.2,81.4,0.0
2024-04-01,13.75,9.0,85.5,0.0
2024-05-01,14.25,10.0,84.0,0.0
2024-06-01,13.2,12.2,58.2,0.0
2024-07-01,10.5,11.5,66.75,0.0
2024-08-01,13.5,4.25,74.25,0.0
2024-09-01,19.2,12.6,76.0,0.0
2024-10-01,13.5,9.5,69.0,0.0
2024-11-01,17.75,18.25,53.0,0.0
2024-12-01,15.2,15.4,35.0,0.0
2025-01-01,11.25,12.0,42.5,0.0
2025-02-01,7.75,11.25,52.75,0.0
2025-03-01,11.4,10.2,78.6,0.0
