time [UTC],Foot Locker,Stateside Sports,Urban Wear
2021-08-01,49.0,0.0,1.0
2021-09-01,60.75,0.0,1.0
2021-10-01,61.2,0.0,1.0
2021-11-01,72.75,0.0,1.5
2021-12-01,82.75,0.0,1.75
2022-01-01,52.6,0.0,0.8
2022-02-01,47.5,0.0,1.0
2022-03-01,51.25,0.0,1.0
2022-04-01,49.75,0.0,1.0
2022-05-01,50.6,0.0,1.0
2022-06-01,60.25,0.0,1.0
2022-07-01,60.2,0.2,1.0
2022-08-01,61.25,0.0,0.75
2022-09-01,51.0,0.0,1.0
2022-10-01,49.2,0.0,0.8
2022-11-01,65.75,0.0,1.25
2022-12-01,78.5,0.0,1.0
2023-01-01,58.4,0.0,0.6
2023-02-01,49.5,0.0,0.75
2023-03-01,49.75,0.0,0.0
2023-04-01,55.8,0.0,0.8
2023-05-01,54.25,0.0,0.75
2023-06-01,61.25,0.0,0.5
2023-07-01,56.2,0.0,1.0
2023-08-01,58.5,0.0,0.5
2023-09-01,56.5,0.0,0.75
2023-10-01,52.2,0.0,0.2
2023-11-01,67.75,0.0,0.75
2023-12-01,71.4,0.0,0.4
2024-01-01,46.75,0.0,0.5
2024-02-01,38.75,0.0,0.0
2024-03-01,45.8,0.0,0.0
2024-04-01,49.5,0.0,0.0
2024-05-01,49.0,0.0,0.25
2024-06-01,47.6,0.0,0.0
2024-07-01,50.75,0.0,0.0
2024-08-01,47.25,0.0,0.0
2024-09-01,42.4,0.0,0.2
2024-10-01,37.25,0.0,0.0
2024-11-01,49.25,0.0,0.0
2024-12-01,58.2,0.0,0.0
2025-01-01,37.25,0.0,0.0
2025-02-01,36.75,0.0,0.0
2025-03-01,34.2,0.0,0.0
