time [UTC],Country Road,Marcs,Portmans,Review,Seed Heritage
2021-08-01,1.0,0.0,1.0,4.0,0.0
2021-09-01,3.25,0.0,6.0,4.75,0.0
2021-10-01,6.6,0.0,12.6,5.8,0.0
2021-11-01,13.75,0.0,17.5,7.5,0.0
2021-12-01,8.75,0.0,6.25,5.5,0.0
2022-01-01,12.4,0.0,4.4,4.6,0.0
2022-02-01,45.25,0.0,3.0,5.25,0.0
2022-03-01,45.75,0.0,3.0,5.25,0.0
2022-04-01,52.75,0.0,2.75,6.0,1.75
2022-05-01,55.0,0.0,3.0,7.0,0.0
2022-06-01,46.75,0.0,2.25,7.25,0.0
2022-07-01,43.2,0.0,2.4,6.4,0.0
2022-08-01,38.0,0.0,2.75,5.75,0.0
2022-09-01,27.5,0.0,9.25,6.5,0.0
2022-10-01,43.2,0.0,15.2,6.4,0.0
2022-11-01,74.25,0.0,16.5,6.5,0.0
2022-12-01,77.0,0.0,13.5,5.25,0.0
2023-01-01,46.6,0.0,12.6,5.0,0.0
2023-02-01,43.5,0.0,12.75,4.75,0.0
2023-03-01,44.25,0.0,13.5,4.75,0.0
2023-04-01,56.2,0.0,15.8,5.2,0.0
2023-05-01,62.25,0.0,14.5,5.0,0.0
2023-06-01,47.75,0.5,13.25,4.75,0.0
2023-07-01,43.6,0.2,12.4,4.6,0.0
2023-08-01,43.0,0.0,11.5,4.25,0.0
2023-09-01,45.5,0.0,12.25,4.5,0.0
2023-10-01,43.8,0.0,12.0,4.8,0.0
2023-11-01,69.0,0.0,13.25,4.75,0.0
2023-12-01,72.4,0.0,11.6,4.2,1.6
2024-01-01,42.5,0.0,9.0,3.75,5.75
2024-02-01,42.5,0.0,10.0,3.5,8.25
2024-03-01,46.2,0.0,10.2,2.8,9.4
2024-04-01,57.5,0.0,11.0,3.25,11.25
2024-05-01,53.25,0.0,11.0,3.75,4.5
2024-06-01,43.8,0.0,10.2,3.2,5.8
2024-07-01,37.25,0.0,9.25,3.25,0.75
2024-08-01,43.25,0.0,9.0,3.0,10.25
2024-09-01,41.6,0.0,10.2,3.4,10.6
2024-10-01,42.25,0.0,10.0,3.75,12.0
2024-11-01,60.0,0.0,11.75,4.0,23.0
2024-12-01,61.0,0.0,9.8,3.2,21.4
2025-01-01,39.0,0.0,9.0,3.0,13.75
2025-02-01,38.25,0.0,8.75,3.0,13.25
2025-03-01,39.8,0.0,9.0,3.0,15.2
