time [UTC],Country Road,Veronika Maine,Witchery
2021-08-01,39.0,2.0,19.0
2021-09-01,46.5,2.0,19.0
2021-10-01,48.4,2.6,25.4
2021-11-01,70.75,3.25,31.5
2021-12-01,72.25,2.75,29.25
2022-01-01,45.6,2.0,21.2
2022-02-01,50.0,3.0,24.0
2022-03-01,49.5,3.25,26.0
2022-04-01,54.75,3.0,28.0
2022-05-01,56.8,3.0,28.8
2022-06-01,46.5,3.0,23.75
2022-07-01,43.2,2.4,21.0
2022-08-01,49.5,2.25,23.25
2022-09-01,45.75,2.75,22.5
2022-10-01,45.6,3.0,23.0
2022-11-01,72.0,2.75,25.75
2022-12-01,74.75,2.25,25.0
2023-01-01,45.8,2.6,19.6
2023-02-01,46.25,2.25,20.25
2023-03-01,46.25,2.0,21.75
2023-04-01,54.2,2.8,24.4
2023-05-01,60.75,2.25,23.75
2023-06-01,47.25,2.0,18.5
2023-07-01,43.0,2.0,15.2
2023-08-01,41.5,2.0,17.5
2023-09-01,43.5,2.0,19.0
2023-10-01,43.0,2.0,17.4
2023-11-01,63.25,2.25,19.75
2023-12-01,67.0,2.2,18.8
2024-01-01,41.0,2.25,13.0
2024-02-01,43.75,2.5,13.0
2024-03-01,46.0,2.2,14.8
2024-04-01,55.0,2.0,18.25
2024-05-01,51.5,2.0,16.25
2024-06-01,45.0,2.0,15.6
2024-07-01,36.5,1.5,13.75
2024-08-01,40.75,1.75,12.5
2024-09-01,42.0,2.0,15.2
2024-10-01,40.0,2.0,14.75
2024-11-01,56.0,2.25,16.5
2024-12-01,58.4,1.8,15.6
2025-01-01,36.75,2.0,13.5
2025-02-01,36.0,2.0,12.75
2025-03-01,38.4,2.0,14.6
