time [UTC],Vittoria Coffee,Industry Beans,ONA Coffee,Pablo & Rusty's,Padre Coffee
2021-08-01,40.0,0.0,0.0,0.0,0.0
2021-09-01,27.0,0.0,0.0,0.0,0.0
2021-10-01,0.0,0.0,0.0,0.0,0.0
2021-11-01,0.0,0.0,0.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0,0.0,0.0
2022-04-01,4.5,10.75,0.0,0.0,0.0
2022-05-01,3.8,10.2,0.0,0.0,0.0
2022-06-01,0.0,12.75,0.0,0.0,0.0
2022-07-01,0.0,17.6,0.0,0.0,0.0
2022-08-01,0.0,27.75,0.0,0.0,0.0
2022-09-01,0.0,26.0,0.0,0.0,0.0
2022-10-01,0.0,5.4,0.0,0.0,0.0
2022-11-01,0.0,10.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0
2023-01-01,0.0,5.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0
2023-03-01,36.25,6.0,0.0,0.0,0.0
2023-04-01,65.8,44.0,0.0,0.0,0.0
2023-05-01,46.5,56.75,0.0,0.0,0.0
2023-06-01,39.25,46.75,0.0,0.0,0.0
2023-07-01,51.4,44.0,0.0,0.0,0.0
2023-08-01,52.25,36.25,0.0,0.0,0.0
2023-09-01,47.5,20.5,0.0,0.0,0.0
2023-10-01,54.8,18.0,0.0,0.0,0.0
2023-11-01,77.0,37.25,0.0,0.0,0.0
2023-12-01,54.0,41.6,0.0,0.0,0.0
2024-01-01,45.75,36.75,0.0,0.0,0.0
2024-02-01,59.5,41.25,0.0,0.0,0.0
2024-03-01,62.2,35.2,24.2,0.0,0.0
2024-04-01,64.5,33.75,22.0,0.0,0.0
2024-05-01,55.25,46.5,19.5,0.0,0.0
2024-06-01,63.0,40.2,20.6,0.0,0.0
2024-07-01,61.0,37.0,30.75,0.0,0.0
2024-08-01,41.75,35.75,29.75,0.0,0.0
2024-09-01,36.4,40.8,30.4,0.0,6.0
2024-10-01,46.75,43.75,29.75,0.0,0.0
2024-11-01,71.75,18.75,27.0,0.0,0.0
2024-12-01,59.6,46.2,33.4,0.0,0.0
2025-01-01,71.0,46.5,32.25,0.0,0.0
2025-02-01,64.75,37.75,33.0,0.0,0.0
2025-03-01,52.4,37.2,38.4,0.0,0.0
