time [UTC],BWS,Bottlemart,Cellarbrations,Dan Murphy's,First Choice
2021-08-01,36.0,2.0,2.0,12.0,11.0
2021-09-01,32.5,1.5,2.0,10.25,10.25
2021-10-01,33.2,1.4,2.0,9.8,10.2
2021-11-01,34.0,1.25,2.0,11.75,11.5
2021-12-01,67.25,3.0,4.5,23.25,19.25
2022-01-01,30.8,1.6,2.4,9.0,8.6
2022-02-01,27.0,1.0,2.25,10.25,8.75
2022-03-01,26.25,1.25,2.0,15.75,8.0
2022-04-01,37.5,1.75,2.75,30.5,9.5
2022-05-01,26.6,1.0,2.0,22.0,8.0
2022-06-01,29.0,1.25,2.0,23.0,8.0
2022-07-01,26.0,1.0,2.0,12.8,8.0
2022-08-01,27.0,1.0,2.0,14.25,8.25
2022-09-01,32.0,1.25,2.25,16.75,8.75
2022-10-01,27.6,1.0,2.0,14.2,8.2
2022-11-01,30.25,1.25,2.0,16.5,9.75
2022-12-01,61.0,2.5,4.0,34.5,15.5
2023-01-01,33.0,1.2,2.0,15.4,8.8
2023-02-01,27.25,1.0,2.0,13.25,8.25
2023-03-01,27.25,1.0,2.0,12.5,8.0
2023-04-01,33.8,1.6,2.6,16.0,9.0
2023-05-01,25.25,1.0,2.0,10.5,7.25
2023-06-01,26.0,1.0,2.0,11.25,7.75
2023-07-01,27.0,1.0,2.0,11.4,7.4
2023-08-01,26.5,1.0,2.0,12.75,8.0
2023-09-01,29.0,1.25,2.25,14.0,8.5
2023-10-01,28.0,1.0,2.0,13.8,8.4
2023-11-01,30.25,1.0,2.0,16.0,9.0
2023-12-01,53.8,2.2,3.6,26.4,14.0
2024-01-01,29.5,1.0,2.0,12.75,8.0
2024-02-01,27.0,1.0,2.0,10.75,7.5
2024-03-01,31.2,1.2,2.2,12.4,8.6
2024-04-01,27.5,1.0,1.75,11.0,7.25
2024-05-01,25.75,1.0,2.0,9.5,6.5
2024-06-01,25.4,1.0,1.8,9.0,7.2
2024-07-01,25.5,1.0,1.75,9.25,7.25
2024-08-01,26.5,1.0,2.0,9.0,7.0
2024-09-01,26.4,1.0,2.0,9.2,7.2
2024-10-01,26.25,1.0,2.0,9.25,6.75
2024-11-01,27.25,1.0,2.0,10.0,7.5
2024-12-01,50.8,2.0,3.2,20.0,11.4
2025-01-01,26.5,1.0,2.0,8.5,6.5
2025-02-01,24.5,1.0,2.0,8.0,5.75
2025-03-01,24.4,1.0,1.8,8.0,5.8
