time [UTC],Red Rock Deli,Burts,Proper Crisps,Snacka Changi
2021-08-01,37.0,39.0,0.0,0.0
2021-09-01,38.75,43.5,0.0,0.0
2021-10-01,45.4,32.8,0.0,0.0
2021-11-01,39.5,46.75,0.0,0.0
2021-12-01,33.25,53.0,0.0,0.0
2022-01-01,37.8,31.8,0.0,0.0
2022-02-01,38.5,29.25,0.0,0.0
2022-03-01,44.5,47.75,0.0,0.0
2022-04-01,50.0,35.5,0.0,0.0
2022-05-01,43.0,39.4,0.0,0.0
2022-06-01,47.75,39.0,0.0,0.0
2022-07-01,38.2,42.0,0.0,0.0
2022-08-01,56.0,38.5,0.0,0.0
2022-09-01,45.5,40.25,0.0,0.0
2022-10-01,50.2,36.6,0.0,0.0
2022-11-01,44.0,52.5,0.0,0.0
2022-12-01,52.0,63.75,0.0,0.0
2023-01-01,49.6,38.4,0.0,0.0
2023-02-01,48.5,42.25,0.0,0.0
2023-03-01,57.75,41.25,0.0,0.0
2023-04-01,52.8,38.6,0.0,0.0
2023-05-01,56.5,49.5,0.0,0.0
2023-06-01,52.25,41.0,0.0,0.0
2023-07-01,63.0,42.2,0.0,0.0
2023-08-01,74.5,45.75,0.0,0.0
2023-09-01,68.25,44.5,0.0,0.0
2023-10-01,69.6,39.4,0.0,0.0
2023-11-01,66.75,47.0,0.0,0.0
2023-12-01,61.4,46.2,2.6,0.0
2024-01-01,63.0,41.75,0.0,0.0
2024-02-01,51.75,37.0,0.0,0.0
2024-03-01,55.2,38.2,0.0,0.0
2024-04-01,68.25,37.0,0.0,0.0
2024-05-01,71.25,38.75,0.0,0.0
2024-06-01,75.2,43.2,0.0,0.0
2024-07-01,64.25,45.75,0.0,0.0
2024-08-01,69.25,35.25,0.0,0.0
2024-09-01,72.2,39.4,0.0,0.0
2024-10-01,69.25,46.5,0.0,0.0
2024-11-01,64.0,48.0,0.0,3.25
2024-12-01,74.4,49.6,0.0,0.0
2025-01-01,64.5,33.25,3.25,0.0
2025-02-01,73.0,37.75,0.0,0.0
2025-03-01,69.2,32.8,2.4,0.0
