time [UTC],Pine O Cleen,Lucent Globe,Organic Choice,Pleasant State,Skipper (formerly Tirtyl)
2021-08-01,0.0,0.0,0.0,0.0,0.0
2021-09-01,11.0,0.0,5.75,0.0,0.0
2021-10-01,7.0,0.0,6.0,0.0,0.0
2021-11-01,0.0,0.0,14.0,0.0,0.0
2021-12-01,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,6.6,0.0,0.0
2022-02-01,0.0,0.0,15.0,0.0,0.0
2022-03-01,15.25,0.0,13.0,0.0,0.0
2022-04-01,13.5,0.0,14.0,0.0,0.0
2022-05-01,12.0,0.0,10.0,0.0,0.0
2022-06-01,11.0,0.0,16.75,0.0,0.0
2022-07-01,11.8,0.0,16.4,0.0,0.0
2022-08-01,0.0,0.0,22.5,0.0,0.0
2022-09-01,4.75,0.0,4.5,0.0,0.0
2022-10-01,3.4,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,11.0,0.0,0.0
2022-12-01,4.5,0.0,12.0,0.0,0.0
2023-01-01,4.2,0.0,4.0,0.0,0.0
2023-02-01,0.0,0.0,10.5,0.0,0.0
2023-03-01,6.0,0.0,16.25,4.25,0.0
2023-04-01,5.0,0.0,18.0,3.6,0.0
2023-05-01,0.0,0.0,16.75,4.5,0.0
2023-06-01,23.0,4.75,10.5,13.5,0.0
2023-07-01,5.0,4.4,13.8,0.0,0.0
2023-08-01,11.0,0.0,21.75,0.0,0.0
2023-09-01,0.0,15.75,16.0,0.0,0.0
2023-10-01,8.6,26.8,15.2,0.0,0.0
2023-11-01,0.0,40.5,20.5,11.0,0.0
2023-12-01,9.6,17.0,32.2,0.0,0.0
2024-01-01,6.75,30.75,25.25,0.0,0.0
2024-02-01,10.5,0.0,34.25,0.0,0.0
2024-03-01,3.8,5.2,25.8,0.0,0.0
2024-04-01,0.0,0.0,26.75,0.0,0.0
2024-05-01,4.75,0.0,32.25,0.0,0.0
2024-06-01,4.0,50.0,16.4,3.8,0.0
2024-07-01,0.0,78.25,15.5,0.0,0.0
2024-08-01,5.0,16.5,27.75,0.0,0.0
2024-09-01,9.0,24.2,25.6,0.0,0.0
2024-10-01,0.0,0.0,23.0,0.0,0.0
2024-11-01,0.0,0.0,6.75,0.0,0.0
2024-12-01,4.8,0.0,4.6,0.0,5.0
2025-01-01,11.5,6.0,31.5,0.0,0.0
2025-02-01,10.5,0.0,12.25,0.0,0.0
2025-03-01,10.0,0.0,4.2,0.0,0.0
