time [UTC],Pine O Cleen,Thankyou,Undo This Mess,White King,Zero Co
2021-08-01,0.0,10.0,0.0,61.0,48.0
2021-09-01,3.25,5.0,0.0,66.25,19.25
2021-10-01,2.2,8.8,0.0,60.0,23.0
2021-11-01,0.0,11.25,0.0,63.75,16.75
2021-12-01,0.0,8.0,0.0,66.25,11.75
2022-01-01,0.0,9.8,1.2,75.6,17.8
2022-02-01,0.0,11.5,0.0,68.75,16.75
2022-03-01,4.5,12.25,0.0,65.0,16.5
2022-04-01,4.0,11.5,0.0,89.0,19.75
2022-05-01,3.8,12.2,0.0,66.4,14.8
2022-06-01,3.25,17.0,0.0,68.25,16.25
2022-07-01,3.6,12.0,1.4,66.8,22.8
2022-08-01,0.0,10.75,0.0,74.5,17.5
2022-09-01,1.5,11.75,0.0,85.25,20.25
2022-10-01,1.0,12.2,0.0,71.0,16.6
2022-11-01,0.0,16.75,0.0,71.5,18.0
2022-12-01,1.5,17.75,0.0,72.0,16.0
2023-01-01,1.2,24.4,0.0,73.2,20.4
2023-02-01,0.0,13.0,0.0,66.5,17.25
2023-03-01,1.75,10.25,0.0,66.25,15.75
2023-04-01,1.6,9.4,0.0,70.4,16.6
2023-05-01,0.0,17.25,0.0,69.75,16.25
2023-06-01,6.75,18.5,0.0,69.75,15.5
2023-07-01,1.4,16.4,0.0,63.4,15.8
2023-08-01,3.25,13.75,0.0,72.5,17.75
2023-09-01,0.0,14.25,0.0,66.5,15.0
2023-10-01,2.6,14.2,0.0,72.2,16.4
2023-11-01,0.0,18.5,0.0,70.0,13.75
2023-12-01,2.8,12.8,0.0,67.2,17.8
2024-01-01,2.0,9.25,0.0,74.75,19.5
2024-02-01,3.25,15.5,0.0,67.25,13.0
2024-03-01,1.2,11.2,0.0,75.6,13.2
2024-04-01,0.0,11.75,0.0,67.5,18.25
2024-05-01,1.5,14.0,0.0,74.25,20.0
2024-06-01,1.2,13.0,0.0,77.0,13.8
2024-07-01,0.0,12.25,0.0,72.5,8.0
2024-08-01,1.5,13.75,0.0,75.5,16.0
2024-09-01,2.6,16.2,1.6,72.4,15.0
2024-10-01,0.0,14.0,0.0,76.0,23.75
2024-11-01,0.0,16.0,0.0,81.0,13.75
2024-12-01,1.4,11.6,0.0,78.2,14.8
2025-01-01,3.5,10.0,2.0,84.0,20.75
2025-02-01,3.0,13.0,0.0,80.25,13.5
2025-03-01,3.0,14.6,0.0,77.8,16.4
