time [UTC],Pine O Cleen,Ajax,Bosisto's,Dettol,Earth Choice
2021-08-01,0.0,0.0,0.0,44.0,0.0
2021-09-01,2.75,0.0,0.0,46.5,0.0
2021-10-01,1.8,0.0,0.0,43.4,0.0
2021-11-01,0.0,0.0,0.0,42.75,0.0
2021-12-01,0.0,0.0,0.0,50.5,0.0
2022-01-01,0.0,0.0,15.2,75.2,0.0
2022-02-01,0.0,0.0,12.25,57.75,0.0
2022-03-01,3.75,0.0,16.0,56.25,0.0
2022-04-01,3.5,0.0,14.5,51.0,0.0
2022-05-01,3.2,0.0,15.8,47.2,0.0
2022-06-01,2.75,0.0,10.75,40.5,0.0
2022-07-01,3.2,1.2,0.0,47.4,0.0
2022-08-01,0.0,0.0,0.0,45.25,0.0
2022-09-01,1.25,0.0,0.0,42.0,6.25
2022-10-01,1.0,0.0,0.0,46.2,10.8
2022-11-01,0.0,0.0,0.0,46.0,9.5
2022-12-01,1.25,1.5,0.0,47.0,8.0
2023-01-01,1.0,0.0,0.0,51.4,9.8
2023-02-01,0.0,0.0,0.0,48.5,12.25
2023-03-01,1.5,0.0,0.0,48.0,11.75
2023-04-01,1.4,0.0,0.0,50.8,10.6
2023-05-01,0.0,0.0,0.0,44.25,11.25
2023-06-01,6.0,0.0,0.0,43.75,11.5
2023-07-01,1.2,1.0,0.0,50.6,13.4
2023-08-01,3.0,0.0,0.0,42.5,14.25
2023-09-01,0.0,1.25,0.0,44.25,12.75
2023-10-01,2.4,0.0,0.0,47.6,12.8
2023-11-01,0.0,1.25,0.0,49.25,13.75
2023-12-01,2.4,0.0,0.0,57.8,12.4
2024-01-01,1.75,1.25,0.0,58.5,15.0
2024-02-01,2.75,3.0,0.0,58.5,11.75
2024-03-01,1.0,1.8,0.0,56.4,12.2
2024-04-01,0.0,0.0,0.0,55.5,13.5
2024-05-01,1.25,4.75,0.0,48.75,14.0
2024-06-01,1.0,2.0,0.0,48.4,14.4
2024-07-01,0.0,1.5,0.0,55.0,15.25
2024-08-01,1.25,5.0,0.0,49.75,13.0
2024-09-01,2.2,5.0,0.0,55.0,14.6
2024-10-01,0.0,3.0,0.0,54.25,15.0
2024-11-01,0.0,3.0,0.0,58.75,14.5
2024-12-01,1.2,1.2,0.0,63.2,15.0
2025-01-01,3.0,3.5,0.0,63.75,17.0
2025-02-01,2.5,6.25,0.0,68.75,15.0
2025-03-01,2.6,5.2,0.0,60.8,16.2
