time [UTC],Pine O Cleen,Earthwise,Ecostore,Koala Eco,Koh
2021-08-01,0.0,0.0,0.0,0.0,58.0
2021-09-01,7.0,0.0,0.0,0.0,71.75
2021-10-01,4.4,0.0,0.0,3.2,74.6
2021-11-01,0.0,0.0,0.0,0.0,78.0
2021-12-01,0.0,0.0,0.0,0.0,67.25
2022-01-01,0.0,0.0,0.0,0.0,75.4
2022-02-01,0.0,0.0,0.0,0.0,85.0
2022-03-01,9.5,0.0,0.0,0.0,74.75
2022-04-01,8.5,0.0,0.0,0.0,68.0
2022-05-01,7.6,0.0,0.0,9.6,54.6
2022-06-01,6.75,0.0,4.75,19.75,61.75
2022-07-01,7.4,0.0,0.0,19.4,60.6
2022-08-01,0.0,0.0,0.0,19.75,60.5
2022-09-01,3.0,0.0,0.0,22.5,68.0
2022-10-01,2.2,0.0,0.0,16.0,68.0
2022-11-01,0.0,0.0,0.0,28.5,74.5
2022-12-01,3.0,0.0,0.0,25.5,66.0
2023-01-01,2.6,0.0,0.0,24.8,64.2
2023-02-01,0.0,0.0,0.0,19.75,69.5
2023-03-01,3.75,0.0,0.0,17.5,63.75
2023-04-01,3.2,0.0,0.0,28.0,70.2
2023-05-01,0.0,0.0,0.0,22.0,57.5
2023-06-01,14.5,0.0,0.0,24.75,56.0
2023-07-01,3.2,0.0,0.0,26.4,58.2
2023-08-01,7.0,0.0,0.0,22.0,65.75
2023-09-01,0.0,0.0,0.0,24.75,68.0
2023-10-01,5.6,0.0,0.0,24.6,57.8
2023-11-01,0.0,0.0,0.0,34.75,64.75
2023-12-01,6.0,0.0,0.0,26.2,67.0
2024-01-01,4.25,0.0,0.0,29.0,89.25
2024-02-01,6.5,0.0,0.0,21.75,81.5
2024-03-01,2.4,0.0,0.0,26.8,68.8
2024-04-01,0.0,0.0,0.0,31.0,68.75
2024-05-01,3.0,0.0,0.0,37.25,58.25
2024-06-01,2.4,0.0,0.0,36.2,56.8
2024-07-01,0.0,0.0,0.0,41.0,60.5
2024-08-01,3.25,0.0,0.0,37.5,58.25
2024-09-01,5.6,0.0,0.0,36.6,62.2
2024-10-01,0.0,0.0,0.0,36.5,75.25
2024-11-01,0.0,0.0,0.0,46.5,57.0
2024-12-01,3.0,0.0,0.0,57.0,66.0
2025-01-01,7.25,0.0,0.0,48.5,73.0
2025-02-01,6.5,0.0,0.0,57.5,73.5
2025-03-01,6.2,0.0,0.0,53.6,67.0
