time [UTC],Ikea,Freedom,Koala,Lounge Lovers,Nick Scali
2021-08-01,57.0,17.0,0.0,2.0,5.0
2021-09-01,59.25,19.75,0.0,2.0,5.75
2021-10-01,60.0,20.0,0.0,2.0,7.2
2021-11-01,60.75,21.0,0.0,2.5,8.25
2021-12-01,72.75,19.5,0.75,2.25,7.25
2022-01-01,75.6,21.2,0.0,2.8,8.6
2022-02-01,69.25,16.25,0.25,2.0,5.75
2022-03-01,73.0,16.25,0.0,2.0,6.5
2022-04-01,93.0,17.0,0.0,2.5,6.75
2022-05-01,79.8,16.4,0.0,2.2,6.8
2022-06-01,85.5,18.5,2.0,3.0,8.0
2022-07-01,75.0,15.8,0.6,3.0,6.4
2022-08-01,70.25,15.25,1.5,2.5,5.0
2022-09-01,57.5,15.5,1.5,2.0,4.75
2022-10-01,50.0,12.6,1.8,2.0,2.8
2022-11-01,48.25,11.75,2.25,2.5,4.25
2022-12-01,52.5,12.5,1.75,2.25,3.75
2023-01-01,52.4,12.6,2.0,2.0,5.8
2023-02-01,42.5,8.0,1.5,2.0,3.0
2023-03-01,31.75,6.5,2.0,1.75,4.0
2023-04-01,35.6,6.8,1.6,2.0,5.2
2023-05-01,31.5,7.75,2.0,2.0,5.25
2023-06-01,27.5,10.25,2.0,2.25,6.25
2023-07-01,35.0,8.6,2.0,2.0,5.0
2023-08-01,17.25,7.75,1.0,2.0,5.0
2023-09-01,16.25,9.25,0.0,2.0,5.0
2023-10-01,17.0,9.8,0.0,2.0,5.2
2023-11-01,21.25,11.25,0.0,2.25,6.25
2023-12-01,43.0,11.4,3.4,2.0,6.8
2024-01-01,39.0,9.5,4.0,2.0,6.75
2024-02-01,35.75,7.75,3.25,1.75,4.5
2024-03-01,29.4,7.2,3.6,2.0,5.2
2024-04-01,20.5,7.75,4.0,2.0,5.25
2024-05-01,17.25,8.5,4.25,2.0,5.5
2024-06-01,21.8,10.0,5.2,2.4,6.4
2024-07-01,36.75,8.0,3.75,2.0,4.5
2024-08-01,29.25,8.25,1.25,2.0,3.25
2024-09-01,32.2,8.4,0.0,2.0,2.0
2024-10-01,24.75,9.25,0.0,2.0,2.75
2024-11-01,28.75,9.75,0.0,2.75,2.0
2024-12-01,42.2,11.0,0.0,2.4,1.4
2025-01-01,32.25,10.25,0.0,2.0,1.75
2025-02-01,20.25,7.5,0.0,1.75,1.5
2025-03-01,27.8,7.2,0.0,2.0,1.2
