time [UTC],eBay,Grays
2021-08-01,93.0,3.0
2021-09-01,95.75,3.0
2021-10-01,86.6,3.0
2021-11-01,83.0,3.0
2021-12-01,76.75,2.5
2022-01-01,82.0,2.2
2022-02-01,80.5,2.75
2022-03-01,78.75,2.5
2022-04-01,77.5,2.0
2022-05-01,75.0,2.4
2022-06-01,75.0,2.25
2022-07-01,77.4,2.6
2022-08-01,75.75,2.5
2022-09-01,76.0,2.0
2022-10-01,75.4,2.0
2022-11-01,77.5,2.0
2022-12-01,70.75,2.5
2023-01-01,74.4,2.0
2023-02-01,67.5,2.0
2023-03-01,68.0,2.0
2023-04-01,67.2,2.2
2023-05-01,67.5,2.0
2023-06-01,67.5,2.0
2023-07-01,65.4,2.0
2023-08-01,64.0,2.0
2023-09-01,62.0,2.0
2023-10-01,61.4,2.0
2023-11-01,64.25,2.25
2023-12-01,61.8,2.0
2024-01-01,61.25,2.25
2024-02-01,54.5,2.5
2024-03-01,53.4,2.0
2024-04-01,53.25,2.0
2024-05-01,52.75,2.0
2024-06-01,53.0,2.0
2024-07-01,53.75,2.0
2024-08-01,51.0,2.0
2024-09-01,51.8,2.0
2024-10-01,51.25,2.0
2024-11-01,51.75,2.0
2024-12-01,51.4,1.8
2025-01-01,51.5,2.0
2025-02-01,49.75,2.0
2025-03-01,45.8,2.0
