time [UTC],eBay,Grays,Gumtree,Tradingpost
2021-08-01,94.0,2.0,73.0,0.0
2021-09-01,95.75,2.5,74.25,0.0
2021-10-01,87.4,2.6,76.6,0.0
2021-11-01,83.25,2.75,74.0,0.0
2021-12-01,77.25,2.25,71.0,0.0
2022-01-01,82.6,2.0,76.2,0.0
2022-02-01,80.75,2.25,75.0,0.0
2022-03-01,79.5,2.0,70.75,0.0
2022-04-01,77.75,0.0,71.25,0.0
2022-05-01,75.2,0.0,66.4,0.0
2022-06-01,75.25,0.0,69.25,0.0
2022-07-01,78.0,0.0,68.8,0.0
2022-08-01,75.75,0.0,66.25,0.0
2022-09-01,76.25,0.0,66.5,0.0
2022-10-01,75.8,0.0,64.0,0.0
2022-11-01,77.75,0.0,62.0,0.0
2022-12-01,71.75,0.0,61.25,0.0
2023-01-01,74.6,0.0,65.0,0.0
2023-02-01,68.0,0.0,60.0,0.0
2023-03-01,68.25,0.0,56.75,0.0
2023-04-01,67.4,0.0,55.2,0.0
2023-05-01,68.0,0.0,50.0,0.0
2023-06-01,67.75,0.0,51.5,0.0
2023-07-01,66.0,0.0,48.8,0.0
2023-08-01,63.5,0.0,44.5,0.0
2023-09-01,62.5,0.0,43.75,0.0
2023-10-01,62.4,0.0,43.2,0.0
2023-11-01,65.0,0.0,42.5,0.0
2023-12-01,62.0,0.0,43.6,0.0
2024-01-01,61.25,0.0,42.0,0.0
2024-02-01,55.0,0.0,37.5,0.0
2024-03-01,53.6,0.0,35.0,0.0
2024-04-01,53.25,0.0,33.0,0.0
2024-05-01,53.0,0.0,31.75,0.0
2024-06-01,53.0,0.0,30.2,0.0
2024-07-01,53.5,0.0,28.75,0.0
2024-08-01,51.5,0.0,28.0,0.0
2024-09-01,52.2,0.0,28.4,0.0
2024-10-01,51.5,0.0,28.5,0.0
2024-11-01,52.25,0.0,26.5,0.0
2024-12-01,51.8,0.0,27.0,0.0
2025-01-01,52.0,0.0,28.5,0.0
2025-02-01,50.25,0.0,25.5,0.0
2025-03-01,46.0,0.0,22.8,0.0
