time [UTC],AYAM,Lucky Kitchen,Marion's Kitchen,Mr Chen's,Obento
2021-08-01,87.0,0.0,11.0,0.0,5.0
2021-09-01,81.5,1.5,8.25,2.75,1.5
2021-10-01,65.0,0.0,4.6,0.0,4.6
2021-11-01,62.75,0.0,5.5,3.5,7.0
2021-12-01,66.25,1.5,6.25,1.75,0.0
2022-01-01,74.0,1.2,8.8,2.6,7.6
2022-02-01,65.75,2.25,11.0,0.0,4.5
2022-03-01,72.0,2.5,20.0,2.0,4.75
2022-04-01,78.25,1.0,19.25,4.75,5.75
2022-05-01,74.8,1.2,21.0,1.4,5.2
2022-06-01,79.5,0.0,21.5,2.25,4.0
2022-07-01,74.6,0.0,22.8,6.0,4.0
2022-08-01,77.25,0.0,20.75,4.0,6.25
2022-09-01,76.0,1.75,20.75,5.5,3.25
2022-10-01,72.2,0.0,17.8,2.4,3.8
2022-11-01,64.75,1.25,16.0,0.0,7.0
2022-12-01,62.75,0.0,22.0,1.5,2.5
2023-01-01,77.0,0.0,26.0,5.2,7.6
2023-02-01,71.0,0.0,21.0,1.75,7.25
2023-03-01,80.0,0.0,22.0,2.75,5.75
2023-04-01,87.8,1.0,30.0,5.6,5.2
2023-05-01,88.5,1.5,25.25,2.25,5.75
2023-06-01,87.75,1.25,27.25,4.75,2.75
2023-07-01,84.8,2.6,26.0,2.2,5.2
2023-08-01,88.5,2.0,19.0,4.25,5.75
2023-09-01,80.25,0.0,18.25,4.0,2.25
2023-10-01,80.4,0.0,18.2,4.6,7.2
2023-11-01,81.0,1.25,17.0,5.5,6.0
2023-12-01,75.6,1.0,18.8,2.8,3.8
2024-01-01,83.0,1.5,24.25,2.75,8.25
2024-02-01,81.5,5.0,17.25,4.0,4.0
2024-03-01,84.8,2.4,16.6,1.0,6.8
2024-04-01,82.75,1.25,17.5,2.0,6.5
2024-05-01,90.5,0.0,15.75,4.0,7.0
2024-06-01,87.4,0.0,15.8,0.0,4.8
2024-07-01,87.5,1.75,16.0,1.25,3.0
2024-08-01,81.25,2.75,14.5,3.75,5.75
2024-09-01,79.4,1.4,12.4,1.0,4.8
2024-10-01,70.5,0.0,12.25,2.75,7.5
2024-11-01,67.75,0.0,10.5,1.75,5.75
2024-12-01,67.6,0.0,12.2,0.0,5.0
2025-01-01,79.75,0.0,13.25,1.75,8.75
2025-02-01,80.0,0.0,12.25,2.0,7.75
2025-03-01,85.0,1.2,11.2,1.4,6.2
