time [UTC],Foot Locker,Culture Kings,General Pants Co.,JD Sports,PUSHAS
2021-08-01,34.0,0.0,9.0,0.0,0.0
2021-09-01,41.0,0.0,10.0,0.0,0.0
2021-10-01,41.6,0.0,10.4,0.0,0.0
2021-11-01,49.5,9.5,16.0,0.0,0.0
2021-12-01,57.0,22.5,17.75,0.0,0.0
2022-01-01,35.6,19.8,11.4,0.0,0.0
2022-02-01,32.25,21.0,11.75,0.0,0.0
2022-03-01,34.5,22.25,13.5,0.0,0.0
2022-04-01,34.25,0.5,12.75,0.0,0.0
2022-05-01,34.2,0.8,12.0,0.0,0.0
2022-06-01,40.0,0.75,11.25,0.0,0.0
2022-07-01,40.8,0.4,11.2,0.0,0.0
2022-08-01,41.0,0.0,10.75,0.0,0.0
2022-09-01,34.75,0.0,10.5,0.0,0.0
2022-10-01,33.4,0.0,10.2,0.0,0.0
2022-11-01,44.0,0.0,17.5,0.0,0.0
2022-12-01,53.5,0.0,17.75,0.0,0.0
2023-01-01,39.0,0.0,10.8,0.0,0.0
2023-02-01,33.5,0.0,10.25,0.0,0.0
2023-03-01,33.75,0.0,11.5,0.0,0.0
2023-04-01,38.2,7.0,11.0,44.0,0.0
2023-05-01,36.25,21.75,11.25,44.75,0.0
2023-06-01,41.75,21.0,10.5,50.5,0.0
2023-07-01,38.2,18.8,9.4,47.4,0.0
2023-08-01,39.5,16.75,10.0,46.0,0.0
2023-09-01,38.5,9.75,10.75,45.5,0.0
2023-10-01,35.6,9.6,10.2,44.4,0.0
2023-11-01,46.0,10.5,15.0,57.5,0.0
2023-12-01,48.4,29.4,13.2,58.2,0.0
2024-01-01,31.75,12.75,7.75,38.75,0.0
2024-02-01,26.75,11.25,8.5,35.5,0.0
2024-03-01,31.0,12.2,9.2,44.8,0.0
2024-04-01,33.25,6.25,9.75,47.25,0.0
2024-05-01,33.5,6.0,9.75,44.25,0.0
2024-06-01,32.4,0.0,8.4,51.4,0.0
2024-07-01,34.5,0.0,8.0,49.0,0.0
2024-08-01,32.0,0.0,8.0,43.75,0.0
2024-09-01,29.0,0.0,8.6,45.8,0.0
2024-10-01,25.25,0.0,8.0,37.75,0.0
2024-11-01,33.5,0.0,13.0,55.0,0.0
2024-12-01,39.6,0.0,13.2,64.0,0.0
2025-01-01,25.25,0.0,7.5,41.25,0.0
2025-02-01,25.0,0.0,7.75,33.5,0.0
2025-03-01,23.4,0.0,8.0,39.4,0.0
