time [UTC],Facebook,Bluesky,Instagram,Pinterest,RedNote
2021-08-01,83.0,0.0,27.0,0.0,0.0
2021-09-01,85.0,0.0,25.25,0.0,0.0
2021-10-01,86.8,0.0,26.0,0.0,0.0
2021-11-01,79.5,0.0,23.25,0.0,0.0
2021-12-01,81.0,0.0,23.75,0.0,0.0
2022-01-01,72.6,0.0,24.2,0.0,0.0
2022-02-01,75.0,0.0,25.25,0.0,0.0
2022-03-01,70.5,0.0,24.25,0.0,0.0
2022-04-01,73.5,0.0,24.75,0.0,0.0
2022-05-01,70.4,0.0,24.4,0.0,0.0
2022-06-01,70.75,0.0,24.0,0.0,0.0
2022-07-01,71.8,0.0,23.8,0.0,0.0
2022-08-01,71.25,0.0,23.5,0.0,0.0
2022-09-01,71.75,0.0,23.0,0.0,0.0
2022-10-01,70.0,0.0,22.8,0.0,0.0
2022-11-01,68.75,0.0,21.25,0.0,0.0
2022-12-01,71.5,0.0,22.5,0.0,0.0
2023-01-01,70.8,0.0,22.6,0.0,0.0
2023-02-01,70.0,0.0,22.75,0.0,0.0
2023-03-01,68.25,0.0,22.5,0.0,0.0
2023-04-01,68.4,0.0,22.6,0.0,0.0
2023-05-01,66.0,0.0,22.75,0.0,0.0
2023-06-01,65.75,0.0,21.5,0.0,0.0
2023-07-01,66.6,0.0,22.0,0.0,0.0
2023-08-01,64.25,0.0,20.75,0.0,0.0
2023-09-01,66.5,0.0,21.25,0.0,0.0
2023-10-01,64.6,0.0,21.0,0.0,0.0
2023-11-01,63.0,0.0,20.5,0.0,0.0
2023-12-01,64.2,0.0,20.8,0.0,0.0
2024-01-01,62.25,0.0,20.5,0.0,0.0
2024-02-01,57.25,0.0,20.75,0.0,0.0
2024-03-01,55.8,0.0,20.4,0.0,0.0
2024-04-01,54.75,0.0,19.25,0.0,0.0
2024-05-01,52.25,0.0,19.5,0.0,0.0
2024-06-01,51.0,0.0,19.2,0.0,0.0
2024-07-01,50.0,0.0,19.25,0.0,0.0
2024-08-01,49.75,0.0,19.25,0.0,0.0
2024-09-01,50.8,0.0,19.4,0.0,0.0
2024-10-01,46.75,0.0,20.25,0.0,0.0
2024-11-01,45.25,0.0,18.5,0.0,0.0
2024-12-01,47.6,0.0,19.4,0.0,0.0
2025-01-01,46.75,0.0,19.75,0.0,0.0
2025-02-01,46.0,0.0,20.0,0.0,0.0
2025-03-01,44.0,0.0,19.0,0.0,0.0
