time [UTC],Dove,Palmolive,Sukin,Sundae Body,Thankyou
2021-08-01,45.0,5.0,15.0,0.0,11.0
2021-09-01,50.25,5.5,14.0,0.75,10.25
2021-10-01,49.4,4.4,13.0,1.0,9.6
2021-11-01,49.5,5.0,13.5,0.0,10.0
2021-12-01,44.5,4.0,14.0,1.0,10.25
2022-01-01,46.8,7.0,13.4,0.8,8.2
2022-02-01,59.0,7.0,12.25,1.0,9.0
2022-03-01,58.25,6.5,12.75,0.75,9.25
2022-04-01,55.75,6.5,16.75,0.75,8.75
2022-05-01,56.0,6.4,15.6,0.4,9.0
2022-06-01,49.25,5.5,14.0,0.5,8.25
2022-07-01,50.6,5.8,13.4,0.2,8.4
2022-08-01,56.25,6.0,14.5,0.0,9.5
2022-09-01,56.25,6.0,14.0,0.0,9.25
2022-10-01,54.6,6.2,12.6,0.8,10.0
2022-11-01,54.25,6.0,15.0,2.0,10.5
2022-12-01,50.5,6.0,15.0,2.0,10.0
2023-01-01,52.8,6.0,14.6,0.6,7.2
2023-02-01,53.5,7.0,14.0,1.25,8.75
2023-03-01,55.0,6.75,13.5,1.0,9.0
2023-04-01,55.2,7.4,17.4,1.2,8.0
2023-05-01,53.75,7.5,13.75,0.0,9.75
2023-06-01,51.0,7.25,15.75,0.75,10.5
2023-07-01,51.2,7.8,15.2,0.6,10.4
2023-08-01,53.75,7.0,15.5,0.5,10.25
2023-09-01,56.25,7.75,14.5,0.25,9.75
2023-10-01,57.6,7.8,14.8,1.4,9.4
2023-11-01,62.0,7.5,16.75,2.25,10.5
2023-12-01,61.0,7.6,16.6,2.0,10.0
2024-01-01,56.5,8.5,15.0,0.25,7.5
2024-02-01,63.0,8.25,12.75,0.25,9.25
2024-03-01,56.0,8.0,13.0,1.0,10.0
2024-04-01,57.25,8.0,13.5,0.0,10.5
2024-05-01,66.25,8.25,13.0,0.0,11.0
2024-06-01,57.2,7.8,12.6,0.2,8.6
2024-07-01,63.5,7.75,13.25,0.25,8.5
2024-08-01,62.25,8.5,12.25,0.5,9.0
2024-09-01,62.4,7.8,11.6,0.4,10.2
2024-10-01,66.0,8.5,13.5,0.75,10.0
2024-11-01,71.0,8.0,12.75,1.5,10.0
2024-12-01,81.6,8.6,14.6,2.0,9.8
2025-01-01,72.0,9.0,13.25,0.5,7.25
2025-02-01,64.0,8.75,13.0,0.25,8.75
2025-03-01,66.8,8.6,12.0,0.2,8.6
