time [UTC],Dove,Glow Lab,Johnson's,My Soda,OC Naturals
2021-08-01,38.0,5.0,0.0,0.0,0.0
2021-09-01,40.75,6.25,0.0,0.0,0.0
2021-10-01,36.8,5.6,0.0,0.0,0.0
2021-11-01,38.75,3.5,0.0,0.0,0.0
2021-12-01,35.75,4.5,0.0,0.0,0.0
2022-01-01,37.0,4.6,0.0,0.0,0.0
2022-02-01,39.0,4.75,0.0,0.0,0.0
2022-03-01,40.25,5.0,0.0,0.0,0.0
2022-04-01,38.5,5.0,0.0,0.0,0.0
2022-05-01,38.8,4.6,0.0,0.0,0.0
2022-06-01,38.0,5.75,0.0,0.0,0.0
2022-07-01,41.0,6.2,0.0,0.0,0.0
2022-08-01,41.0,4.75,0.0,0.0,0.0
2022-09-01,45.25,4.75,0.0,0.0,0.0
2022-10-01,46.0,5.6,0.0,0.0,0.0
2022-11-01,48.75,5.25,0.0,0.0,0.75
2022-12-01,44.25,6.25,0.0,0.0,0.0
2023-01-01,44.2,5.0,0.0,0.0,0.0
2023-02-01,47.25,4.25,0.0,0.0,0.0
2023-03-01,49.0,7.5,0.0,0.0,0.0
2023-04-01,52.0,7.4,0.0,0.0,0.0
2023-05-01,52.0,6.25,0.0,0.0,0.0
2023-06-01,47.5,7.5,0.0,0.0,0.0
2023-07-01,49.8,7.4,0.0,0.0,0.0
2023-08-01,51.0,7.75,0.0,0.0,0.0
2023-09-01,55.75,7.5,0.0,0.75,0.0
2023-10-01,58.0,5.6,0.0,0.0,0.0
2023-11-01,58.0,7.0,0.0,0.0,0.0
2023-12-01,54.2,9.4,0.0,0.0,0.0
2024-01-01,56.0,9.25,0.0,0.0,0.0
2024-02-01,55.25,6.5,0.0,0.0,0.0
2024-03-01,54.8,7.0,0.0,0.0,0.0
2024-04-01,60.5,6.0,0.0,0.0,0.0
2024-05-01,62.75,8.25,0.0,0.0,0.0
2024-06-01,58.8,7.6,0.0,0.0,0.0
2024-07-01,63.75,7.25,0.0,0.0,0.0
2024-08-01,68.5,5.5,0.0,0.0,0.0
2024-09-01,70.8,8.0,0.0,0.0,0.0
2024-10-01,72.25,6.75,0.0,0.0,0.0
2024-11-01,83.25,6.5,0.0,0.0,0.0
2024-12-01,75.2,6.8,0.0,0.0,0.0
2025-01-01,82.25,5.0,0.0,0.0,0.0
2025-02-01,76.25,5.75,0.0,0.0,0.0
2025-03-01,71.4,2.6,0.0,0.0,0.0
