time [UTC],Cotton On,Jack London,M.J. Bale,Oxford,Peter Jackson
2021-08-01,43.0,0.0,0.0,0.0,0.0
2021-09-01,58.5,0.0,0.0,0.0,0.0
2021-10-01,52.6,0.0,1.4,0.0,0.0
2021-11-01,66.75,0.0,2.75,0.0,0.0
2021-12-01,31.5,0.0,0.25,0.0,0.0
2022-01-01,25.8,0.0,0.6,0.0,0.0
2022-02-01,59.25,0.0,1.25,0.0,0.0
2022-03-01,72.0,0.0,2.0,0.0,0.0
2022-04-01,76.25,0.0,2.25,0.0,0.0
2022-05-01,68.2,0.0,2.0,0.0,0.0
2022-06-01,64.0,0.0,2.0,0.0,0.0
2022-07-01,56.0,0.0,2.0,0.0,0.0
2022-08-01,56.5,0.0,2.0,0.0,0.0
2022-09-01,36.5,0.0,2.0,0.0,0.0
2022-10-01,54.2,0.0,2.2,0.0,0.0
2022-11-01,81.5,0.0,2.75,0.0,0.0
2022-12-01,80.75,0.0,2.25,0.0,0.0
2023-01-01,50.2,0.0,2.0,0.0,0.0
2023-02-01,49.0,0.0,2.0,0.0,0.0
2023-03-01,59.25,0.0,1.25,0.0,0.0
2023-04-01,61.0,0.2,2.2,0.0,0.0
2023-05-01,59.5,0.0,1.5,0.0,0.0
2023-06-01,56.75,0.0,1.5,0.0,0.0
2023-07-01,47.6,0.0,2.0,0.0,0.0
2023-08-01,50.25,0.0,2.5,0.0,0.0
2023-09-01,64.0,0.0,2.5,0.0,0.0
2023-10-01,61.8,0.0,2.8,0.0,0.0
2023-11-01,75.5,0.0,3.25,0.0,0.0
2023-12-01,66.6,0.0,2.4,0.0,0.0
2024-01-01,38.0,0.0,2.25,0.0,0.0
2024-02-01,41.0,0.0,2.25,0.0,0.0
2024-03-01,50.8,0.0,2.6,0.0,0.0
2024-04-01,55.75,0.0,2.5,0.0,0.0
2024-05-01,51.0,0.0,2.75,0.0,0.0
2024-06-01,22.4,0.0,2.8,0.0,0.0
2024-07-01,28.5,0.0,2.5,0.0,0.0
2024-08-01,43.5,0.0,2.25,0.0,0.0
2024-09-01,49.8,0.0,2.6,0.0,0.0
2024-10-01,54.75,0.0,3.0,0.0,0.0
2024-11-01,74.5,0.0,3.5,0.0,0.0
2024-12-01,71.8,0.0,2.4,0.0,0.0
2025-01-01,42.0,0.0,2.5,0.0,0.0
2025-02-01,37.25,0.0,2.25,0.0,0.0
2025-03-01,42.2,0.0,2.4,0.0,0.0
