time [UTC],eBay,Amazon,Depop,Etsy,Facebook Marketplace
2021-08-01,93.0,1.0,2.0,2.0,11.0
2021-09-01,95.75,2.25,2.0,1.75,12.5
2021-10-01,86.6,1.8,1.6,1.4,13.0
2021-11-01,83.0,2.75,1.25,1.75,13.0
2021-12-01,76.75,2.25,1.25,1.25,13.5
2022-01-01,82.0,1.8,2.0,7.0,14.6
2022-02-01,80.5,1.0,2.0,4.0,14.0
2022-03-01,78.75,1.25,2.0,4.25,12.75
2022-04-01,77.5,15.75,2.0,5.25,13.25
2022-05-01,75.0,0.6,2.0,9.0,12.8
2022-06-01,75.0,0.5,2.0,5.0,13.0
2022-07-01,77.4,0.8,2.0,7.4,13.6
2022-08-01,75.75,0.5,2.0,3.5,12.75
2022-09-01,76.0,1.25,2.0,2.75,13.5
2022-10-01,75.6,0.4,2.0,14.2,13.6
2022-11-01,77.5,1.0,2.0,15.75,14.25
2022-12-01,70.75,2.25,2.0,14.75,14.5
2023-01-01,74.4,0.4,2.0,15.8,15.8
2023-02-01,67.5,1.25,2.0,15.0,15.5
2023-03-01,68.0,15.75,2.0,12.0,14.75
2023-04-01,67.2,15.4,2.6,12.4,15.2
2023-05-01,67.5,1.25,2.75,10.75,14.75
2023-06-01,67.5,2.0,2.0,10.75,15.0
2023-07-01,65.4,1.6,2.2,11.0,15.2
2023-08-01,64.0,1.25,2.0,11.75,15.25
2023-09-01,62.0,1.25,2.25,11.25,15.25
2023-10-01,61.4,0.0,2.4,11.0,15.6
2023-11-01,64.25,0.0,2.25,13.25,15.25
2023-12-01,61.8,0.0,2.0,13.0,17.0
2024-01-01,61.25,16.0,3.0,13.75,16.75
2024-02-01,54.5,22.25,3.0,12.5,15.5
2024-03-01,53.6,20.2,3.0,12.0,14.6
2024-04-01,53.0,36.0,3.5,12.0,14.75
2024-05-01,52.75,32.75,3.75,11.75,14.5
2024-06-01,53.0,31.8,3.0,11.0,13.8
2024-07-01,53.75,40.5,3.0,11.75,13.5
2024-08-01,51.0,34.25,3.25,12.0,12.75
2024-09-01,51.8,33.8,3.4,11.2,14.0
2024-10-01,51.25,44.5,4.0,11.75,13.75
2024-11-01,51.75,46.75,3.75,13.75,13.5
2024-12-01,51.4,42.2,3.4,12.6,14.8
2025-01-01,51.5,34.5,4.75,12.75,14.25
2025-02-01,49.75,41.0,4.5,11.5,13.75
2025-03-01,45.8,36.8,5.0,11.0,13.2
