time [UTC],Healthy Life,Little Eco Shop
2021-08-01,12.0,0.0
2021-09-01,10.75,0.0
2021-10-01,10.4,0.0
2021-11-01,9.0,0.0
2021-12-01,18.5,0.0
2022-01-01,50.4,0.0
2022-02-01,13.0,0.0
2022-03-01,11.75,0.0
2022-04-01,10.5,0.0
2022-05-01,13.6,0.0
2022-06-01,11.5,0.0
2022-07-01,10.4,0.0
2022-08-01,10.25,0.0
2022-09-01,12.25,0.0
2022-10-01,12.0,0.0
2022-11-01,11.0,0.0
2022-12-01,9.0,0.0
2023-01-01,10.4,0.0
2023-02-01,11.75,0.0
2023-03-01,12.75,0.0
2023-04-01,11.4,0.0
2023-05-01,13.5,0.0
2023-06-01,12.0,0.0
2023-07-01,12.6,0.0
2023-08-01,14.25,0.0
2023-09-01,13.75,0.0
2023-10-01,16.2,0.0
2023-11-01,14.25,0.0
2023-12-01,11.6,0.0
2024-01-01,13.25,0.5
2024-02-01,13.5,0.0
2024-03-01,13.0,0.0
2024-04-01,13.5,0.0
2024-05-01,14.5,0.0
2024-06-01,13.6,0.0
2024-07-01,13.0,0.0
2024-08-01,14.25,0.0
2024-09-01,13.8,0.0
2024-10-01,15.25,0.0
2024-11-01,14.25,0.0
2024-12-01,12.6,0.0
2025-01-01,13.25,0.0
2025-02-01,13.5,0.0
2025-03-01,12.4,0.0
