time [UTC],Femfresh,Barely Intimate,Canesten,Replens,Summer’s Eve
2021-08-01,15.0,0.0,68.0,0.0,0.0
2021-09-01,11.25,0.0,66.25,0.0,0.0
2021-10-01,11.2,1.8,65.2,0.0,0.0
2021-11-01,13.0,0.0,62.0,0.0,0.0
2021-12-01,14.75,0.0,63.5,0.0,0.0
2022-01-01,15.6,0.0,75.0,0.0,0.0
2022-02-01,9.5,0.0,73.0,0.0,0.0
2022-03-01,13.75,0.0,78.5,1.5,1.5
2022-04-01,11.75,0.0,75.0,2.5,0.0
2022-05-01,12.0,0.0,71.6,0.0,0.0
2022-06-01,12.25,0.0,68.25,4.5,0.0
2022-07-01,16.4,0.0,71.4,1.6,0.0
2022-08-01,14.75,0.0,74.75,0.0,0.0
2022-09-01,17.75,0.0,76.25,2.0,2.75
2022-10-01,17.2,0.0,78.6,0.0,0.0
2022-11-01,13.0,0.0,70.0,2.0,0.0
2022-12-01,20.0,2.5,75.5,0.0,0.0
2023-01-01,16.6,0.0,77.2,2.4,0.0
2023-02-01,18.5,0.0,82.0,2.0,0.0
2023-03-01,16.75,0.0,76.25,2.0,0.0
2023-04-01,20.6,0.0,78.8,4.0,0.0
2023-05-01,18.25,0.0,73.25,3.75,0.0
2023-06-01,21.5,0.0,82.25,2.25,0.0
2023-07-01,19.6,0.0,74.8,3.2,0.0
2023-08-01,16.25,0.0,75.75,2.5,0.0
2023-09-01,19.0,0.0,79.5,3.25,0.0
2023-10-01,21.2,0.0,76.0,1.6,0.0
2023-11-01,19.0,0.0,75.5,0.0,0.0
2023-12-01,20.2,0.0,79.4,4.0,0.0
2024-01-01,15.5,0.0,74.5,2.25,0.0
2024-02-01,19.75,2.0,78.75,5.0,2.0
2024-03-01,18.6,0.0,73.4,1.6,0.0
2024-04-01,19.0,0.0,75.5,0.0,0.0
2024-05-01,18.0,0.0,68.75,0.0,0.0
2024-06-01,21.2,0.0,69.0,3.6,0.0
2024-07-01,17.5,0.0,74.5,2.5,0.0
2024-08-01,20.75,0.0,71.25,2.0,5.25
2024-09-01,23.2,0.0,77.2,3.0,0.0
2024-10-01,22.25,0.0,77.0,2.0,0.0
2024-11-01,17.0,0.0,70.75,7.25,0.0
2024-12-01,22.2,0.0,78.0,0.0,0.0
2025-01-01,18.25,0.0,86.75,1.75,0.0
2025-02-01,22.25,0.0,81.25,1.75,0.0
2025-03-01,21.2,0.0,71.8,3.4,0.0
