time [UTC],Femfresh,Vagisil,Vush
2021-08-01,31.0,53.0,0.0
2021-09-01,22.75,42.75,0.0
2021-10-01,22.8,23.6,0.0
2021-11-01,25.5,20.0,0.0
2021-12-01,29.25,21.0,0.0
2022-01-01,31.2,29.4,0.0
2022-02-01,19.25,28.25,0.0
2022-03-01,27.5,37.0,6.0
2022-04-01,23.75,26.75,36.25
2022-05-01,24.2,26.2,35.4
2022-06-01,24.75,29.25,52.5
2022-07-01,33.0,31.2,74.8
2022-08-01,28.75,27.75,56.75
2022-09-01,36.0,25.25,42.5
2022-10-01,34.8,29.6,43.4
2022-11-01,25.75,26.5,80.75
2022-12-01,40.0,29.25,38.0
2023-01-01,33.8,36.8,47.8
2023-02-01,36.75,34.0,53.25
2023-03-01,34.25,27.75,37.5
2023-04-01,41.6,32.6,38.0
2023-05-01,36.5,29.75,42.0
2023-06-01,43.0,27.75,28.5
2023-07-01,39.2,27.2,36.8
2023-08-01,32.75,31.25,35.5
2023-09-01,38.0,24.25,32.0
2023-10-01,43.2,30.2,31.4
2023-11-01,38.5,25.75,29.75
2023-12-01,40.2,41.2,6.2
2024-01-01,30.75,30.5,0.0
2024-02-01,39.5,32.0,7.75
2024-03-01,37.4,31.0,0.0
2024-04-01,38.25,36.25,5.0
2024-05-01,36.75,31.0,5.25
2024-06-01,42.2,27.4,3.6
2024-07-01,34.75,42.0,12.0
2024-08-01,42.0,36.0,22.25
2024-09-01,46.2,39.2,34.4
2024-10-01,45.0,38.0,36.0
2024-11-01,34.0,36.0,46.0
2024-12-01,45.2,29.6,47.8
2025-01-01,36.75,37.75,31.75
2025-02-01,45.25,34.75,34.5
2025-03-01,42.6,43.2,26.2
