time [UTC],Palmolive,OC Naturals,OGX,Sukin,Sunsilk
2021-08-01,22.0,0.0,18.0,63.0,6.0
2021-09-01,22.5,0.0,18.75,59.5,4.0
2021-10-01,18.6,0.0,14.2,54.4,1.0
2021-11-01,21.0,0.0,14.25,57.25,0.0
2021-12-01,18.0,0.0,13.25,59.25,1.5
2022-01-01,29.0,0.0,18.0,56.8,3.2
2022-02-01,30.0,0.0,18.0,52.5,1.25
2022-03-01,27.75,0.0,14.0,54.75,4.25
2022-04-01,27.25,0.0,17.75,71.0,2.25
2022-05-01,27.2,0.0,15.2,65.8,3.8
2022-06-01,22.75,0.0,15.0,59.75,4.0
2022-07-01,24.8,0.0,16.0,56.6,4.4
2022-08-01,25.25,0.0,15.5,61.0,2.75
2022-09-01,26.25,0.0,15.0,59.25,3.5
2022-10-01,25.8,0.0,17.6,52.8,3.2
2022-11-01,25.5,2.25,15.0,63.25,5.0
2022-12-01,26.5,0.0,13.25,62.75,6.25
2023-01-01,25.8,0.8,16.4,61.8,10.2
2023-02-01,29.75,1.25,14.75,58.75,5.25
2023-03-01,29.0,0.0,14.75,57.5,6.5
2023-04-01,31.2,1.8,20.6,74.0,6.2
2023-05-01,31.25,0.0,19.5,58.75,7.25
2023-06-01,31.75,0.0,17.5,66.5,5.25
2023-07-01,33.4,0.0,20.2,65.4,8.4
2023-08-01,29.5,0.0,19.25,66.75,5.5
2023-09-01,32.0,1.25,16.75,61.25,10.0
2023-10-01,33.4,3.0,16.4,63.4,11.2
2023-11-01,31.25,1.0,19.5,70.75,7.0
2023-12-01,32.8,2.2,19.4,69.4,6.2
2024-01-01,35.75,0.0,18.0,64.25,8.25
2024-02-01,35.0,2.75,17.5,54.5,3.5
2024-03-01,33.4,2.0,16.4,54.2,4.4
2024-04-01,33.75,1.25,19.0,56.5,7.75
2024-05-01,35.25,0.0,16.0,54.5,4.0
2024-06-01,31.8,1.8,18.8,53.4,5.6
2024-07-01,33.0,2.75,22.5,56.25,5.25
2024-08-01,35.25,5.25,20.75,51.25,3.5
2024-09-01,33.8,1.0,17.4,50.2,6.6
2024-10-01,35.75,3.0,17.25,56.25,6.25
2024-11-01,34.0,3.75,19.25,54.75,5.0
2024-12-01,36.6,2.2,17.2,62.0,5.8
2025-01-01,38.0,2.75,21.75,56.25,7.0
2025-02-01,37.5,3.25,20.25,56.75,6.5
2025-03-01,36.8,3.4,24.2,50.4,5.4
