time [UTC],MasterFoods,Hart & Soul,Maggi,McCormick,Mingle
2021-08-01,77.0,0.0,0.0,19.0,14.0
2021-09-01,72.0,0.0,0.0,17.75,18.5
2021-10-01,60.6,0.0,0.0,11.4,17.6
2021-11-01,55.5,0.0,0.0,17.75,21.25
2021-12-01,53.5,0.0,0.0,2.25,17.25
2022-01-01,63.8,0.0,0.0,11.4,13.0
2022-02-01,55.75,0.0,0.0,14.75,11.75
2022-03-01,56.25,0.0,0.0,11.75,13.25
2022-04-01,60.25,0.0,0.0,14.25,22.0
2022-05-01,61.8,0.0,0.0,15.8,24.6
2022-06-01,67.0,0.0,0.0,18.5,19.75
2022-07-01,67.8,0.0,0.0,17.0,18.2
2022-08-01,65.5,0.0,0.0,18.5,16.5
2022-09-01,56.5,0.0,0.0,16.25,16.75
2022-10-01,59.4,0.0,0.0,17.2,19.4
2022-11-01,58.75,0.0,0.0,12.0,19.5
2022-12-01,60.0,0.0,0.0,10.75,20.0
2023-01-01,69.0,0.0,0.0,13.0,19.2
2023-02-01,61.25,0.0,0.0,11.75,22.5
2023-03-01,69.75,0.0,0.0,18.75,16.5
2023-04-01,65.4,0.0,0.0,19.0,18.6
2023-05-01,83.5,0.0,0.0,25.25,23.0
2023-06-01,73.0,0.0,0.0,21.75,22.0
2023-07-01,72.4,0.0,0.0,17.8,19.4
2023-08-01,68.0,0.0,0.0,18.0,21.0
2023-09-01,63.0,0.0,0.0,21.25,23.75
2023-10-01,61.6,0.0,0.0,17.6,23.2
2023-11-01,61.75,0.0,0.0,15.0,23.25
2023-12-01,65.2,0.0,0.0,17.2,26.6
2024-01-01,68.0,0.0,0.0,18.75,15.0
2024-02-01,65.5,0.0,0.0,15.0,11.75
2024-03-01,61.2,0.0,0.0,18.2,14.2
2024-04-01,69.25,0.0,0.0,18.5,8.5
2024-05-01,70.0,0.0,0.0,19.5,6.0
2024-06-01,78.0,0.0,0.0,20.2,10.2
2024-07-01,80.75,0.0,0.0,20.5,11.75
2024-08-01,78.5,0.0,0.0,15.0,10.0
2024-09-01,68.6,0.0,0.0,18.4,8.4
2024-10-01,66.75,0.0,0.0,14.25,4.25
2024-11-01,63.5,0.0,0.0,16.5,2.0
2024-12-01,64.6,0.0,0.0,11.0,6.6
2025-01-01,65.5,0.0,0.0,16.0,2.25
2025-02-01,74.0,0.0,0.0,17.5,0.0
2025-03-01,72.0,0.0,0.0,18.0,0.0
