time [UTC],Kora Organics,Grown Alchemist,Rationale,Ren Skincare
2021-08-01,14.0,7.0,71.0,8.0
2021-09-01,18.75,6.0,65.0,0.0
2021-10-01,16.4,2.0,65.4,0.0
2021-11-01,16.75,6.75,59.0,0.0
2021-12-01,13.25,8.25,37.25,2.25
2022-01-01,11.8,9.0,41.8,0.0
2022-02-01,7.5,10.0,56.0,1.75
2022-03-01,10.0,11.0,89.75,0.0
2022-04-01,18.75,13.25,81.0,0.0
2022-05-01,12.0,7.4,90.0,1.4
2022-06-01,14.0,11.0,70.5,2.25
2022-07-01,10.4,11.2,62.8,0.0
2022-08-01,10.5,10.0,94.75,0.0
2022-09-01,12.0,8.5,76.25,0.0
2022-10-01,9.2,11.6,77.6,0.0
2022-11-01,15.25,15.25,60.75,3.25
2022-12-01,9.0,21.75,44.75,0.0
2023-01-01,10.4,10.6,44.4,1.2
2023-02-01,10.25,9.75,65.75,0.0
2023-03-01,14.25,11.75,87.5,0.0
2023-04-01,14.4,8.2,83.4,1.6
2023-05-01,9.5,6.5,92.25,0.0
2023-06-01,10.75,8.5,63.5,0.0
2023-07-01,12.2,8.4,57.8,0.0
2023-08-01,11.5,4.5,85.75,0.0
2023-09-01,19.0,7.5,74.25,0.0
2023-10-01,11.2,7.6,67.6,0.0
2023-11-01,16.0,19.5,55.25,0.0
2023-12-01,11.4,17.0,35.2,0.0
2024-01-01,8.0,12.25,41.75,0.0
2024-02-01,11.75,12.5,59.75,0.0
2024-03-01,8.6,11.4,81.0,1.2
2024-04-01,10.5,10.5,85.0,2.0
2024-05-01,9.0,10.5,84.25,0.0
2024-06-01,7.6,9.8,58.2,0.0
2024-07-01,6.75,11.25,67.25,0.0
2024-08-01,11.0,8.75,74.25,0.0
2024-09-01,16.2,11.2,76.0,0.0
2024-10-01,11.0,10.25,70.25,0.0
2024-11-01,12.75,18.0,53.0,0.0
2024-12-01,12.4,14.4,34.6,0.0
2025-01-01,6.75,11.25,42.5,0.0
2025-02-01,3.75,10.75,52.5,0.0
2025-03-01,13.8,12.6,79.2,0.0
