time [UTC],AAMI,Bingle,Budget Direct,Huddle,Koba
2021-08-01,47.0,0.0,30.0,1.0,0.0
2021-09-01,58.5,0.0,32.75,1.5,0.0
2021-10-01,58.2,0.0,36.8,1.8,0.0
2021-11-01,63.75,0.0,41.25,2.25,0.0
2021-12-01,58.0,0.0,35.75,1.5,0.0
2022-01-01,73.8,0.0,50.8,2.0,0.0
2022-02-01,80.25,0.0,56.75,2.25,0.0
2022-03-01,77.75,0.0,52.25,1.75,0.0
2022-04-01,70.0,0.0,47.75,2.0,0.0
2022-05-01,74.4,0.0,51.6,2.2,0.0
2022-06-01,76.25,0.0,53.25,2.25,0.0
2022-07-01,75.2,0.0,52.6,2.2,0.0
2022-08-01,69.25,0.0,49.25,2.0,0.0
2022-09-01,71.75,0.0,48.25,1.75,0.25
2022-10-01,74.4,3.0,53.6,1.8,0.0
2022-11-01,72.0,6.0,53.25,1.75,0.0
2022-12-01,69.75,5.75,49.75,1.5,0.0
2023-01-01,78.8,7.6,62.8,2.0,0.0
2023-02-01,80.0,9.25,62.25,2.0,0.0
2023-03-01,76.5,11.25,59.5,2.25,0.0
2023-04-01,79.6,10.4,59.2,2.0,0.0
2023-05-01,82.75,11.25,66.25,2.0,0.0
2023-06-01,87.0,12.25,65.25,2.5,0.0
2023-07-01,81.4,13.2,62.4,2.2,0.0
2023-08-01,78.0,11.25,59.25,2.75,0.0
2023-09-01,79.75,11.0,64.0,2.25,0.0
2023-10-01,80.4,10.6,62.8,2.2,0.0
2023-11-01,82.25,11.0,64.0,2.25,0.0
2023-12-01,80.4,10.8,65.2,1.8,0.0
2024-01-01,88.25,10.0,71.75,2.25,0.0
2024-02-01,88.25,10.75,74.75,2.5,0.0
2024-03-01,85.6,10.6,65.8,1.8,0.0
2024-04-01,85.75,13.75,67.5,2.0,0.0
2024-05-01,84.75,13.5,69.0,2.0,0.0
2024-06-01,84.8,13.2,69.4,2.2,0.0
2024-07-01,81.25,12.0,68.25,1.75,0.0
2024-08-01,76.5,10.75,64.5,1.75,0.0
2024-09-01,76.8,10.0,68.0,1.8,0.0
2024-10-01,73.25,10.0,64.25,1.75,0.0
2024-11-01,74.0,9.75,61.75,1.75,0.0
2024-12-01,68.4,10.4,61.8,1.6,0.0
2025-01-01,85.5,13.0,73.5,1.5,0.0
2025-02-01,76.0,11.75,68.75,1.5,0.0
2025-03-01,76.0,11.8,72.0,1.6,0.0
