time [UTC],Avène,QR8 Mediskin,Tommi
2021-08-01,43.0,0.0,0.0
2021-09-01,41.0,0.0,5.25
2021-10-01,37.4,0.0,2.0
2021-11-01,35.5,0.0,1.25
2021-12-01,32.75,0.0,2.75
2022-01-01,38.4,0.0,3.4
2022-02-01,33.75,0.0,2.25
2022-03-01,34.0,0.75,4.75
2022-04-01,39.75,0.0,3.0
2022-05-01,36.4,0.0,2.8
2022-06-01,37.75,0.0,3.0
2022-07-01,52.6,0.0,2.6
2022-08-01,49.0,0.0,2.5
2022-09-01,45.5,0.0,0.0
2022-10-01,42.6,0.0,1.6
2022-11-01,49.75,0.0,1.25
2022-12-01,46.0,0.0,2.0
2023-01-01,47.0,0.0,1.0
2023-02-01,44.25,0.0,0.0
2023-03-01,42.75,1.25,4.25
2023-04-01,50.0,0.0,3.2
2023-05-01,61.75,0.0,2.25
2023-06-01,54.25,0.0,1.25
2023-07-01,62.4,1.0,1.0
2023-08-01,73.25,0.0,0.0
2023-09-01,73.25,0.0,2.0
2023-10-01,62.8,0.0,1.0
2023-11-01,62.0,1.0,2.0
2023-12-01,56.8,0.8,3.0
2024-01-01,74.75,0.0,2.25
2024-02-01,56.5,0.0,1.25
2024-03-01,60.4,0.0,3.4
2024-04-01,71.0,0.0,1.0
2024-05-01,63.5,0.0,2.75
2024-06-01,59.8,0.0,3.6
2024-07-01,71.25,0.0,2.25
2024-08-01,60.75,0.0,2.0
2024-09-01,67.6,0.0,1.0
2024-10-01,62.75,0.0,0.0
2024-11-01,68.0,0.0,3.0
2024-12-01,59.4,0.0,3.6
2025-01-01,70.75,0.0,0.0
2025-02-01,57.0,0.0,2.25
2025-03-01,52.0,0.0,2.4
