time [UTC],Yates,PowerFeed,Richgro,Scotts,Seasol
2021-08-01,18.0,0.0,20.0,33.0,72.0
2021-09-01,19.5,0.0,26.5,46.0,75.75
2021-10-01,28.4,0.0,23.4,35.2,78.0
2021-11-01,26.0,0.0,16.0,28.0,67.5
2021-12-01,23.75,0.0,21.0,21.0,57.5
2022-01-01,33.4,1.6,22.8,24.8,59.4
2022-02-01,26.0,0.0,20.0,24.25,50.5
2022-03-01,14.5,0.0,21.5,28.75,42.0
2022-04-01,16.5,0.0,19.0,21.5,37.75
2022-05-01,13.8,0.0,10.0,12.0,23.2
2022-06-01,2.25,0.0,9.5,8.0,24.0
2022-07-01,16.0,0.0,7.6,9.6,22.0
2022-08-01,8.0,0.0,15.75,17.5,34.0
2022-09-01,8.75,0.0,17.25,27.25,53.75
2022-10-01,12.4,0.0,16.4,23.4,56.0
2022-11-01,18.0,0.0,16.25,17.25,53.75
2022-12-01,13.5,0.0,19.5,18.25,60.25
2023-01-01,12.2,0.0,18.4,22.8,59.0
2023-02-01,15.0,0.0,21.0,20.75,48.25
2023-03-01,22.25,0.0,19.0,30.5,24.25
2023-04-01,16.8,0.0,15.0,22.4,18.2
2023-05-01,11.75,0.0,8.0,15.75,14.75
2023-06-01,12.0,0.0,10.5,12.5,11.5
2023-07-01,13.8,0.0,8.4,18.6,16.6
2023-08-01,31.5,0.0,14.0,24.5,25.0
2023-09-01,43.0,0.0,20.5,43.0,43.5
2023-10-01,43.6,0.0,20.0,38.6,44.0
2023-11-01,32.25,0.0,19.0,33.0,41.25
2023-12-01,30.2,0.0,22.4,23.2,30.2
2024-01-01,25.5,0.0,26.25,27.0,29.5
2024-02-01,25.75,0.0,31.0,25.5,31.5
2024-03-01,28.8,0.0,27.0,25.0,26.4
2024-04-01,19.5,0.0,20.0,28.0,19.0
2024-05-01,13.25,0.0,16.5,23.25,16.25
2024-06-01,7.2,0.0,3.8,15.4,13.0
2024-07-01,15.25,0.0,7.0,16.75,14.25
2024-08-01,25.5,0.0,14.0,26.5,22.75
2024-09-01,35.4,0.0,19.4,44.8,41.8
2024-10-01,45.25,0.0,22.25,39.75,37.0
2024-11-01,41.0,0.0,25.25,30.25,41.5
2024-12-01,33.4,0.0,23.6,33.4,34.0
2025-01-01,40.0,0.0,23.25,25.75,35.75
2025-02-01,37.5,0.0,26.5,29.75,29.75
2025-03-01,31.0,0.0,24.2,27.2,22.2
