time [UTC],AYAM,Lucky Kitchen,Marion's Kitchen,Mr Chen's,Obento
2021-08-01,0.0,0.0,35.0,0.0,15.0
2021-09-01,0.0,3.75,26.5,0.0,0.0
2021-10-01,0.0,0.0,22.6,0.0,7.4
2021-11-01,0.0,5.0,7.25,0.0,21.5
2021-12-01,0.0,0.0,21.0,0.0,0.0
2022-01-01,0.0,0.0,23.8,0.0,9.0
2022-02-01,0.0,4.75,24.0,0.0,5.0
2022-03-01,0.0,2.75,52.75,0.0,13.75
2022-04-01,0.0,2.75,51.25,3.25,12.0
2022-05-01,0.0,3.0,55.6,0.0,17.0
2022-06-01,0.0,8.0,55.5,3.75,12.25
2022-07-01,0.0,5.2,60.2,0.0,12.4
2022-08-01,3.5,0.0,52.75,0.0,8.0
2022-09-01,0.0,0.0,54.0,0.0,11.75
2022-10-01,0.0,2.8,47.6,2.6,8.0
2022-11-01,0.0,4.75,46.75,0.0,18.25
2022-12-01,0.0,0.0,58.25,0.0,8.25
2023-01-01,0.0,3.8,69.0,0.0,15.0
2023-02-01,0.0,0.0,57.75,0.0,17.75
2023-03-01,0.0,3.0,57.75,0.0,17.5
2023-04-01,0.0,2.8,82.2,0.0,13.8
2023-05-01,0.0,4.0,68.5,3.5,10.25
2023-06-01,0.0,0.0,73.25,3.5,11.0
2023-07-01,0.0,6.0,67.4,2.6,19.6
2023-08-01,0.0,3.75,52.75,0.0,14.0
2023-09-01,0.0,0.0,50.0,4.25,4.75
2023-10-01,4.4,0.0,52.6,3.6,15.8
2023-11-01,0.0,0.0,42.25,0.0,20.5
2023-12-01,0.0,6.6,53.6,0.0,17.2
2024-01-01,0.0,5.75,63.0,0.0,18.75
2024-02-01,0.0,14.0,43.0,3.5,20.0
2024-03-01,0.0,3.8,47.0,0.0,21.4
2024-04-01,0.0,3.5,48.75,0.0,13.5
2024-05-01,0.0,0.0,41.0,0.0,18.25
2024-06-01,0.0,0.0,42.2,0.0,12.6
2024-07-01,0.0,3.25,41.75,4.0,9.0
2024-08-01,0.0,7.5,36.75,0.0,15.25
2024-09-01,0.0,5.6,32.0,3.0,10.8
2024-10-01,0.0,0.0,31.75,0.0,18.75
2024-11-01,0.0,0.0,29.0,0.0,11.5
2024-12-01,0.0,4.2,29.6,0.0,16.0
2025-01-01,0.0,0.0,36.25,0.0,21.5
2025-02-01,0.0,4.0,35.0,5.75,26.75
2025-03-01,0.0,0.0,29.4,3.4,19.6
