time [UTC],Avène,SkinCeuticals,Software,The Secret Skincare,Tommi
2021-08-01,0.0,1.0,71.0,0.0,0.0
2021-09-01,0.0,1.25,71.5,0.0,0.0
2021-10-01,0.0,1.0,67.6,0.0,0.0
2021-11-01,0.0,1.25,68.0,0.0,0.0
2021-12-01,0.0,1.25,59.5,0.25,0.0
2022-01-01,0.0,1.4,73.4,0.0,0.0
2022-02-01,0.0,1.25,92.75,0.25,0.0
2022-03-01,0.0,1.5,93.75,0.0,0.0
2022-04-01,0.0,1.75,89.75,0.0,0.0
2022-05-01,0.0,1.4,92.2,0.0,0.0
2022-06-01,0.0,1.5,89.5,0.0,0.0
2022-07-01,0.0,2.0,92.8,0.0,0.0
2022-08-01,0.0,2.0,93.25,0.0,0.0
2022-09-01,0.0,1.75,83.25,0.0,0.0
2022-10-01,0.0,1.8,88.0,0.0,0.0
2022-11-01,0.0,2.0,81.0,0.0,0.0
2022-12-01,0.0,1.5,71.0,0.0,0.0
2023-01-01,0.0,1.2,80.6,0.0,0.0
2023-02-01,0.0,1.25,90.75,0.0,0.0
2023-03-01,0.0,1.25,88.5,0.0,0.0
2023-04-01,0.0,1.6,87.2,0.0,0.0
2023-05-01,0.0,2.0,87.0,0.0,0.0
2023-06-01,0.0,1.75,84.25,0.0,0.0
2023-07-01,0.0,1.8,86.0,0.0,0.0
2023-08-01,0.0,2.0,82.0,0.0,0.0
2023-09-01,0.0,1.75,77.0,0.0,0.0
2023-10-01,0.0,1.8,78.0,0.0,0.0
2023-11-01,0.0,2.25,76.0,0.0,0.0
2023-12-01,0.0,1.4,66.6,0.0,0.0
2024-01-01,0.25,1.0,78.0,0.0,0.0
2024-02-01,0.0,1.5,89.0,0.0,0.0
2024-03-01,0.0,1.6,84.6,0.0,0.0
2024-04-01,0.0,1.0,83.75,0.0,0.0
2024-05-01,0.0,1.25,85.0,0.0,0.0
2024-06-01,0.0,1.4,82.0,0.0,0.0
2024-07-01,0.0,1.25,84.5,0.0,0.0
2024-08-01,0.0,2.0,82.0,0.0,0.0
2024-09-01,0.0,2.0,77.2,0.0,0.0
2024-10-01,0.0,1.75,77.75,0.0,0.0
2024-11-01,0.0,2.0,75.75,0.0,0.25
2024-12-01,0.0,1.6,65.6,0.0,0.0
2025-01-01,0.25,1.75,80.0,0.0,0.0
2025-02-01,0.0,1.5,86.0,0.0,0.0
2025-03-01,0.0,1.8,87.6,0.0,0.0
