time [UTC],OMO,Dynamo,Earth Choice,Earthwise,Ecostore
2021-08-01,33.0,47.0,11.0,0.0,10.0
2021-09-01,33.75,52.0,8.75,0.0,9.5
2021-10-01,28.6,55.2,7.6,0.0,8.8
2021-11-01,32.75,48.0,7.0,0.0,11.25
2021-12-01,30.25,36.25,4.5,0.0,10.5
2022-01-01,38.4,40.2,7.8,0.0,11.6
2022-02-01,38.0,49.0,10.5,0.0,10.0
2022-03-01,36.25,48.25,8.0,0.0,11.25
2022-04-01,42.5,50.75,11.5,0.0,10.0
2022-05-01,42.6,50.4,8.6,0.0,10.2
2022-06-01,37.5,58.5,10.75,0.0,15.75
2022-07-01,45.4,60.0,9.0,0.0,15.0
2022-08-01,40.0,50.0,10.5,1.25,14.75
2022-09-01,41.75,47.25,8.5,0.0,12.0
2022-10-01,43.8,47.0,11.6,0.0,9.8
2022-11-01,44.0,45.75,9.25,1.5,14.75
2022-12-01,42.25,41.5,8.5,0.0,14.25
2023-01-01,48.2,51.4,10.6,0.0,13.4
2023-02-01,44.75,46.5,10.25,0.0,12.25
2023-03-01,44.75,47.25,11.0,2.0,14.5
2023-04-01,60.0,51.8,10.0,0.0,16.2
2023-05-01,52.75,53.75,11.75,0.0,12.5
2023-06-01,52.0,58.5,11.0,0.0,14.75
2023-07-01,58.2,51.6,11.6,0.0,15.6
2023-08-01,53.5,53.75,12.75,0.0,15.75
2023-09-01,66.0,60.5,11.5,0.0,14.0
2023-10-01,64.4,48.6,11.2,0.0,13.8
2023-11-01,60.0,45.0,12.0,0.0,16.5
2023-12-01,63.2,54.6,12.0,0.0,17.0
2024-01-01,66.25,52.5,12.0,0.0,16.75
2024-02-01,62.25,50.25,10.25,0.0,18.75
2024-03-01,62.2,51.0,10.6,0.0,15.8
2024-04-01,65.0,52.25,10.25,0.0,17.0
2024-05-01,59.5,57.5,12.75,0.0,21.0
2024-06-01,60.8,56.0,12.6,0.0,23.8
2024-07-01,67.0,56.25,11.75,4.75,18.75
2024-08-01,62.75,58.5,13.25,2.25,19.0
2024-09-01,60.4,54.4,12.8,5.0,20.0
2024-10-01,61.25,55.0,13.0,0.0,21.5
2024-11-01,58.75,52.75,12.5,1.5,27.0
2024-12-01,67.8,45.4,12.2,1.2,25.8
2025-01-01,72.25,50.5,14.75,3.0,25.75
2025-02-01,71.75,53.0,12.0,1.25,24.0
2025-03-01,68.2,54.8,12.6,0.8,23.2
