category_name,brands,mean_reliability,mean_max_r
Yoghurt,16,0.656343071158858,0.7758531808991893
Fast Food,15,0.6320806312723547,0.7513197014864992
Men's Online Health Providers,13,0.5933798840630906,0.7194101154882673
Homeware,11,0.5743111883977738,0.6724727346024072
Outdoor Apparel,12,0.5549715594016581,0.6368314568263728
Breakfast or Health Foods,12,0.5531806162739551,0.7398250729077656
Chocolate bars and blocks,9,0.500029393280835,0.6483393779139229
Chocolate,7,0.46193778677640995,0.6625714989204469
Social Media Platforms,10,0.444388299673294,0.6009763610301169
Household Cleaners (Indoor),16,0.4270668337917294,0.528709499306107
Skincare (Female Only),28,0.41862533520836454,0.5617694295056495
Chocolate & Confectionery,7,0.40277575355367135,0.576678588529107
Reusable Bottles,9,0.36445204733206094,0.5544761430902627
"Mattresses, beds, and pillows",10,0.35939904293224656,0.5942187134726705
Floor Cleaning Appliances,7,0.35747097781452025,0.5798911536257766
Female Skincare,8,0.3552686473415372,0.5408702496298675
Haircare,13,0.351831466667235,0.5256017010315938
Laundry Care,13,0.3484205055634495,0.52764631171135
"Chips, Crisps, Crackers",6,0.3476324562105503,0.5095218186239178
Healthy Beverages,8,0.33912376596213956,0.47514862235136524
Health & Beauty Retailers,6,0.30926837470140794,0.5425626446221118
Sugar confectionery,11,0.303946530074062,0.4235868976929115
Furniture & Homeware,11,0.30357519715046555,0.4822103957485995
Liquor Retailer,11,0.29375787143834114,0.47031482673190966
Department Stores,6,0.26559908545294697,0.4553549940238613
Streetwear,7,0.25448812752017813,0.4458537677414855
Garden Care,7,0.24585525588649706,0.4431092937525878
Chocolate confectionery,8,0.24212755076065023,0.4544664710000497
Audio Content,12,0.2385175695020597,0.40468390626716866
Cafes,7,0.23664621933143853,0.3563266340247884
Eco Products,6,0.23313648845807755,0.38502010034707174
Packaged Snacks,10,0.2310221462061615,0.36718156037045185
Fresh Meat & Poultry,6,0.22688238658268886,0.35387183939371214
Asian Foods & Condiments,10,0.21927948533426123,0.42241656441111486
Coffee,18,0.21827808278334018,0.38038027236774247
Holiday Destinations,7,0.21788659874494742,0.2914502559133362
"Coupons, Discounts and Vouchers",6,0.21259476789602955,0.34083133688726597
Feminine Hygiene Products (Female Only),6,0.20556103841221107,0.3484468875402754
Men's Clothing (Male Only),12,0.2039876267515505,0.3755825555734506
Kitchenware Retailers,7,0.2021165962387563,0.36907661700015887
Female Fashion,11,0.19423327479574862,0.38039720139710115
"Crumbs, Coatings and Sauces",6,0.1713384074961541,0.3620064195913234
Car Insurance,10,0.17128263348121026,0.3067584216977367
Online Outlet Retailer,6,0.16350831904077132,0.3171722702319706
Body Care,11,0.14684757956595257,0.27404722034111567
Retail Establishments,8,0.14576717875443357,0.29145346634619806
Fresh Milk (Dairy),7,0.13603781544589028,0.29558763575108216
Skincare,9,0.11043201805121312,0.24047334786372523
News or Media Sources,7,0.0710996325583866,0.17735802567417086
Online Market Places,8,0.025115494267752433,0.0782610477978657
