category_name,brand_name,r_within,n_q,reliability,max_attainable_r
Breakfast or Health Foods,Farmer Jo,-0.07704604114052269,38,0.5856851897099619,0.7653007184825856
Breakfast or Health Foods,Hubbards,0.15392790779526752,38,0.5068227290584708,0.711914832728235
Breakfast or Health Foods,Irrewarra,0.3135241094975261,38,0.5905302721857321,0.7684596750550624
Breakfast or Health Foods,Jordans,-0.001073291296499006,38,0.4258274676667423,0.6525545706427488
Breakfast or Health Foods,Morning Sun,-0.4450457264536739,38,0.3327089625853445,0.5768092948153181
Breakfast or Health Foods,Sonoma Bakery,-0.16843829030323382,38,0.6451352862759596,0.8032031413509036
Breakfast or Health Foods,Uncle Tobys,-0.2495357797343346,38,0.6578875268121261,0.8111026610806589
Cafes,Cafe 63,-0.5340251615654432,15,0,0
Cafes,Gloria Jeans,0.2322914017475972,15,0.02081399330677825,0.1442705559245484
Cafes,Jamaica Blue,-0.5321540465129183,15,0,0
Cafes,Krispy Kreme,0.3082613514087203,15,0.9900584316022933,0.995016799658324
Cafes,Starbucks,0.07664908563983988,15,0.11886796897079079,0.34477234368607756
Cafes,The Coffee Club,0.7220991328755467,15,0.3551613968598758,0.5959541902360246
Cafes,Zarraffa's,0.2778802120349448,15,0.17162174458033164,0.41427254866854457
Car Insurance,AAMI,-0.004745968590823474,29,0,0
Car Insurance,Bingle,-0.2542778895169754,29,0,0
Car Insurance,Budget Direct,0.14916849563349227,29,0.38981462535287864,0.6243513636990622
Car Insurance,Huddle,-0.48069944665921327,29,0.25510178129861966,0.5050760153666175
Car Insurance,NRMA,-0.476050060355622,29,0,0
Car Insurance,RACQ,0.5769950692007766,29,0,0
Car Insurance,ROLLiN' Insurance,0.31953590171974844,29,0.09183005433523682,0.3030347411357926
Car Insurance,Suncorp,-0.12021969079987779,29,0.12067726820761082,0.3473863385448697
Car Insurance,Youi,0.7682821978694417,29,0.5752887258805454,0.758477900719952
"Chips, Crisps, Crackers",Boulder,-0.2734211133004844,35,0.2181276568743257,0.46704138668251416
"Chips, Crisps, Crackers",Burts,0.13305905577881344,35,0.010615129759779227,0.10302975181848797
"Chips, Crisps, Crackers",Kettle,-0.09174980927760343,35,0.47499987298907204,0.6892023454610932
"Chips, Crisps, Crackers",Red Rock Deli,0.5173635108145005,35,0.6726000341960094,0.8201219630006317
Chocolate,Cadbury,0.13454764477513026,33,0.6301318928149601,0.7938084736351458
Chocolate,Darrell Lea,0.23127285046413376,33,0.544352459426296,0.7378024528464893
Chocolate,Ferrero,0.3968882101586718,33,0.17980478394113786,0.4240339419682555
Chocolate,Lindt,0.03462634807538714,33,0.3756931565516555,0.6129381343591338
Chocolate,Nestlé,0.25881845129100417,33,0.4575866834343678,0.6764515381269879
Chocolate,Whittaker's,0.5733478566523467,33,0.251783216460353,0.5017800478898629
Chocolate & Confectionery,Allens,-0.13916461115162176,21,0.3731213403143725,0.6108365905169504
Chocolate & Confectionery,Boodles,-0.5213034849008611,21,0.8042283478868067,0.8967877942338459
Chocolate & Confectionery,Cadbury,-0.38355657055983655,21,0.5222106728868651,0.7226414552783871
Chocolate & Confectionery,Darrell Lea,0.227791040214367,21,0.4471100108407802,0.6686628528943269
Chocolate & Confectionery,KitKat,0.48061471824057067,21,0.46470962250275605,0.6816961364880662
Chocolate & Confectionery,Lindt,-0.19379093384899013,21,0.2080502804441187,0.4561252902921726
Chocolate & Confectionery,The Natural Confectionery Co.,0.3554580490025598,21,0,0
Chocolate bars and blocks,Cadbury,-0.019575239554588775,28,0.5692625224838146,0.754494879030875
Chocolate bars and blocks,Darrell Lea,-0.7079380851199958,28,0.5591682006392188,0.7477755014970863
Chocolate bars and blocks,KitKat,-0.3317023653142013,28,0.3596320273658584,0.5996932777394277
Chocolate bars and blocks,Life Savers,0.5540154703921742,28,0.33543882927423047,0.5791708118286266
Chocolate bars and blocks,Lindt,-0.11335737450928499,28,0.5748658341216094,0.7581990728836387
Chocolate bars and blocks,Old Gold,-0.1289273638088443,28,0.19778706717359226,0.44473257939304633
Chocolate bars and blocks,Toblerone,-0.4777847444217746,28,0.9941807101211995,0.9970861096822077
Chocolate bars and blocks,Tony's Chocolonely,-0.23987775721183555,28,0.9099293483479916,0.9539021691703985
Chocolate confectionery,Allens,-0.13136016958131347,29,0.13148598740905304,0.3626099659538511
Chocolate confectionery,Cadbury,-0.0962458559410461,29,0.25394492262977747,0.5039294818025409
Chocolate confectionery,M&M's,-0.2247185707274421,29,0.31696379249271883,0.5629953751965631
Chocolate confectionery,Maltesers,-0.11485330321649823,29,0.2677980344732292,0.5174920622320976
Chocolate confectionery,Pods,0.3307159635207499,29,0,0
Coffee,Allpress Espresso,-0.6275096857646553,28,0.2902169081140399,0.538717837196839
Coffee,Axil,0.7160151527542375,13,0.2564131606721912,0.5063725512625968
Coffee,Campos,-0.3358245904753377,28,0.2527302630546955,0.502722849147217
Coffee,Coffee Supreme,-0.43479618710842816,28,0.533932984901309,0.7307071813670022
Coffee,Industry Beans,0.44972477615818574,13,0.1818056649967359,0.42638675518446384
Coffee,ONA Coffee,-0.47170143428549394,19,0.21573137544774576,0.46446891763361925
Coffee,Padre Coffee,0.13083399859300307,19,0.025028847979113134,0.1582050820268209
Coffee,Sample Coffee,-0.16313769757046354,19,0.01989002186000425,0.14103198878270223
Coffee,Seven Miles,0.4527210092642687,29,0,0
Coffee,Single O,0.46607076291301225,29,0.07437044231017685,0.27270944668305286
Coffee,Toby's Estate,0.02815035220837015,29,0,0
Coffee,Vittoria Coffee,-0.4623296023402727,29,0.11140544377348735,0.33377454033147486
"Coupons, Discounts and Vouchers",Cashrewards,0.6434173785927905,18,0.5375877101345804,0.7332037303059638
"Coupons, Discounts and Vouchers",EatClub,-0.028579916883712746,18,0.20066719103949537,0.44795891668711696
"Coupons, Discounts and Vouchers",Entertainment,-0.48563648778567897,18,0,0
"Coupons, Discounts and Vouchers",First Table,0.19732829129691715,18,0.5161820669050644,0.718458117711161
"Coupons, Discounts and Vouchers",Groupon,-0.17970728760494734,18,0.02113163929703717,0.14536725661935418
"Coupons, Discounts and Vouchers",RedBalloon,0.0735344892727216,18,0,0
"Crumbs, Coatings and Sauces",Maggi,0.6290752570627658,15,0.2857278151026942,0.534535139259052
"Crumbs, Coatings and Sauces",MasterFoods,-0.29106766811471113,15,0.03966288027731944,0.1991554173938521
"Crumbs, Coatings and Sauces",McCormick,0.21759813907695724,15,0.30877823161226403,0.5556781726973483
"Crumbs, Coatings and Sauces",Mingle,0.7943568040941451,15,0,0
"Crumbs, Coatings and Sauces",Old El Paso,0.5111223044879378,15,0.1559624203018089,0.39492077724754987
Department Stores,Big W,0.742314900294825,14,0,0
Department Stores,David Jones,0.04346959930584577,14,0.5187542110310545,0.7202459378788988
Department Stores,Kmart,0.11083025672779837,14,0.1937838261473835,0.44020884378597336
Department Stores,Myer,0.31323699893250867,14,0.4213053898809482,0.6490804186546905
Department Stores,Salvos Stores,-0.196320164736825,14,0.10930024890623109,0.3306058815360536
Department Stores,Target,0.6785015352802013,14,0.3504508367520647,0.5919888822875516
Eco Products,Adore,0.3457200299903918,33,0.3731990565646341,0.6109002018043815
Eco Products,Biome,0.39765941510866787,33,0.3492803542858344,0.5909994537102673
Eco Products,Flora & Fauna,-0.6488779291705872,33,0,0
Eco Products,Go for Zero,0.23844795416423173,33,0.5337051108982113,0.7305512376953524
Fast Food,Guzman y Gomez,-0.5090507480629034,29,0.2848329206874534,0.5336974055468636
Fast Food,Hungry Jack's,0.7829200645291214,29,0.6681408368099541,0.8173988235922254
Fast Food,KFC,0.5532831608724402,29,0.2335415636707524,0.4832613823499167
Fast Food,Mad Mex,-0.27207082883476913,14,0,0
Fast Food,McDonalds,0.3541816598195789,29,0.5927099651848574,0.7698765908799003
Fast Food,Oporto,0.8551535112214613,29,0.9761071999216158,0.9879813763030231
Fast Food,Red Rooster,-0.09364555508467981,29,0.9872591169863362,0.9936091369277641
Fast Food,Schnitz,0.7211019997052102,29,0.9645544795499755,0.9821173451018852
Fast Food,Soul Origin,0.4904728614589606,29,0.962010837567646,0.980821511574683
Fast Food,Subway,-0.33226339447714504,29,0.4941829423726918,0.7029814665926064
Fast Food,Taco Bell,0.8420256435454139,29,0.5747359623279276,0.7581134231287081
Fast Food,Zambrero,-0.7674455894854281,29,0.3920235533098032,0.6261178429894833
Female Fashion,Country Road,-0.6675508915721499,40,0.19677902278006415,0.4435978164735081
Female Fashion,Cue,-0.19829022003803223,40,0.46900841030084905,0.6848418870811342
Female Fashion,Decjuba,-0.20840760043450454,40,0.0653364560773038,0.25560996865792185
Female Fashion,Forever New,0.4410442148501822,36,0.4104957473402413,0.640699420430705
Female Fashion,Gorman,0.3240310883277615,40,0.11266095962871123,0.33565005530866704
Female Fashion,Marcs,-0.11679623285303581,40,0,0
Female Fashion,Portmans,-0.11298816230654218,40,0.4079903378067286,0.6387412134869086
Female Fashion,Review,0.38979498207861285,40,0.20672670194044562,0.4546720817693182
Female Fashion,Seed Heritage,0.18910854536211014,40,0.12000212613327665,0.3464132303092315
Female Fashion,Veronika Maine,0.7565614044734288,40,0,0
Female Fashion,Witchery,0.469027519349966,40,0.1475662607456144,0.3841435418507181
Female Skincare,Alpha-H,0.5060713337214895,41,0.41219120922541747,0.6420211906358056
Female Skincare,Biologi,0.028920469977289497,41,0.4786384534263856,0.6918370136284887
Female Skincare,Emma Lewisham,-0.25492336366374563,41,0.3464542964761801,0.588603683709319
Female Skincare,Go-to-skincare,0.714447016128449,40,0.7587443621332157,0.8710593333023966
Female Skincare,Grown Alchemist,0.07318940064249795,41,0.14610986081027763,0.38224319589794875
Female Skincare,Kora Organics,0.7318177839467583,41,0.5073937495210933,0.7123157653183687
Female Skincare,Rationale,0.41713970294742175,41,0.19261724713972747,0.43888181454661285
Female Skincare,Ren Skincare,0.46736502033000776,37,0,0
Feminine Hygiene Products (Female Only),Canesten,0.5588767432031606,15,0.14066344606453163,0.3750512579162102
Feminine Hygiene Products (Female Only),Femfresh,-0.7131742144209298,15,0,0
Feminine Hygiene Products (Female Only),Replens,-0.0754205832823713,15,0.09018527705061473,0.300308636323724
Feminine Hygiene Products (Female Only),Vagisil,0.5970546762752502,15,0.4704104142665872,0.6858647200917883
Feminine Hygiene Products (Female Only),Vush,0.4330010883483809,15,0,0
Floor Cleaning Appliances,Bissell,0.16856217370306548,23,0.1951832955675276,0.4417955359298321
Floor Cleaning Appliances,Dyson,0.09755346395791674,23,0.448573838288527,0.6697565515084768
Floor Cleaning Appliances,Hoover,-0.31010935368710907,23,0.371474799443458,0.609487325088437
Floor Cleaning Appliances,Kärcher,0.24610256711618927,23,0.1761567623029209,0.4197103314226622
Floor Cleaning Appliances,Shark,0.9416765311344952,23,0.7357214622854477,0.8577420721204293
Floor Cleaning Appliances,Tineco,0.44016510824649746,23,0.3717720088466343,0.6097310955221443
Floor Cleaning Appliances,Vax,0.27132855445332615,23,0.20341467796712615,0.4510151637884542
Fresh Meat & Poultry,Coles Finest,-0.2884088313438337,16,0,0
Fresh Meat & Poultry,Lilydale,0.002416980046007636,16,0.01439655650623569,0.1199856512514546
Fresh Meat & Poultry,Macro,-0.13257970717773035,16,0,0
Fresh Milk (Dairy),Norco,0.10410462828439149,14,0.2475763773292207,0.4975704747362133
Fresh Milk (Dairy),PURA,0.4830688385075791,14,0,0
Fresh Milk (Dairy),Pauls,0.11762258859579722,14,0,0
Fresh Milk (Dairy),Zymil,0.27380098130835495,14,0.3937371516329697,0.6274847819931331
Fresh Milk (Dairy),a2 Milk,-0.6572915621272952,14,0.06638427674359595,0.25765146369387454
Furniture & Homeware,Castlery,0.13705890205728424,21,0.25991366217384815,0.5098172831258746
Furniture & Homeware,Ecosa,-0.4496144216829785,21,0.0067177552167647534,0.0819619132082991
Furniture & Homeware,Fantastic Furniture,0.25571102330021883,23,0.5180828647720062,0.7197797335101942
Furniture & Homeware,Freedom,0.023126198531303294,35,0.6937866595740535,0.8329385689077278
Furniture & Homeware,Ikea,-0.4197283287178592,21,0.4469380998416795,0.6685342921957552
Furniture & Homeware,Koala,0.23654283769293769,21,0,0
Furniture & Homeware,Lounge Lovers,-0.7849831474925189,35,0.2200937912061163,0.46914154709012534
Furniture & Homeware,Nick Scali,-0.3539895331949622,35,0.5217020554190223,0.7222894540411221
Furniture & Homeware,Temple & Webster,-0.898452631841899,35,0.13190435550661714,0.3631863922376734
Furniture & Homeware,West Elm,-0.0056392997859522126,35,0.05906649531361157,0.24303599592161562
Garden Care,Brunnings,-0.6112165475385605,18,0.2592277211129299,0.5091441064305173
Garden Care,Neutrog,0.057554087254985925,18,0.34904377405585413,0.5907992671422791
Garden Care,Richgro,0.5080163109371243,18,0,0
Garden Care,Scotts,0.03592856426831281,18,0.2086533420578804,0.45678588206935683
Garden Care,Seasol,-0.32703835966293776,18,0.15299204126016167,0.3911419707218361
Garden Care,Yates,-0.46090329803224356,18,0.5052146568321563,0.7107845361515375
Haircare,BondiBoost,0.5492165562725552,18,0.9301616334202163,0.9644488754828927
Haircare,Garnier Fructis,-0.6608775516948955,18,0.31817252552230385,0.5640678376953466
Haircare,Georgiemane,0.4154159976409817,18,0.8216526525877216,0.9064505792307276
Haircare,Glow Lab,0.25070661356421486,18,0.376820196143359,0.6138568205561937
Haircare,Herbal Essences,-0.05192153439475388,18,0.5156104909621736,0.7180602279490026
Haircare,MONDAY,-0.8696185507792901,18,0.05537181662865622,0.23531216846703068
Haircare,My Soda,0.09985869671756711,18,0.3922905340382058,0.6263310099605526
Haircare,OGX,-0.45094164192612857,18,0.007526918180563849,0.0867578133689632
Haircare,Palmolive,-0.4413617673626659,18,0,0
Haircare,Sukin,0.2649472280758716,18,0.37494391888997225,0.6123266439491035
Haircare,Sunsilk,0.3846131780138159,18,0.30783009597786903,0.5548243830058923
Haircare,Thanks To Nature,0.6031118533353473,18,0.1374642338265536,0.3707616941197588
Health & Beauty Retailers,Adore Beauty,-0.21233386830837048,33,0.29790801365107955,0.5458095030787569
Health & Beauty Retailers,Chemist Warehouse,-0.5346774418589259,33,0.5172871360790826,0.7192267626271165
Health & Beauty Retailers,Mecca,-0.010480698369673242,33,0.16283306402552047,0.40352579102892605
Health & Beauty Retailers,Nourished Life,0.060023553109612306,33,0.20573388429449382,0.45357897250037266
Healthy Beverages,Bundaberg,-0.25367072075228564,34,0.7593615554532959,0.8714135387135639
Healthy Beverages,Naked Life,0.3461256096997153,34,0.5290949833046543,0.7273891553389109
Healthy Beverages,Nexba,0.3430463052388319,34,0,0
Healthy Beverages,Remedy,0.40467430287949047,34,0.18162688206527794,0.42617705483200047
Healthy Beverages,Shine,-0.014023407504287844,34,0,0
Holiday Destinations,Bali,0.7162853517838342,18,0,0
Holiday Destinations,"Port Douglas, Queensland",0.4004523937236432,18,0.002109871298470907,0.04593333537280857
Holiday Destinations,Tasmania,0.5308368299306043,18,0.4051362708542967,0.6365031585579892
Homeware,Adairs,-0.6280796166299575,19,0.421552723329603,0.6492709167440067
Homeware,Bed Bath N’ Table,0.49857186933864234,19,0.947961792816958,0.9736332948379272
Homeware,Bed Threads,0.8023559455072505,19,0.36150060965341013,0.6012492076114613
Homeware,Dusk,0.5242691401642616,19,0.9681585999693283,0.9839505068697959
Homeware,I Love Linen,-0.5540749376538582,19,0,0
Homeware,Koala,-0.6553518157401111,19,0.874193493198091,0.9349831512910225
Homeware,Pillow Talk,0.396673277017228,19,0.9051515972726512,0.951394553943132
Homeware,Sheet Society,-0.5432103943971258,19,0,0
Homeware,Sheridan,0.10833572990876737,19,0.5620738738283539,0.7497158620626577
Homeware,Temple & Webster,0.13220804065409714,19,0.930862246615576,0.9648120265707596
Household Cleaners (Indoor),Ajax,-0.6441007327259161,22,0.5194931510276605,0.7207587328833834
Household Cleaners (Indoor),Dettol,0.16430028726013574,22,0.9890722835880732,0.9945211328011453
Household Cleaners (Indoor),Earth Choice,-0.024641456268288234,22,0.5605181973095404,0.7486776324357103
Household Cleaners (Indoor),Earthwise,0.772092723804336,22,0.9301452841571295,0.964440399484141
Household Cleaners (Indoor),Ecostore,-0.21029288932775758,22,0.2408027785152268,0.49071659694290637
Household Cleaners (Indoor),Koala Eco,-0.3561391560047869,22,0,0
Household Cleaners (Indoor),Koh,0.22296244824122258,22,0,0
Household Cleaners (Indoor),Lucent Globe,0.23942287420001862,22,0.7322366609114007,0.8557082802634323
Household Cleaners (Indoor),Organic Choice,0.08014068352431909,22,0.23010260431728646,0.4796901127991763
Household Cleaners (Indoor),Pine O Cleen,0.7170423944625494,22,0.6653168329264567,0.815669561113112
Household Cleaners (Indoor),White King,-0.7016303147472712,22,0.980153379942281,0.9900269591997387
Household Cleaners (Indoor),Zero Co,0.2905655599353434,22,0,0
Kitchenware Retailers,House,0.40548270206568404,26,0,0
Kitchenware Retailers,Kitchen Warehouse,0.20522343561407652,26,0.318405944325574,0.5642747064378962
Kitchenware Retailers,Minimax,0.5096701183995577,26,0,0
Kitchenware Retailers,Myer,0.012488340536863709,26,0.29737290593268506,0.5453190863454946
Kitchenware Retailers,Victoria's Basement,-0.03528753013074849,26,0.07484770158479714,0.27358307985838076
Laundry Care,Biozet Attack,-0.5998076966960939,18,0.4478963715927209,0.6692506044769185
Laundry Care,Cold Power,0.6192615695822904,18,0.4122387216867761,0.6420581918228099
Laundry Care,Dynamo,-0.13279731131487765,18,0.3899883153726046,0.6244904445807034
Laundry Care,Earth Choice,-0.4980239420831972,18,0.10187572030694064,0.319179761743975
Laundry Care,Ecostore,-0.27752528335313575,18,0.4002976757686763,0.6326908216251255
Laundry Care,Fab,0.6620005807950494,18,0.4021663621207817,0.6341658790259704
Laundry Care,OMO,0.24308391428339982,18,0.2803577605184036,0.5294882062127575
Laundry Care,Organic Choice,0.6277897071806154,18,0.1797386208475032,0.42395591851925263
Laundry Care,Radiant,-0.6918639063270555,18,0.46580519252440894,0.6824992252921676
Liquor Retailer,BWS,-0.34728519597887464,22,0.6535810952279711,0.8084436252627459
Liquor Retailer,Bottlemart,-0.3619793504689757,22,0.29262928865771287,0.540952205520703
Liquor Retailer,Cellarbrations,-0.14688890927697673,22,0.2990534265502593,0.5468577754318387
Liquor Retailer,Dan Murphy's,-0.51679014868795,22,0.5874510815369308,0.7664535742867475
Liquor Retailer,First Choice,-0.21380897668980378,22,0.37712140536598404,0.6141021131424187
Liquor Retailer,Liquor Legends,-0.230484161200416,22,0,0
Liquor Retailer,Liquorland,-0.7707337643151203,22,0.5271767479808692,0.7260693823463906
Liquor Retailer,SipnSave,0.3661358233174622,22,0,0
Liquor Retailer,Thirstycamel,-0.027892230891700703,22,0.22551628010627087,0.4748855442169943
"Mattresses, beds, and pillows",Ecosa,-0.13974904427683607,32,0.308470397144637,0.5554011137409044
"Mattresses, beds, and pillows",Emma,-0.07931784276280614,32,0.3439231477429478,0.5864496122796465
"Mattresses, beds, and pillows",Ikea,0.17416900079591052,22,0.3032124715243412,0.5506473204550634
"Mattresses, beds, and pillows",Koala,-0.1366986896477025,32,0.2934298956220924,0.5416916979445895
"Mattresses, beds, and pillows",Sleeping Duck,-0.5960504658352014,32,0.4436166700876904,0.6660455465564576
Men's Clothing (Male Only),Calibre,-0.13803034315004126,23,0,0
Men's Clothing (Male Only),Connor,0.021541341866514914,23,0.05786453337166177,0.24055047988241837
Men's Clothing (Male Only),Cotton On,-0.33367318857596096,23,0.6043682046796138,0.777411219805589
Men's Clothing (Male Only),Industrie,-0.1720620708163596,23,0.4603345156616257,0.6784795617125292
Men's Clothing (Male Only),M.J. Bale,0.3482629448170106,23,0.19950659015165662,0.44666160586248804
Men's Clothing (Male Only),Oxford,-0.4061811207420173,23,0,0
Men's Clothing (Male Only),Peter Jackson,0.4811350742304324,23,0.2573656886193584,0.5073122200571936
Men's Clothing (Male Only),Politix,0.1796286914158331,23,0.16482704857225486,0.4059889759245377
Men's Clothing (Male Only),Tarocash,-0.20281925153191188,23,0.22180344747900937,0.4709601336408522
Men's Online Health Providers,Advanced Hair Studio,-0.2440483285282716,20,0.0019278542705748795,0.04390733732048528
Men's Online Health Providers,Burst Health,0.2901457920073521,30,0.564183896649384,0.7511217588709462
Men's Online Health Providers,Doctors (e.g. GP),0.2374101093152222,27,0.6217860542182135,0.7885341173457325
Men's Online Health Providers,His Clinic,-0.11638803393886352,40,0.8164558924211249,0.9035794887120474
Men's Online Health Providers,Manscaped,-0.7147474008067175,40,0.8495520836316379,0.9217114969618411
Men's Online Health Providers,Men's Health Clinic,0.28094919172480193,40,0.9088867147671976,0.9533555028252565
Men's Online Health Providers,Mosh,0.6798257871215322,40,0.8650850531116013,0.9300994855990413
Men's Online Health Providers,Pilot,-0.5330611322982748,40,0.49871873472200057,0.7062002086674859
Men's Online Health Providers,Rosemary Health,0.2780018732082472,40,0.7660869406080606,0.8752639262577092
Men's Online Health Providers,Simple Online Doctor,-0.44472410676509355,18,0.04996363917854505,0.22352547769447906
Men's Online Health Providers,Stagger,-0.29254046089266567,27,0.33158526027793994,0.5758344035206128
Men's Online Health Providers,The Hairy Pill,-0.5990665858456382,20,0.514699034580493,0.7174252815314589
News or Media Sources,Hack,0.20923488644607224,20,0.12480909320595232,0.35328330445402073
News or Media Sources,Nine,-0.2688687564291815,20,0.30936513282638434,0.55620601653199
News or Media Sources,Pedestrian,0.3771951581715966,20,0,0
News or Media Sources,The Daily Aus,-0.20468424975959737,20,0,0
News or Media Sources,The Guardian,0.09124009562013963,20,0.010237272125540889,0.10117940563939327
Online Market Places,Amazon,0.48409727846161726,12,0.06937549768683478,0.26339228858650127
Online Market Places,Depop,0.5767533154952302,12,0.13154845645518468,0.36269609379642437
Online Market Places,Etsy,-0.6678123042984438,12,0,0
Online Market Places,Facebook Marketplace,-0.4285664561544957,12,0,0
Online Market Places,Grays,0.6129708830847166,12,0,0
Online Market Places,Gumtree,0.16125888656348247,12,0,0
Online Market Places,eBay,0.4476923389197439,12,0,0
Online Outlet Retailer,David Jones,-0.21254136895958847,11,0.11003840185640887,0.3317203669605001
Online Outlet Retailer,Ozsale,-0.3484155854169305,11,0,0
Online Outlet Retailer,THE OUTNET,0.033249429215935614,11,0,0
Online Outlet Retailer,The Archive Place,0.3725880931454122,11,0.35203090117804997,0.5933219203586279
Online Outlet Retailer,The DOM,0.5273133038002914,11,0.11989581152855443,0.3462597457524545
Online Outlet Retailer,The Iconic,-0.39097775747231184,11,0.3990847996816146,0.6317315883202411
Outdoor Apparel,Country Road,-0.05525984435628294,26,0.9864722207597044,0.9932130792331042
Outdoor Apparel,Deus Ex Machina,0.2299724043776975,26,0.7850040945517225,0.8860045680196702
Outdoor Apparel,Gazman,0.5800721193493794,26,0.9423706324696488,0.9707577619929952
Outdoor Apparel,Glue Store,-0.08510506713937305,26,0.4061135733494939,0.6372704083428744
Outdoor Apparel,Paddy Pallin,-0.02082017748640199,26,0.01080773672056447,0.10396026510433912
Outdoor Apparel,R.M.Williams,0.014700475000315566,26,0.4376148819492678,0.661524664656782
Outdoor Apparel,Rodd & Gunn,-0.5319273148175431,26,0,0
Outdoor Apparel,Superdry,-0.19449845098322027,26,0.9523908142987154,0.9759051256647417
Outdoor Apparel,Thomas Cook,-0.34548014343512345,26,0.8886013571078353,0.9426565424945796
Packaged Snacks,Cadbury,-0.4952599662136982,18,0,0
Packaged Snacks,Carman's,-0.19931989777881218,18,0,0
Packaged Snacks,Doritos,-0.3395082387863683,18,0.32578947896540944,0.5707797114171188
Packaged Snacks,Oreo,0.2603384796450425,18,0.24369282807116913,0.4936525377947217
Packaged Snacks,Red Rock Deli,-0.4939817281234537,18,0.23436808049454724,0.4841157717886779
Packaged Snacks,Ritz,-0.3162028211251137,18,0,0
Packaged Snacks,Sakata,-0.5809591006657195,18,0.4346602691091607,0.6592876982844141
Retail Establishments,Birkenhead Point,0.5011052502659248,14,0,0
Retail Establishments,Chadstone,-0.42687252299978506,14,0.22254659701122298,0.4717484467501965
Retail Establishments,DFO,0.3195321738251775,14,0.3540629682118403,0.5950319052049565
Retail Establishments,Harbour Town,0.5861956531755695,14,0.06356563427560115,0.252122260571337
Retail Establishments,The DOM,0.12862260611937837,14,0,0
Retail Establishments,The Iconic,-0.5064308247112485,14,0.345118516648299,0.5874678856314607
Retail Establishments,Westfield,-0.19284760089792347,14,0,0
Reusable Bottles,Fressko,0.06037453484540842,17,0.2907527566187281,0.5392149447286565
Reusable Bottles,Hydro Flask,0.5282603206485527,17,0.38020954521473577,0.616611340485022
Reusable Bottles,Owala,0.2744251399113275,11,0.04184574756086076,0.20456233172522442
Reusable Bottles,Smash,0.24756902138727685,17,0.22550251608419308,0.47487105205960184
Reusable Bottles,Stanley,0.04647257474283943,17,0.6454709029912507,0.8034120381169619
Reusable Bottles,Waterdrop,0.15277031753469358,17,0.8338558330496116,0.9131570692107748
Reusable Bottles,Yeti,0.2993862746696007,17,0.6634713101147681,0.8145374823264846
Reusable Bottles,frank green,0.4332072587864715,17,0.12848488515066053,0.3584478834512216
Skincare,Avène,0.424777366120469,40,0.036456140155514814,0.19093491078248317
Skincare,Dr Dennis Gross,0.18393875091680761,40,0,0
Skincare,Go-To,0.3138240066088566,40,0.16566155256050538,0.4070154205438725
Skincare,La Roche-Posay,0.6039855801953515,40,0.5251919281058278,0.7247012681828477
Skincare,SkinCeuticals,0.016002106356479685,40,0.16358909539441016,0.40446148814740096
Skincare,Software,0.28787763797956284,40,0.07815832343873248,0.27956810161163326
Skincare (Female Only),Aesop,-0.38062248663449516,26,0.9711478522476911,0.9854683415755633
Skincare (Female Only),Avène,-0.22500426965761144,26,0,0
Skincare (Female Only),Bangn Body,-0.6729130869899398,26,0.29322308404037956,0.5415007701198398
