category_name,brand_name,r_within,n_q,reliability,max_attainable_r
Asian Foods & Condiments,Chang's,-0.24208349193617826,17,0.293294066216189,0.5415663082358327
Asian Foods & Condiments,Golden Wok,0.17330948196429594,17,0.2205095103887413,0.4695844017732502
Asian Foods & Condiments,Hong Kong Dim Sim Kitchen,-0.28964857299922847,17,0,0
Asian Foods & Condiments,Kikkoman,-0.4358302930143608,17,0.41792758942984465,0.6464731931254727
Asian Foods & Condiments,Mr Chen's,-0.27112171246700223,17,0.08089395041886703,0.28441861827044135
Asian Foods & Condiments,Obento,-0.02401960337077281,17,0.43538110065572333,0.6598341463244558
Asian Foods & Condiments,Pandaroo,0.1484146065830343,17,0.1384489499764778,0.3720872881146006
Asian Foods & Condiments,Roll’d,-0.1202736862652971,17,0.03533437386876221,0.187974396843725
Audio Content,ABC Listen,-0.1893571794074949,21,0.30729277063595895,0.5543399414041522
Audio Content,Apple Music,-0.1070907723852056,21,0,0
Audio Content,Audible,-0.7259477656437547,21,0.3082699917919413,0.5552206694566957
Audio Content,Mamamia,-0.4749591032990007,21,0.03076994097142251,0.17541362823743917
Audio Content,SoundCloud,0.3952727785320524,21,0.37032646613045295,0.6085445473672844
Audio Content,Spotify,-0.23800897244434158,21,0.38246826360303043,0.6184401859541717
Audio Content,YouTube,0.11189825632898837,21,0.4812425585113601,0.6937164828021316
Body Care,Dove,-0.8686233766838108,18,0.34462090275626056,0.5870442085194781
Body Care,Epzen,0.20656059856825135,18,0.27750498436636056,0.526787418572578
Body Care,Freshwater Farm,0.14977593316624155,18,0.2070121762824067,0.4549859077844134
Body Care,Glow Lab,0.3235080122773616,18,0.10512002607035878,0.3242221862710181
Body Care,My Soda,-0.47867362683056724,18,0,0
Body Care,Palmolive,0.4636000325724585,18,0.5217252496244689,0.7223055098948566
Body Care,Sukin,0.843506006404817,18,0,0
Body Care,Thankyou,0.05735791069461256,18,0,0
Breakfast or Health Foods,Brookfarm,0.06505200171294367,38,0.4178734041830335,0.6464312834192305
Breakfast or Health Foods,Carman's,0.35705131661709627,38,0.5845174183620496,0.7645373884657634
