lag_months,mean_r,n_brands,run
0,0.013472578781641695,381,placebo_47
1,0.016832219856652942,381,placebo_47
2,0.022986101558729682,371,placebo_47
3,0.030286524251250273,362,placebo_47
-3,-0.041950657118793554,361,placebo_48
-2,-0.0257468120619968,370,placebo_48
-1,-0.02094716207700328,380,placebo_48
0,-0.02602400635445906,380,placebo_48
1,-0.035191053711206656,380,placebo_48
2,-0.04772240180497733,370,placebo_48
3,-0.05246443014664366,361,placebo_48
-3,-0.0257282892405804,362,placebo_49
-2,-0.013394241380444165,370,placebo_49
-1,-0.01319009318323514,380,placebo_49
0,-0.01835248029701218,380,placebo_49
1,-0.032143155923509324,380,placebo_49
2,-0.03123686469816355,370,placebo_49
3,-0.029079868185565707,362,placebo_49
-3,-0.031355766873942044,363,placebo_50
-2,-0.03344379826883444,372,placebo_50
-1,-0.03837052696403526,382,placebo_50
0,-0.04611215335939386,382,placebo_50
1,-0.0456577127975942,382,placebo_50
2,-0.04256909539161715,372,placebo_50
3,-0.030827254043585557,363,placebo_50
-3,-0.013221903717822829,361,placebo_51
-2,0.005261946660625999,370,placebo_51
-1,0.018921888652105156,379,placebo_51
0,0.01899770025364147,379,placebo_51
1,0.015329290211985452,379,placebo_51
2,0.005648742317726642,370,placebo_51
3,0.008834560887579203,361,placebo_51
-3,-0.016411106872391727,361,placebo_52
-2,-0.005505360352154841,370,placebo_52
-1,-3.831047161184696e-5,379,placebo_52
0,0.006371524331552787,379,placebo_52
1,0.005790934733758806,379,placebo_52
2,0.004333300958623104,370,placebo_52
3,-0.0020449680726208133,361,placebo_52
-3,0.01061772521418733,363,placebo_53
-2,0.003635397163763978,372,placebo_53
-1,-0.002418965680867348,382,placebo_53
0,0.003877211280568994,382,placebo_53
1,0.005617117252235651,382,placebo_53
2,0.00845981049750221,372,placebo_53
3,0.003586568391458977,363,placebo_53
-3,-0.015599550111421188,363,placebo_54
-2,-0.01738755941896897,371,placebo_54
-1,-0.0276883455027525,381,placebo_54
0,-0.032395226164995176,382,placebo_54
1,-0.026463604187667716,382,placebo_54
2,-0.03267016045006961,372,placebo_54
3,-0.04550824808992192,364,placebo_54
-3,0.002196636827519714,359,placebo_55
-2,-0.005321491583017072,368,placebo_55
-1,-0.008144810639663885,376,placebo_55
0,-0.008935376512407285,377,placebo_55
1,-0.012427448101729516,377,placebo_55
2,-0.013139938954078528,369,placebo_55
3,-0.010882795772442708,360,placebo_55
-3,-0.03125667500438172,360,placebo_56
-2,-0.037417282856769,369,placebo_56
-1,-0.030573204768867622,379,placebo_56
0,-0.029257217093434137,379,placebo_56
1,-0.021009063796383672,379,placebo_56
2,-0.012840417102204255,369,placebo_56
3,-0.0026643435572883045,360,placebo_56
