category_name,brand_name,sos,soc,soa,sop,consideration,awareness,conversion,waves
Asian Foods & Condiments,Bibigo,0.07408245951801774,0.014725979225468148,0.014100927136105251,0.02808700729496993,0.035382127546625,0.0459941478375,0.7429335675848647,8
Asian Foods & Condiments,Chang's,0.0037319154618113332,0.16289157580898217,0.1545217505243462,0.1191811285948974,0.32492806253094736,0.41654268400957895,0.7800585588304384,19
Asian Foods & Condiments,Golden Wok,0.0387684524395584,0.06707152543388649,0.07379235300640598,0.0689283846552173,0.13337768727394736,0.19995183639078948,0.6646731998272738,19
Asian Foods & Condiments,Hong Kong Dim Sim Kitchen,6.329043894698759e-4,0.05302072234133971,0.05552912503035966,0.04286967978758739,0.10519175876931579,0.14926230384405265,0.7046297401848377,19
Asian Foods & Condiments,Just Cook,0.046741513299019086,0.006969199351078575,0.010115336376399124,0.009321326762717647,0.016351607114125,0.032630564922125,0.4845035977253149,8
Asian Foods & Condiments,Kikkoman,0.055451385822306035,0.21617699929240652,0.18957767160067723,0.26128633108000326,0.4307774637275263,0.5132108586427895,0.8388795383785282,19
Asian Foods & Condiments,Lee Kum Kee,0.1428378777558221,0.16202572493349693,0.14117523375806545,0.23577631410379163,0.384141182824125,0.454767954813625,0.8438360614325211,8
Asian Foods & Condiments,Lucky Kitchen,0.009192535891988278,0.009104025931294054,0.013339511573632515,0.008672737620973684,0.021459634917375,0.042861368367625,0.48167477923368224,8
Asian Foods & Condiments,Marion's Kitchen,0.11232352134833799,0.06427338158174485,0.07068517646739465,0.04410442584783078,0.1530718610415,0.229074529843375,0.6684268287397079,8
Asian Foods & Condiments,Mr Chen's,0.004868115243589618,0.15605880531596888,0.1541273122261191,0.19140948272074984,0.31199897390573683,0.4182283543827895,0.7454507419422952,19
Asian Foods & Condiments,Obento,0.056609241298431943,0.0567925207541505,0.06115810176334474,0.0375930713912124,0.11372184588073685,0.16515216092810525,0.68805923319886,19
Asian Foods & Condiments,Pandaroo,0.01608326603759533,0.08593993584124171,0.09911063616453056,0.045655580185318796,0.17064707231852633,0.26647539068878945,0.6399896242893645,19
Asian Foods & Condiments,Roll’d,0.3969851690247208,0.08807578389368048,0.09978033095120505,0.08983285691441514,0.1754821399824737,0.27077767152794735,0.6477680169465132,19
Asian Foods & Condiments,Urban Eats,0.02555310659099596,0.013585500857983306,0.017540271679305178,0.014241464462387755,0.032256708718249996,0.056748190370625,0.548548615880503,8
Audio Content,ABC Listen,0.0020864805508941458,0.08141393197549213,0.0910114276341983,0.04546537373750947,0.18705510905743478,0.36094631608456523,0.5176105975856731,23
Audio Content,Apple Music,0.009150510883274869,0.11865444561619568,0.16761621718362782,0.08806478621152233,0.27181182430495654,0.664495502517913,0.40941629254708367,23
Audio Content,Audible,0.010675317373466574,0.1276972457126271,0.1708117691587179,0.048995885832497366,0.29265953189126087,0.6765778164966957,0.43225203119820793,23
Audio Content,Mamamia,0.0029407186671791966,0.017794639844279765,0.029669936556108258,0.004875614862450873,0.040864279491521736,0.11804314883130435,0.34966055198760665,23
Audio Content,SoundCloud,0.01044164744128116,0.06693394060804014,0.0967746887031107,0.015246564484343614,0.15325026286586957,0.383632054215,0.3997553790003825,23
Audio Content,Spotify,0.045628385271309614,0.3030126331713478,0.22582688215558022,0.49532573942523905,0.693071649154913,0.8940551227991739,0.775185588944435,23
Audio Content,YouTube,0.9190769398125944,0.2844931630720174,0.2182890786086568,0.3020260354464373,0.6513777051596956,0.8644850328052174,0.7532993223316364,23
Body Care,Bosisto's,0,0.06222380931134654,0.08425996711099015,0.024206429160396285,0.12954918777855556,0.2780437989287778,0.4691949110363827,9
Body Care,Dove,0.43046650068824716,0.32966171911870895,0.2833941003690978,0.4710864322005629,0.66146229667655,0.88714306093435,0.7455792853509151,20
Body Care,Epzen,0.009085540374643038,0.011712213409487485,0.014548799185962958,0.008394768980640776,0.02395181531285,0.0460047446694,0.5195212165010307,20
