time [UTC],Cadbury,Old Gold,Toblerone,Tony's Chocolonely,Whittaker's
2021-08-01,23.0,12.0,12.0,0.0,1.0
2021-09-01,20.25,11.75,7.5,0.0,0.0
2021-10-01,20.4,12.2,6.4,0.0,0.0
2021-11-01,23.0,12.0,9.25,0.0,0.0
2021-12-01,29.0,12.5,20.5,0.0,0.0
2022-01-01,15.4,11.6,7.4,0.0,0.0
2022-02-01,21.0,12.5,5.5,0.0,0.0
2022-03-01,31.75,14.0,5.5,0.0,0.25
2022-04-01,53.5,14.0,7.0,1.0,0.0
2022-05-01,22.2,13.6,5.6,0.4,0.6
2022-06-01,24.0,14.25,7.5,0.25,0.5
2022-07-01,22.0,13.2,6.6,0.4,0.8
2022-08-01,24.5,13.5,10.25,0.0,0.25
2022-09-01,19.5,12.5,7.75,0.25,0.75
2022-10-01,21.6,12.8,8.6,0.6,0.6
2022-11-01,30.0,11.5,11.5,1.0,0.25
2022-12-01,36.25,12.75,23.0,0.75,0.25
2023-01-01,19.6,13.4,9.0,0.4,0.2
2023-02-01,22.0,12.25,7.5,0.25,0.5
2023-03-01,39.25,13.5,10.5,0.25,0.0
2023-04-01,46.0,13.8,9.0,0.8,0.2
2023-05-01,27.75,13.75,6.75,5.5,0.0
2023-06-01,29.5,13.25,7.5,2.5,0.0
2023-07-01,29.4,13.6,7.6,1.6,0.4
2023-08-01,29.25,14.0,9.75,1.5,0.25
2023-09-01,25.25,13.0,8.5,0.75,0.0
2023-10-01,26.6,13.2,8.0,1.6,0.8
2023-11-01,33.0,14.75,12.0,2.5,1.0
2023-12-01,39.2,14.4,22.4,1.6,0.6
2024-01-01,25.5,13.25,7.75,1.5,0.75
2024-02-01,33.0,13.25,7.25,1.5,0.25
2024-03-01,63.8,13.8,7.8,2.8,0.8
2024-04-01,28.5,14.5,6.0,1.5,0.5
2024-05-01,28.75,13.25,6.75,1.5,0.25
2024-06-01,28.4,14.4,5.4,2.0,0.8
2024-07-01,31.0,15.25,6.5,1.5,0.5
2024-08-01,38.0,27.25,9.25,1.0,0.75
2024-09-01,38.8,14.8,8.0,1.0,0.8
2024-10-01,34.5,14.75,7.25,1.25,0.5
2024-11-01,40.25,17.0,9.75,1.75,0.5
2024-12-01,47.8,15.0,20.0,1.2,0.0
2025-01-01,27.25,14.75,8.5,0.5,0.0
2025-02-01,32.5,13.75,6.5,0.5,0.25
2025-03-01,48.0,14.8,5.6,0.8,0.6
