time [UTC],Bali,"Byron Bay, New South Wales","Margaret River Region, Western Australia","Noosa, Queensland","Port Douglas, Queensland"
2021-08-01,0.0,0.0,0.0,0.0,11.0
2021-09-01,0.0,0.0,0.0,0.0,12.25
2021-10-01,5.8,0.0,0.0,0.0,13.2
2021-11-01,12.75,0.0,0.0,0.0,12.0
2021-12-01,10.5,0.0,0.0,0.0,15.0
2022-01-01,13.6,0.0,0.0,0.0,18.4
2022-02-01,19.75,0.0,0.0,0.0,17.75
2022-03-01,40.0,0.0,0.0,0.0,17.75
2022-04-01,42.75,0.0,0.0,0.0,19.5
2022-05-01,50.0,0.0,0.0,0.0,19.2
2022-06-01,63.0,0.0,0.0,0.0,21.25
2022-07-01,66.6,0.0,0.0,0.0,20.0
2022-08-01,62.25,0.0,0.0,0.0,19.25
2022-09-01,65.0,0.0,0.0,0.0,18.25
2022-10-01,63.8,0.0,0.0,0.0,16.0
2022-11-01,52.0,0.0,0.0,0.0,12.0
2022-12-01,56.25,0.0,0.0,0.0,12.75
2023-01-01,62.2,0.0,0.0,0.0,14.4
2023-02-01,56.75,0.0,0.0,0.0,11.5
2023-03-01,52.25,0.0,0.0,0.0,12.5
2023-04-01,56.6,0.0,0.0,0.0,14.8
2023-05-01,51.5,0.0,0.0,0.0,15.0
2023-06-01,56.0,0.0,0.0,0.0,17.5
2023-07-01,60.0,0.0,0.0,0.0,17.2
2023-08-01,57.5,0.0,0.0,0.0,16.0
2023-09-01,53.25,0.0,0.0,0.0,15.25
2023-10-01,53.2,0.0,0.0,0.0,13.2
2023-11-01,49.75,0.0,0.0,0.0,10.75
2023-12-01,60.2,0.0,0.0,0.0,14.0
2024-01-01,69.75,0.0,0.0,0.0,10.75
2024-02-01,62.5,0.0,0.0,0.0,8.5
2024-03-01,63.0,0.0,0.0,0.0,10.2
2024-04-01,64.25,0.0,0.0,0.0,11.25
2024-05-01,67.0,0.0,0.0,0.0,12.0
2024-06-01,69.0,0.0,0.0,0.0,14.2
2024-07-01,72.25,0.0,0.0,0.0,15.25
2024-08-01,69.75,0.0,0.0,0.0,13.75
2024-09-01,71.8,0.0,0.0,0.0,12.8
2024-10-01,73.5,0.0,0.0,0.0,10.75
2024-11-01,74.75,0.0,0.0,0.0,9.0
2024-12-01,64.6,0.0,0.0,0.0,9.6
2025-01-01,75.0,0.0,0.0,0.0,10.5
2025-02-01,63.5,0.0,0.0,0.0,8.5
2025-03-01,62.4,0.0,0.0,0.0,9.2
