time [UTC],Bali,Tasmania,Visit Noosa
2021-08-01,0.0,45.0,0.0
2021-09-01,0.0,47.5,0.0
2021-10-01,2.0,56.2,0.0
2021-11-01,4.75,51.75,0.0
2021-12-01,3.75,77.25,0.0
2022-01-01,5.2,62.8,0.0
2022-02-01,7.75,59.5,0.0
2022-03-01,15.5,55.0,0.0
2022-04-01,16.5,52.5,0.0
2022-05-01,19.0,47.6,0.0
2022-06-01,24.25,47.25,0.0
2022-07-01,25.4,45.8,0.0
2022-08-01,23.75,45.5,0.0
2022-09-01,24.75,46.25,0.0
2022-10-01,24.6,49.6,0.0
2022-11-01,19.75,45.0,0.0
2022-12-01,21.5,48.0,0.0
2023-01-01,23.4,51.6,0.0
2023-02-01,21.5,48.75,0.0
2023-03-01,19.75,50.25,0.0
2023-04-01,21.6,48.6,0.0
2023-05-01,19.5,45.0,0.0
2023-06-01,21.5,44.25,0.0
2023-07-01,22.8,43.6,0.0
2023-08-01,22.0,43.0,0.0
2023-09-01,20.5,45.0,0.0
2023-10-01,20.4,46.2,0.0
2023-11-01,19.0,46.5,0.0
2023-12-01,23.0,50.0,0.0
2024-01-01,26.5,50.5,0.0
2024-02-01,23.75,50.5,0.0
2024-03-01,24.2,55.8,0.0
2024-04-01,24.25,43.25,0.0
2024-05-01,25.75,40.75,0.0
2024-06-01,26.4,39.8,0.0
2024-07-01,27.75,41.5,0.0
2024-08-01,26.5,41.0,0.0
2024-09-01,27.4,43.6,0.0
2024-10-01,28.0,42.25,0.0
2024-11-01,28.5,42.25,0.0
2024-12-01,24.6,46.0,0.0
2025-01-01,28.75,48.75,0.0
2025-02-01,24.25,50.0,0.0
2025-03-01,23.8,43.8,0.0
