time [UTC],AAMI,NRMA,RACQ,ROLLiN' Insurance,Suncorp
2021-08-01,16.0,29.0,19.0,0.0,56.0
2021-09-01,20.25,34.0,21.5,0.0,59.25
2021-10-01,20.0,38.2,22.8,0.0,53.8
2021-11-01,23.0,41.0,30.0,0.0,53.25
2021-12-01,21.25,40.25,25.5,0.0,53.75
2022-01-01,26.8,45.4,27.4,0.0,48.2
2022-02-01,31.25,44.75,47.75,0.0,53.75
2022-03-01,30.25,45.25,27.75,0.0,56.0
2022-04-01,27.25,41.0,26.5,0.0,56.5
2022-05-01,28.0,41.2,31.2,0.0,61.4
2022-06-01,27.75,45.5,27.25,0.0,62.0
2022-07-01,28.2,44.0,26.6,0.0,68.6
2022-08-01,25.75,42.25,24.75,0.0,56.0
2022-09-01,29.0,45.5,25.0,0.0,52.25
2022-10-01,28.4,42.8,25.0,0.0,51.4
2022-11-01,27.5,44.5,23.5,0.0,49.25
2022-12-01,26.75,44.75,24.0,0.0,50.25
2023-01-01,31.4,49.8,28.6,0.0,54.4
2023-02-01,30.0,48.0,24.25,0.0,68.25
2023-03-01,29.25,45.0,23.0,0.0,60.0
2023-04-01,30.6,44.6,22.6,0.0,59.2
2023-05-01,30.75,42.75,22.25,0.0,56.75
2023-06-01,33.25,46.25,24.5,0.0,66.25
2023-07-01,32.8,44.4,23.4,0.0,61.8
2023-08-01,32.25,43.25,23.5,0.0,70.25
2023-09-01,29.75,46.75,23.5,0.0,52.5
2023-10-01,31.2,43.4,21.2,0.0,50.0
2023-11-01,34.0,43.5,22.5,0.0,48.0
2023-12-01,30.6,47.0,25.8,0.0,47.8
2024-01-01,32.25,50.0,26.0,0.0,48.75
2024-02-01,33.5,45.75,22.75,0.0,55.25
2024-03-01,32.4,43.8,21.6,0.0,51.6
2024-04-01,33.0,45.25,21.5,0.0,50.5
2024-05-01,32.0,46.5,19.0,0.0,52.75
2024-06-01,32.0,47.4,22.4,0.0,52.8
2024-07-01,31.25,45.25,19.75,0.0,57.75
2024-08-01,27.75,43.0,20.5,0.0,49.0
2024-09-01,30.8,45.2,19.6,0.0,48.2
2024-10-01,26.75,44.0,18.25,0.0,48.25
2024-11-01,27.25,44.0,18.5,0.0,44.75
2024-12-01,25.8,43.8,21.8,0.0,42.4
2025-01-01,31.0,50.25,21.75,0.0,51.0
2025-02-01,27.75,46.25,22.0,0.0,47.75
2025-03-01,28.6,45.2,22.8,0.0,47.2
