time [UTC],Sukin,Aesop,Avène,Bangn Body,Benzac
2021-08-01,19.0,33.0,15.0,0.0,4.0
2021-09-01,17.5,32.25,14.25,0.0,5.0
2021-10-01,16.4,29.0,12.8,0.0,4.6
2021-11-01,17.5,44.0,12.0,0.0,5.75
2021-12-01,18.0,56.25,11.25,0.0,5.5
2022-01-01,17.0,33.2,13.2,0.0,5.6
2022-02-01,15.5,33.25,11.75,0.0,6.0
2022-03-01,16.75,34.5,11.75,0.0,6.5
2022-04-01,21.25,35.75,13.5,0.0,6.75
2022-05-01,20.6,36.0,12.2,0.0,7.2
2022-06-01,18.0,34.25,13.0,0.0,6.5
2022-07-01,17.4,34.4,17.8,0.0,7.4
2022-08-01,18.5,37.5,16.5,0.0,7.25
2022-09-01,18.25,34.0,15.25,0.0,7.0
2022-10-01,16.4,37.4,14.4,0.0,6.2
2022-11-01,19.5,55.0,16.75,0.0,6.25
2022-12-01,19.75,73.0,15.75,0.0,6.25
2023-01-01,19.2,39.0,16.2,0.0,6.6
2023-02-01,18.25,43.75,15.0,0.0,6.0
2023-03-01,18.0,37.75,14.25,0.0,6.5
2023-04-01,22.6,54.0,16.8,0.0,7.8
2023-05-01,18.25,40.25,21.0,0.0,7.0
2023-06-01,20.5,37.0,18.5,0.0,7.0
2023-07-01,20.2,38.2,21.4,0.0,6.8
2023-08-01,20.25,40.5,25.0,0.0,7.75
2023-09-01,18.0,39.75,25.0,2.0,7.0
2023-10-01,19.4,42.2,21.6,2.6,8.0
2023-11-01,21.5,58.0,21.0,4.75,7.5
2023-12-01,21.4,70.0,19.4,2.8,8.0
2024-01-01,19.75,37.5,25.5,2.0,8.25
2024-02-01,17.25,39.25,19.5,3.5,7.5
2024-03-01,16.2,36.6,20.4,2.2,8.2
2024-04-01,17.75,41.25,24.25,3.0,8.75
2024-05-01,16.5,44.75,21.75,1.0,7.75
2024-06-01,15.8,37.6,20.2,2.2,8.6
2024-07-01,17.25,38.75,24.25,1.5,8.25
2024-08-01,15.5,42.5,20.75,4.25,8.0
2024-09-01,15.6,43.6,23.0,3.4,8.4
2024-10-01,17.5,43.25,21.5,5.25,7.0
2024-11-01,16.75,60.5,23.25,6.0,7.75
2024-12-01,19.4,78.6,20.2,4.4,7.8
2025-01-01,17.5,40.75,24.0,4.75,8.75
2025-02-01,17.25,42.5,19.25,3.25,9.5
2025-03-01,16.0,40.0,17.8,4.0,8.4
