time [UTC],Chemist Warehouse,Shop Naturally
2021-08-01,44.0,0.0
2021-09-01,45.0,0.0
2021-10-01,42.4,0.0
2021-11-01,47.0,0.0
2021-12-01,68.0,0.0
2022-01-01,66.6,0.0
2022-02-01,43.5,0.0
2022-03-01,42.5,0.0
2022-04-01,48.25,0.0
2022-05-01,46.2,0.0
2022-06-01,44.25,0.0
2022-07-01,46.2,0.0
2022-08-01,44.25,0.0
2022-09-01,45.75,0.0
2022-10-01,43.6,0.0
2022-11-01,50.0,0.0
2022-12-01,59.0,0.0
2023-01-01,46.6,0.0
2023-02-01,44.25,0.0
2023-03-01,43.75,0.0
2023-04-01,50.2,0.0
2023-05-01,48.75,0.0
2023-06-01,46.75,0.0
2023-07-01,45.2,0.0
2023-08-01,47.0,0.0
2023-09-01,51.0,0.0
2023-10-01,49.0,0.0
2023-11-01,53.75,0.0
2023-12-01,60.6,0.0
2024-01-01,48.5,0.0
2024-02-01,46.0,0.0
2024-03-01,47.0,0.0
2024-04-01,47.75,0.0
2024-05-01,51.25,0.0
2024-06-01,47.4,0.0
2024-07-01,47.25,0.0
2024-08-01,47.0,0.0
2024-09-01,49.4,0.0
2024-10-01,46.75,0.0
2024-11-01,51.0,0.0
2024-12-01,57.6,0.0
2025-01-01,47.5,0.0
2025-02-01,45.0,0.0
2025-03-01,43.2,0.0
