time [UTC],Chemist Warehouse,Adore Beauty,Biome,Mecca,Nourished Life
2021-08-01,0.0,36.0,20.0,0.0,0.0
2021-09-01,0.0,32.5,14.0,0.0,0.0
2021-10-01,0.0,27.4,15.4,0.0,0.0
2021-11-01,0.0,34.75,15.0,0.0,0.0
2021-12-01,0.0,27.75,9.75,0.0,0.0
2022-01-01,0.0,26.8,14.4,0.0,0.0
2022-02-01,0.0,26.75,24.25,0.0,0.0
2022-03-01,0.0,28.75,22.5,0.0,0.0
2022-04-01,0.0,27.25,17.75,0.0,0.0
2022-05-01,0.0,29.0,21.0,0.0,0.0
2022-06-01,0.25,26.5,21.75,0.0,0.0
2022-07-01,0.0,26.0,28.2,0.0,0.0
2022-08-01,0.0,29.75,31.0,0.0,0.0
2022-09-01,0.0,25.5,21.25,0.0,0.0
2022-10-01,0.2,25.0,22.6,0.0,0.0
2022-11-01,0.0,38.25,20.5,0.0,0.0
2022-12-01,0.0,28.75,12.75,0.0,0.0
2023-01-01,0.0,24.6,16.0,0.0,0.0
2023-02-01,0.0,23.75,34.0,0.0,0.0
2023-03-01,0.0,25.0,25.75,0.0,0.0
2023-04-01,0.0,25.6,20.2,0.0,0.0
2023-05-01,0.0,29.5,24.0,0.0,0.0
2023-06-01,0.0,23.75,22.0,0.0,0.0
2023-07-01,0.0,24.0,27.8,0.0,0.0
2023-08-01,0.0,26.5,33.5,0.0,0.0
2023-09-01,0.0,23.5,20.75,0.0,0.0
2023-10-01,0.0,27.2,22.2,0.0,0.0
2023-11-01,0.0,38.75,22.25,0.0,0.0
2023-12-01,0.0,26.2,15.8,51.4,0.0
2024-01-01,0.0,22.0,16.5,42.75,0.0
2024-02-01,2.0,22.5,32.5,34.0,0.0
2024-03-01,6.0,23.4,26.4,9.4,0.0
2024-04-01,5.5,22.25,21.25,63.25,0.0
2024-05-01,7.25,25.0,27.75,22.0,0.0
2024-06-01,3.2,22.8,24.8,17.8,0.0
2024-07-01,2.25,21.0,33.25,0.25,0.0
2024-08-01,2.5,26.5,34.5,0.25,0.5
2024-09-01,2.4,20.8,26.8,35.2,0.6
2024-10-01,3.5,19.5,24.5,65.0,0.75
2024-11-01,4.75,32.75,24.0,22.5,1.0
2024-12-01,2.8,25.8,16.4,8.0,0.2
2025-01-01,4.0,20.75,16.0,41.5,0.75
2025-02-01,6.25,23.0,33.75,0.5,0.5
2025-03-01,2.2,21.0,27.8,11.4,0.6
