time [UTC],Sukin,alya skin.,endota,tbh Skincare
2021-08-01,13.0,0.0,24.0,0.0
2021-09-01,12.75,0.0,28.25,0.0
2021-10-01,11.6,0.0,49.4,0.0
2021-11-01,12.25,0.0,63.75,0.0
2021-12-01,12.75,0.0,83.75,0.0
2022-01-01,12.2,0.0,56.4,0.0
2022-02-01,11.25,0.0,57.0,0.0
2022-03-01,11.75,0.0,52.25,0.0
2022-04-01,15.5,0.0,53.75,0.0
2022-05-01,14.2,0.0,62.8,0.0
2022-06-01,12.75,0.0,54.5,0.0
2022-07-01,12.2,0.0,53.2,0.0
2022-08-01,13.25,0.0,55.0,0.0
2022-09-01,12.75,0.0,55.25,0.0
2022-10-01,11.6,0.0,50.6,0.2
2022-11-01,13.5,0.0,55.0,1.75
2022-12-01,13.5,0.0,79.0,1.0
2023-01-01,13.4,0.0,58.6,1.0
2023-02-01,12.75,0.0,49.75,1.75
2023-03-01,12.5,0.0,49.25,2.0
2023-04-01,15.6,0.0,50.8,1.8
2023-05-01,12.75,0.0,56.5,1.75
2023-06-01,14.25,0.0,49.5,2.0
2023-07-01,14.2,0.0,49.6,1.8
2023-08-01,14.5,0.0,47.75,1.75
2023-09-01,13.25,0.0,49.75,1.25
2023-10-01,13.8,0.0,48.0,1.6
2023-11-01,15.5,0.0,52.0,2.25
2023-12-01,14.8,0.0,77.8,1.6
2024-01-01,14.0,0.0,53.0,2.25
2024-02-01,11.5,0.0,52.25,2.25
2024-03-01,11.6,0.0,45.2,2.4
2024-04-01,12.25,0.0,52.75,1.5
2024-05-01,11.75,0.0,56.75,1.75
2024-06-01,11.6,0.0,48.4,1.4
2024-07-01,12.0,0.0,49.0,4.25
2024-08-01,11.0,0.0,46.0,2.0
2024-09-01,10.6,0.0,48.0,1.0
2024-10-01,12.0,0.0,43.25,2.0
2024-11-01,11.75,0.0,50.5,2.25
2024-12-01,13.4,0.0,75.0,1.4
2025-01-01,12.0,0.0,50.25,3.0
2025-02-01,12.0,0.0,48.75,4.5
2025-03-01,10.6,0.0,46.0,3.2
