category_name,brand_name,query_token,kind,detail,tier
"Chips, Crisps, Crackers",Kettle,Kettle,term,naive:raw-term,trends.naive
"Chips, Crisps, Crackers",Proper Crisps,Proper Crisps,term,naive:raw-term,trends.naive
"Chips, Crisps, Crackers",Red Rock Deli,Red Rock Deli,term,naive:raw-term,trends.naive
"Chips, Crisps, Crackers",Snacka Changi,Snacka Changi,term,naive:raw-term,trends.naive
"Chips, Crisps, Crackers",Tyrells,Tyrells,term,naive:raw-term,trends.naive
Chocolate,Cadbury,Cadbury,term,naive:raw-term,trends.naive
Chocolate,Darrell Lea,Darrell Lea,term,naive:raw-term,trends.naive
Chocolate,Ferrero,Ferrero,term,naive:raw-term,trends.naive
Chocolate,Lindt,Lindt,term,naive:raw-term,trends.naive
Chocolate,Nestlé,Nestlé,term,naive:raw-term,trends.naive
Chocolate,Tony's Chocolonely,Tony's Chocolonely,term,naive:raw-term,trends.naive
Chocolate,Whittaker's,Whittaker's,term,naive:raw-term,trends.naive
Chocolate & Confectionery,Allens,Allens,term,naive:raw-term,trends.naive
Chocolate & Confectionery,Boodles,Boodles,term,naive:raw-term,trends.naive
Chocolate & Confectionery,Cadbury,Cadbury,term,naive:raw-term,trends.naive
Chocolate & Confectionery,Darrell Lea,Darrell Lea,term,naive:raw-term,trends.naive
Chocolate & Confectionery,KitKat,KitKat,term,naive:raw-term,trends.naive
Chocolate & Confectionery,Lindt,Lindt,term,naive:raw-term,trends.naive
Chocolate & Confectionery,The Natural Confectionery Co.,The Natural Confectionery Co.,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Cadbury,Cadbury,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Darrell Lea,Darrell Lea,term,naive:raw-term,trends.naive
Chocolate bars and blocks,KitKat,KitKat,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Life Savers,Life Savers,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Lindt,Lindt,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Old Gold,Old Gold,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Toblerone,Toblerone,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Tony's Chocolonely,Tony's Chocolonely,term,naive:raw-term,trends.naive
Chocolate bars and blocks,Whittaker's,Whittaker's,term,naive:raw-term,trends.naive
Chocolate confectionery,Allens,Allens,term,naive:raw-term,trends.naive
Chocolate confectionery,Cadbury,Cadbury,term,naive:raw-term,trends.naive
Chocolate confectionery,Darrell Lea Balls,Darrell Lea Balls,term,naive:raw-term,trends.naive
Chocolate confectionery,Darrell Lea Bullets,Darrell Lea Bullets,term,naive:raw-term,trends.naive
Chocolate confectionery,Darrell Lea Twists,Darrell Lea Twists,term,naive:raw-term,trends.naive
Chocolate confectionery,M&M's,M&M's,term,naive:raw-term,trends.naive
Chocolate confectionery,Maltesers,Maltesers,term,naive:raw-term,trends.naive
Chocolate confectionery,Pods,Pods,term,naive:raw-term,trends.naive
Coffee,Allpress Espresso,Allpress Espresso,term,naive:raw-term,trends.naive
Coffee,Axil,Axil,term,naive:raw-term,trends.naive
Coffee,Campos,Campos,term,naive:raw-term,trends.naive
Coffee,Coffee Supreme,Coffee Supreme,term,naive:raw-term,trends.naive
Coffee,Industry Beans,Industry Beans,term,naive:raw-term,trends.naive
Coffee,ONA Coffee,ONA Coffee,term,naive:raw-term,trends.naive
