category_name,brand_name,query_token,kind,detail,tier
Men's Online Health Providers,Pilot,Pilot,term,naive:raw-term,trends.naive
Men's Online Health Providers,Rosemary Health,Rosemary Health,term,naive:raw-term,trends.naive
Men's Online Health Providers,Simple Online Doctor,Simple Online Doctor,term,naive:raw-term,trends.naive
Men's Online Health Providers,Stagger,Stagger,term,naive:raw-term,trends.naive
Men's Online Health Providers,The Hairy Pill,The Hairy Pill,term,naive:raw-term,trends.naive
News or Media Sources,Cheek Media Co.,Cheek Media Co.,term,naive:raw-term,trends.naive
News or Media Sources,Hack,Hack,term,naive:raw-term,trends.naive
News or Media Sources,Nine,Nine,term,naive:raw-term,trends.naive
News or Media Sources,Pedestrian,Pedestrian,term,naive:raw-term,trends.naive
News or Media Sources,Shameless Media,Shameless Media,term,naive:raw-term,trends.naive
News or Media Sources,The Daily Aus,The Daily Aus,term,naive:raw-term,trends.naive
News or Media Sources,The Guardian,The Guardian,term,naive:raw-term,trends.naive
Online Market Places,Amazon,Amazon,term,naive:raw-term,trends.naive
Online Market Places,Depop,Depop,term,naive:raw-term,trends.naive
Online Market Places,Etsy,Etsy,term,naive:raw-term,trends.naive
Online Market Places,Facebook Marketplace,Facebook Marketplace,term,naive:raw-term,trends.naive
Online Market Places,Grays,Grays,term,naive:raw-term,trends.naive
Online Market Places,Gumtree,Gumtree,term,naive:raw-term,trends.naive
Online Market Places,Tradingpost,Tradingpost,term,naive:raw-term,trends.naive
Online Market Places,eBay,eBay,term,naive:raw-term,trends.naive
Online Outlet Retailer,David Jones,David Jones,term,naive:raw-term,trends.naive
Online Outlet Retailer,Ozsale,Ozsale,term,naive:raw-term,trends.naive
Online Outlet Retailer,THE OUTNET,THE OUTNET,term,naive:raw-term,trends.naive
Online Outlet Retailer,The Archive Place,The Archive Place,term,naive:raw-term,trends.naive
Online Outlet Retailer,The DOM,The DOM,term,naive:raw-term,trends.naive
Online Outlet Retailer,The Iconic,The Iconic,term,naive:raw-term,trends.naive
Outdoor Apparel,Country Road,Country Road,term,naive:raw-term,trends.naive
Outdoor Apparel,Deus Ex Machina,Deus Ex Machina,term,naive:raw-term,trends.naive
Outdoor Apparel,Gazman,Gazman,term,naive:raw-term,trends.naive
Outdoor Apparel,Glue Store,Glue Store,term,naive:raw-term,trends.naive
Outdoor Apparel,Helly Hansen,Helly Hansen,term,naive:raw-term,trends.naive
Outdoor Apparel,Paddy Pallin,Paddy Pallin,term,naive:raw-term,trends.naive
Outdoor Apparel,R.M.Williams,R.M.Williams,term,naive:raw-term,trends.naive
Outdoor Apparel,Rodd & Gunn,Rodd & Gunn,term,naive:raw-term,trends.naive
Outdoor Apparel,Superdry,Superdry,term,naive:raw-term,trends.naive
Outdoor Apparel,Surf Dive 'n Ski,Surf Dive 'n Ski,term,naive:raw-term,trends.naive
Outdoor Apparel,Swanndri,Swanndri,term,naive:raw-term,trends.naive
Outdoor Apparel,Thomas Cook,Thomas Cook,term,naive:raw-term,trends.naive
Packaged Snacks,Arnott’s,Arnott’s,term,naive:raw-term,trends.naive
Packaged Snacks,Cadbury,Cadbury,term,naive:raw-term,trends.naive
Packaged Snacks,Carman's,Carman's,term,naive:raw-term,trends.naive
Packaged Snacks,Doritos,Doritos,term,naive:raw-term,trends.naive
Packaged Snacks,Olina's Bakehouse,Olina's Bakehouse,term,naive:raw-term,trends.naive
Packaged Snacks,Oreo,Oreo,term,naive:raw-term,trends.naive
Packaged Snacks,Red Rock Deli,Red Rock Deli,term,naive:raw-term,trends.naive
Packaged Snacks,Ritz,Ritz,term,naive:raw-term,trends.naive
Packaged Snacks,Sakata,Sakata,term,naive:raw-term,trends.naive
Packaged Snacks,Smith's,Smith's,term,naive:raw-term,trends.naive
Retail Establishments,Birkenhead Point,Birkenhead Point,term,naive:raw-term,trends.naive
Retail Establishments,Chadstone,Chadstone,term,naive:raw-term,trends.naive
Retail Establishments,DFO,DFO,term,naive:raw-term,trends.naive
Retail Establishments,Harbour Town,Harbour Town,term,naive:raw-term,trends.naive
Retail Establishments,Myer,Myer,term,naive:raw-term,trends.naive
Retail Establishments,The DOM,The DOM,term,naive:raw-term,trends.naive
Retail Establishments,The Iconic,The Iconic,term,naive:raw-term,trends.naive
Retail Establishments,Westfield,Westfield,term,naive:raw-term,trends.naive
Reusable Bottles,Decor,Decor,term,naive:raw-term,trends.naive
Reusable Bottles,Fressko,Fressko,term,naive:raw-term,trends.naive
Reusable Bottles,Hydro Flask,Hydro Flask,term,naive:raw-term,trends.naive
Reusable Bottles,Owala,Owala,term,naive:raw-term,trends.naive
Reusable Bottles,Smash,Smash,term,naive:raw-term,trends.naive
Reusable Bottles,Stanley,Stanley,term,naive:raw-term,trends.naive
Reusable Bottles,Waterdrop,Waterdrop,term,naive:raw-term,trends.naive
Reusable Bottles,Yeti,Yeti,term,naive:raw-term,trends.naive
Reusable Bottles,frank green,frank green,term,naive:raw-term,trends.naive
Skincare,Avène,Avène,term,naive:raw-term,trends.naive
Skincare,Dr Dennis Gross,Dr Dennis Gross,term,naive:raw-term,trends.naive
Skincare,Go-To,Go-To,term,naive:raw-term,trends.naive
Skincare,La Roche-Posay,La Roche-Posay,term,naive:raw-term,trends.naive
Skincare,QR8 Mediskin,QR8 Mediskin,term,naive:raw-term,trends.naive
Skincare,SkinCeuticals,SkinCeuticals,term,naive:raw-term,trends.naive
Skincare,Software,Software,term,naive:raw-term,trends.naive
Skincare,The Secret Skincare,The Secret Skincare,term,naive:raw-term,trends.naive
Skincare,Tommi,Tommi,term,naive:raw-term,trends.naive
Skincare (Female Only),Aesop,Aesop,term,naive:raw-term,trends.naive
Skincare (Female Only),Avène,Avène,term,naive:raw-term,trends.naive
Skincare (Female Only),Bangn Body,Bangn Body,term,naive:raw-term,trends.naive
Skincare (Female Only),Benzac,Benzac,term,naive:raw-term,trends.naive
Skincare (Female Only),Bondi Sands,Bondi Sands,term,naive:raw-term,trends.naive
Skincare (Female Only),Boost Lab,Boost Lab,term,naive:raw-term,trends.naive
Skincare (Female Only),CeraVe,CeraVe,term,naive:raw-term,trends.naive
Skincare (Female Only),Drunk Elephant,Drunk Elephant,term,naive:raw-term,trends.naive
Skincare (Female Only),Frank Body,Frank Body,term,naive:raw-term,trends.naive
Skincare (Female Only),Go-To,Go-To,term,naive:raw-term,trends.naive
Skincare (Female Only),Kiehl's,Kiehl's,term,naive:raw-term,trends.naive
Skincare (Female Only),La Roche-Posay,La Roche-Posay,term,naive:raw-term,trends.naive
Skincare (Female Only),MCoBeauty,MCoBeauty,term,naive:raw-term,trends.naive
Skincare (Female Only),Mecca,Mecca,term,naive:raw-term,trends.naive
Skincare (Female Only),Mecca Cosmetica,Mecca Cosmetica,term,naive:raw-term,trends.naive
Skincare (Female Only),Paula's Choice,Paula's Choice,term,naive:raw-term,trends.naive
Skincare (Female Only),Revolution,Revolution,term,naive:raw-term,trends.naive
Skincare (Female Only),Soap & Glory,Soap & Glory,term,naive:raw-term,trends.naive
Skincare (Female Only),Software,Software,term,naive:raw-term,trends.naive
Skincare (Female Only),Sol de Janeiro,Sol de Janeiro,term,naive:raw-term,trends.naive
Skincare (Female Only),Sukin,Sukin,term,naive:raw-term,trends.naive
Skincare (Female Only),The Body Shop,The Body Shop,term,naive:raw-term,trends.naive
Skincare (Female Only),The Inkey List,The Inkey List,term,naive:raw-term,trends.naive
Skincare (Female Only),The Ordinary,The Ordinary,term,naive:raw-term,trends.naive
Skincare (Female Only),Ultra Violette,Ultra Violette,term,naive:raw-term,trends.naive
Skincare (Female Only),alya skin.,alya skin.,term,naive:raw-term,trends.naive
Skincare (Female Only),endota,endota,term,naive:raw-term,trends.naive
Skincare (Female Only),tbh Skincare,tbh Skincare,term,naive:raw-term,trends.naive
Social Media Platforms,Bluesky,Bluesky,term,naive:raw-term,trends.naive
Social Media Platforms,Facebook,Facebook,term,naive:raw-term,trends.naive
Social Media Platforms,Instagram,Instagram,term,naive:raw-term,trends.naive
Social Media Platforms,Pinterest,Pinterest,term,naive:raw-term,trends.naive
Social Media Platforms,RedNote,RedNote,term,naive:raw-term,trends.naive
Social Media Platforms,Reddit,Reddit,term,naive:raw-term,trends.naive
Social Media Platforms,Snapchat,Snapchat,term,naive:raw-term,trends.naive
Social Media Platforms,Threads,Threads,term,naive:raw-term,trends.naive
Social Media Platforms,TikTok,TikTok,term,naive:raw-term,trends.naive
Social Media Platforms,Twitch,Twitch,term,naive:raw-term,trends.naive
Social Media Platforms,Twitter,Twitter,term,naive:raw-term,trends.naive
Social Media Platforms,X,X,term,naive:raw-term,trends.naive
Streetwear,Culture Kings,Culture Kings,term,naive:raw-term,trends.naive
Streetwear,Foot Locker,Foot Locker,term,naive:raw-term,trends.naive
Streetwear,General Pants Co.,General Pants Co.,term,naive:raw-term,trends.naive
Streetwear,JD Sports,JD Sports,term,naive:raw-term,trends.naive
Streetwear,PUSHAS,PUSHAS,term,naive:raw-term,trends.naive
Streetwear,Stateside Sports,Stateside Sports,term,naive:raw-term,trends.naive
Streetwear,Urban Wear,Urban Wear,term,naive:raw-term,trends.naive
Sugar confectionery,Allens,Allens,term,naive:raw-term,trends.naive
Sugar confectionery,Darrell Lea,Darrell Lea,term,naive:raw-term,trends.naive
Sugar confectionery,Double ‘D’,Double ‘D’,term,naive:raw-term,trends.naive
Sugar confectionery,FUNDAY,FUNDAY,term,naive:raw-term,trends.naive
Sugar confectionery,Haribo,Haribo,term,naive:raw-term,trends.naive
Sugar confectionery,Health Lab,Health Lab,term,naive:raw-term,trends.naive
Sugar confectionery,Life Savers,Life Savers,term,naive:raw-term,trends.naive
Sugar confectionery,Pascall,Pascall,term,naive:raw-term,trends.naive
Sugar confectionery,Skittles,Skittles,term,naive:raw-term,trends.naive
Sugar confectionery,Sour Patch,Sour Patch,term,naive:raw-term,trends.naive
Sugar confectionery,The Natural Confectionery Co.,The Natural Confectionery Co.,term,naive:raw-term,trends.naive
Sugar confectionery,Well Naturally,Well Naturally,term,naive:raw-term,trends.naive
Yoghurt,Activia,Activia,term,naive:raw-term,trends.naive
Yoghurt,Chobani,Chobani,term,naive:raw-term,trends.naive
Yoghurt,Chobani Fit,Chobani Fit,term,naive:raw-term,trends.naive
Yoghurt,Cocobella,Cocobella,term,naive:raw-term,trends.naive
Yoghurt,Coyo,Coyo,term,naive:raw-term,trends.naive
Yoghurt,Dairy Farmers,Dairy Farmers,term,naive:raw-term,trends.naive
Yoghurt,Danone,Danone,term,naive:raw-term,trends.naive
Yoghurt,Gippsland Dairy,Gippsland Dairy,term,naive:raw-term,trends.naive
Yoghurt,Nakula,Nakula,term,naive:raw-term,trends.naive
Yoghurt,Tamar Valley,Tamar Valley,term,naive:raw-term,trends.naive
Yoghurt,Ultimate,Ultimate,term,naive:raw-term,trends.naive
Yoghurt,Vaalia,Vaalia,term,naive:raw-term,trends.naive
Yoghurt,Vitasoy,Vitasoy,term,naive:raw-term,trends.naive
Yoghurt,Yakult,Yakult,term,naive:raw-term,trends.naive
Yoghurt,YoPro,YoPro,term,naive:raw-term,trends.naive
Yoghurt,five:am organic,five:am organic,term,naive:raw-term,trends.naive
