time [UTC],OMO,Fab,Organic Choice,Radiant,Undo This Mess
2021-08-01,28.0,0.0,0.0,35.0,0.0
2021-09-01,31.75,0.0,1.25,24.25,0.0
2021-10-01,27.2,0.0,1.4,28.6,0.0
2021-11-01,31.25,0.0,3.25,23.75,0.0
2021-12-01,31.75,0.0,0.0,9.5,0.0
2022-01-01,36.6,0.0,1.6,15.2,0.8
2022-02-01,35.25,2.5,3.5,34.5,0.0
2022-03-01,34.5,6.5,3.0,52.25,0.0
2022-04-01,41.75,5.75,3.25,48.25,0.0
2022-05-01,40.0,1.6,2.2,62.2,0.0
2022-06-01,36.0,2.5,3.75,49.0,0.0
2022-07-01,44.2,0.0,3.6,36.6,1.0
2022-08-01,37.25,2.75,5.25,58.5,0.0
2022-09-01,38.25,3.25,1.0,46.5,0.0
2022-10-01,41.2,4.4,0.0,45.4,0.0
2022-11-01,39.75,5.75,2.5,33.5,0.0
2022-12-01,38.75,2.5,3.0,13.5,0.0
2023-01-01,43.2,5.6,1.0,16.2,0.0
2023-02-01,43.0,4.25,2.5,34.75,0.0
2023-03-01,42.0,4.0,3.75,64.5,0.0
2023-04-01,56.4,0.8,4.2,51.6,0.0
2023-05-01,50.5,1.25,3.75,65.5,0.0
2023-06-01,49.5,1.5,2.25,50.0,0.0
2023-07-01,52.8,3.0,3.2,44.6,0.0
2023-08-01,45.75,3.0,5.0,59.75,0.0
2023-09-01,61.0,4.25,3.75,49.75,0.0
2023-10-01,52.8,5.0,3.4,50.0,0.0
2023-11-01,49.5,3.25,4.75,35.25,0.0
2023-12-01,55.6,3.4,7.2,22.4,0.0
2024-01-01,56.5,2.5,6.0,19.25,0.0
2024-02-01,53.5,1.5,8.0,38.75,0.0
2024-03-01,50.6,2.2,6.2,52.4,0.0
2024-04-01,54.75,1.75,6.25,54.75,0.0
2024-05-01,50.75,1.0,7.5,71.25,0.0
2024-06-01,48.4,0.8,3.8,52.8,0.0
2024-07-01,55.25,1.5,3.5,42.25,0.0
2024-08-01,50.5,0.0,6.25,61.75,0.0
2024-09-01,47.6,2.6,5.8,52.6,1.2
2024-10-01,48.25,1.0,5.5,65.75,0.0
2024-11-01,50.0,2.75,1.5,43.25,0.0
2024-12-01,55.2,0.0,1.0,15.0,0.0
2025-01-01,56.25,1.25,7.25,19.25,1.5
2025-02-01,53.5,1.25,2.75,37.0,0.0
2025-03-01,48.4,0.8,1.0,52.4,0.0
