time [UTC],Ashley & Martin,Manscaped,Men's Health Clinic,Mosh,Pilot
2021-08-01,0.0,52.0,0.0,0.0,10.0
2021-09-01,0.0,45.25,0.0,12.25,11.25
2021-10-01,0.0,37.0,0.0,18.4,12.6
2021-11-01,0.0,59.5,0.0,26.75,11.25
2021-12-01,0.0,44.25,0.0,20.25,9.25
2022-01-01,0.0,36.2,0.0,24.6,15.2
2022-02-01,0.0,40.75,0.0,21.5,17.0
2022-03-01,0.0,38.25,1.0,23.25,16.0
2022-04-01,0.0,37.25,0.0,26.5,13.0
2022-05-01,0.0,39.8,0.0,28.0,17.8
2022-06-01,0.0,44.0,0.0,24.5,15.0
2022-07-01,0.0,55.2,0.0,21.6,17.0
2022-08-01,1.0,55.25,0.0,23.5,18.25
2022-09-01,0.0,46.75,0.0,23.0,15.0
2022-10-01,0.0,42.8,0.0,20.0,15.0
2022-11-01,0.0,66.25,0.0,19.0,14.25
2022-12-01,0.0,67.25,0.0,20.75,15.5
2023-01-01,0.0,41.2,0.0,26.0,18.4
2023-02-01,1.0,40.0,0.0,25.25,15.75
2023-03-01,0.0,41.25,0.0,28.25,16.25
2023-04-01,0.0,38.2,0.0,4.4,13.8
2023-05-01,0.0,37.0,0.0,0.0,18.0
2023-06-01,0.0,44.25,0.0,0.0,16.0
2023-07-01,0.0,51.2,0.0,7.6,14.6
2023-08-01,0.0,54.25,0.0,13.25,19.0
2023-09-01,0.0,47.0,0.0,6.5,14.25
2023-10-01,0.0,48.2,0.0,21.4,19.0
2023-11-01,0.0,78.25,0.0,20.5,15.75
2023-12-01,0.0,70.8,0.0,19.0,15.2
2024-01-01,0.0,45.5,0.0,11.75,19.5
2024-02-01,0.0,45.75,0.0,0.0,18.5
2024-03-01,0.0,40.4,0.0,0.0,16.8
2024-04-01,0.0,41.0,0.0,0.0,16.0
2024-05-01,0.0,40.0,0.0,2.75,18.0
2024-06-01,0.0,40.8,0.0,2.8,17.0
2024-07-01,0.0,38.0,0.0,0.0,18.75
2024-08-01,0.0,47.75,0.0,0.0,21.5
2024-09-01,0.0,42.0,0.0,1.6,19.2
2024-10-01,0.0,40.0,0.0,1.25,21.75
2024-11-01,0.0,68.75,0.0,2.0,21.25
2024-12-01,0.0,63.8,0.0,0.0,18.0
2025-01-01,0.0,41.5,0.0,0.0,23.75
2025-02-01,0.0,41.75,0.0,0.0,25.0
2025-03-01,0.0,36.4,0.0,0.0,22.0
