time [UTC],Dyson,Tineco,Vax
2021-08-01,35.0,1.0,14.0
2021-09-01,36.5,1.0,19.5
2021-10-01,35.8,1.0,70.2
2021-11-01,56.25,1.0,21.5
2021-12-01,54.5,1.25,16.0
2022-01-01,47.0,1.4,16.8
2022-02-01,38.0,1.0,9.5
2022-03-01,36.25,1.0,7.25
2022-04-01,38.5,1.25,6.5
2022-05-01,40.0,1.6,6.2
2022-06-01,49.0,2.0,4.75
2022-07-01,42.8,2.2,5.0
2022-08-01,34.5,1.5,4.0
2022-09-01,35.0,1.25,3.25
2022-10-01,38.6,1.0,3.0
2022-11-01,57.25,1.25,3.25
2022-12-01,56.25,1.5,3.25
2023-01-01,42.2,1.2,4.0
2023-02-01,31.5,1.0,3.25
2023-03-01,32.25,1.25,3.0
2023-04-01,36.4,1.6,4.0
2023-05-01,46.0,1.75,4.0
2023-06-01,47.5,1.5,3.5
2023-07-01,36.4,2.2,3.4
2023-08-01,35.0,1.5,3.0
2023-09-01,35.0,1.5,2.5
2023-10-01,33.4,1.8,2.8
2023-11-01,66.75,2.5,3.0
2023-12-01,58.4,2.4,3.2
2024-01-01,39.0,1.75,3.0
2024-02-01,35.25,1.5,3.0
2024-03-01,34.4,2.2,3.0
2024-04-01,38.25,2.25,3.75
2024-05-01,39.25,2.25,3.25
2024-06-01,47.6,2.0,3.0
2024-07-01,47.25,2.5,3.0
2024-08-01,39.75,2.0,2.5
2024-09-01,37.8,2.2,2.0
2024-10-01,43.5,2.0,2.0
2024-11-01,73.75,3.0,2.25
2024-12-01,64.8,3.0,2.8
2025-01-01,40.5,2.0,2.75
2025-02-01,35.25,1.75,2.25
2025-03-01,37.2,2.0,2.6
