time [UTC],Chobani,Activia,Chobani Fit,Cocobella,Coyo
2021-08-01,65.0,0.0,0.0,9.0,0.0
2021-09-01,49.5,0.0,3.75,11.75,0.0
2021-10-01,47.2,0.0,5.0,7.8,0.0
2021-11-01,37.25,0.0,1.5,6.0,0.0
2021-12-01,29.0,0.0,0.0,4.0,0.0
2022-01-01,45.4,0.0,7.0,13.6,0.0
2022-02-01,48.5,1.25,7.5,12.25,0.0
2022-03-01,45.75,0.0,6.75,11.0,0.0
2022-04-01,38.75,0.0,4.0,9.5,0.0
2022-05-01,45.0,1.0,1.0,8.4,0.0
2022-06-01,46.25,0.0,4.5,8.5,0.0
2022-07-01,48.0,0.0,6.4,10.2,0.0
2022-08-01,48.75,0.0,1.5,10.0,0.0
2022-09-01,46.5,1.25,4.25,12.25,0.0
2022-10-01,49.0,0.0,3.8,12.0,0.0
2022-11-01,44.25,0.0,1.0,12.75,0.0
2022-12-01,35.5,0.0,0.0,9.25,0.0
2023-01-01,50.2,0.0,3.4,15.2,0.0
2023-02-01,65.25,0.0,3.75,18.0,0.0
2023-03-01,57.75,0.0,3.25,18.5,0.0
2023-04-01,55.6,0.0,3.2,14.0,0.0
2023-05-01,57.25,0.0,3.25,14.25,0.0
2023-06-01,56.25,0.0,1.25,13.0,1.25
2023-07-01,57.6,0.0,4.6,16.4,1.0
2023-08-01,56.75,1.75,4.75,14.5,0.0
2023-09-01,51.75,0.0,4.0,16.25,1.5
2023-10-01,62.0,0.0,7.4,21.6,0.0
2023-11-01,57.5,1.75,9.0,21.75,1.25
2023-12-01,44.4,0.0,2.6,22.8,0.0
2024-01-01,73.5,0.0,6.25,30.25,0.0
2024-02-01,71.0,0.0,4.25,28.0,0.0
2024-03-01,62.0,0.0,7.8,25.2,1.0
2024-04-01,62.0,0.0,6.75,20.0,0.0
2024-05-01,64.5,0.0,4.25,19.5,0.0
2024-06-01,66.8,0.0,7.4,19.4,0.0
2024-07-01,75.5,1.25,7.75,30.5,0.0
2024-08-01,74.5,0.0,9.5,31.0,0.0
2024-09-01,71.2,0.0,9.2,42.2,0.0
2024-10-01,79.5,0.0,9.25,64.0,0.0
2024-11-01,70.25,0.0,7.75,69.0,0.0
2024-12-01,55.6,1.4,2.6,64.4,0.0
2025-01-01,90.5,0.0,10.0,85.0,0.0
2025-02-01,90.75,1.5,11.25,81.0,0.0
2025-03-01,89.8,0.0,10.2,67.8,0.0
