time [UTC],Dyson,Bissell,Hoover,Kärcher,Shark
2021-08-01,27.0,5.0,3.0,7.0,2.0
2021-09-01,28.75,7.25,3.0,8.0,1.75
2021-10-01,28.0,8.4,3.2,7.2,1.4
2021-11-01,35.75,7.75,3.25,8.0,2.25
2021-12-01,31.25,7.5,3.25,9.75,2.0
2022-01-01,34.6,7.0,3.6,8.2,2.0
2022-02-01,34.75,8.0,3.0,6.5,2.0
2022-03-01,25.5,10.75,3.0,6.75,2.0
2022-04-01,19.25,9.0,3.0,6.5,2.0
2022-05-01,17.0,8.2,3.2,6.2,2.0
2022-06-01,20.5,7.0,3.25,6.0,2.0
2022-07-01,19.0,7.0,3.2,6.6,2.0
2022-08-01,30.0,7.25,3.25,6.75,2.0
2022-09-01,20.25,7.0,3.25,7.5,2.75
2022-10-01,33.2,7.8,3.0,7.0,3.2
2022-11-01,56.0,8.5,3.25,7.5,3.0
2022-12-01,54.25,9.0,3.25,9.75,4.25
2023-01-01,39.8,8.6,3.2,7.2,3.0
2023-02-01,31.5,7.0,3.0,5.75,2.0
2023-03-01,31.25,7.0,2.75,5.25,2.0
2023-04-01,33.0,7.6,3.2,5.8,2.8
2023-05-01,43.75,6.25,3.0,4.75,3.25
2023-06-01,45.5,7.0,3.25,5.5,3.25
2023-07-01,37.0,6.8,3.4,5.4,3.6
2023-08-01,34.25,6.75,3.0,6.25,3.25
2023-09-01,35.75,7.0,3.0,6.5,5.25
2023-10-01,33.0,6.8,2.6,6.2,5.8
2023-11-01,67.25,8.75,2.75,7.0,8.25
2023-12-01,57.6,9.4,3.4,10.6,8.0
2024-01-01,36.75,7.25,3.0,7.0,5.5
2024-02-01,32.75,6.25,3.0,6.0,5.5
2024-03-01,34.0,7.0,2.8,5.8,6.0
2024-04-01,36.75,7.75,3.5,6.0,7.75
2024-05-01,38.0,6.5,3.0,6.0,8.25
2024-06-01,45.4,6.2,3.0,5.6,10.0
2024-07-01,43.0,6.5,3.0,5.5,9.0
2024-08-01,37.25,6.75,3.0,6.25,8.75
2024-09-01,35.2,7.0,3.0,6.4,10.0
2024-10-01,41.0,6.5,2.5,7.25,10.25
2024-11-01,69.75,7.75,2.75,7.5,18.25
2024-12-01,61.6,8.6,2.8,9.0,18.0
2025-01-01,38.25,7.0,2.75,6.5,12.0
2025-02-01,34.25,6.0,2.5,5.5,11.5
2025-03-01,33.6,6.2,2.2,5.4,12.6
